,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Registration_Status_En,Number_of_Practitioners
152,2020,Female,Saudi Arabia,Nursing and Midwifery,Valid,4093
153,2018,Male,Egypt,Medicine and Surgery,Expired Outdated,4077
158,2018,Female,Philippines,Nursing and Midwifery,Expired,3951
159,2017,Female,Philippines,Nursing and Midwifery,Expired,3937
161,2019,Male,Egypt,Pharmacists and Pharmacy Technicians,Expired Outdated,3901
162,2019,Male,Egypt,Medicine and Surgery,Expired Outdated,3888
163,2020,Male,Saudi Arabia,Therapy and Rehabilitation,Expired Outdated,3845
167,2016,Female,Saudi Arabia,Therapy and Rehabilitation,Expired Outdated,3718
168,2021,Male,Sudan,Medicine and Surgery,Valid,3656
169,2021,Female,Saudi Arabia,Nursing and Midwifery,Expired,3539
170,2022,Male,Syria,Medicine and Surgery,Valid,3433
171,2021,Male,Saudi Arabia,Therapy and Rehabilitation,Expired,3431
172,2021,Female,Saudi Arabia,Therapy and Rehabilitation,Expired,3421
173,2019,Male,Saudi Arabia,Health Administration and Community Health,Expired Outdated,3406
174,2020,Female,Saudi Arabia,Nursing and Midwifery,Expired,3345
176,2020,Female,Saudi Arabia,Therapy and Rehabilitation,Expired,3306
179,2020,Male,Saudi Arabia,Therapy and Rehabilitation,Expired,3252
180,2021,Male,Philippines,Nursing and Midwifery,Valid,3238
181,2018,Male,Saudi Arabia,Health Administration and Community Health,Expired Outdated,3225
184,2021,Female,Egypt,Nursing and Midwifery,Valid,3108
185,2022,Female,Saudi Arabia,Nursing and Midwifery,Expired,3106
186,2016,Male,Philippines,Nursing and Midwifery,Expired Outdated,3013
187,2022,Male,Pakistan,Medicine and Surgery,Valid,2980
188,2021,Male,Saudi Arabia,Nursing and Midwifery,Expired,2975
189,2021,Male,Saudi Arabia,Health Administration and Community Health,Expired,2961
190,2022,Female,Philippines,Laboratories and Medical Technology,Valid,2955
193,2021,Female,Sudan,Nursing and Midwifery,Valid,2930
194,2022,Female,Malaysia,Nursing and Midwifery,Valid,2874
195,2022,Male,Saudi Arabia,Therapy and Rehabilitation,Expired,2855
196,2021,Male,Saudi Arabia,Laboratories and Medical Technology,Expired,2844
197,2017,Male,Philippines,Nursing and Midwifery,Expired Outdated,2842
198,2020,Male,Saudi Arabia,Health Administration and Community Health,Expired,2827
199,2020,Male,Saudi Arabia,Nursing and Midwifery,Expired,2824
201,2021,Male,Saudi Arabia,Technicians and Health Assistants,Expired,2764
202,2017,Male,Saudi Arabia,Health Administration and Community Health,Expired Outdated,2703
204,2018,Male,Philippines,Nursing and Midwifery,Expired Outdated,2696
206,2019,Female,India,Nursing and Midwifery,Expired,2687
208,2020,Male,Saudi Arabia,Laboratories and Medical Technology,Expired,2667
209,2020,Male,Saudi Arabia,Technicians and Health Assistants,Expired,2629
211,2022,Female,Saudi Arabia,Therapy and Rehabilitation,Expired,2614
212,2020,Male,Egypt,Medicine and Surgery,Expired Outdated,2610
213,2021,Male,Saudi Arabia,Medicine and Surgery,Expired,2608
215,2022,Male,India,Nursing and Midwifery,Valid,2600
216,2016,Male,Saudi Arabia,Health Administration and Community Health,Expired Outdated,2593
218,2021,Female,India,Nursing and Midwifery,Expired Outdated,2585
219,2020,Male,Egypt,Pharmacists and Pharmacy Technicians,Expired Outdated,2582
220,2020,Male,Saudi Arabia,Technicians and Health Assistants,Valid,2578
221,2020,Female,India,Nursing and Midwifery,Valid,2564
225,2022,Male,Saudi Arabia,Nursing and Midwifery,Expired,2508
226,2020,Male,Saudi Arabia,Health Administration and Community Health,Expired Outdated,2493
227,2022,Male,Saudi Arabia,Medicine and Surgery,Expired,2485
228,2022,Male,Syria,Dentistry and Related Specialties,Valid,2477
229,2022,Male,Saudi Arabia,Laboratories and Medical Technology,Expired,2452
230,2020,Male,Saudi Arabia,Nursing and Midwifery,Valid,2433
233,2020,Male,Saudi Arabia,Laboratories and Medical Technology,Valid,2407
234,2022,Male,Saudi Arabia,Health Administration and Community Health,Expired,2392
236,2020,Male,Saudi Arabia,Therapy and Rehabilitation,Valid,2354
238,2021,Male,Egypt,Pharmacists and Pharmacy Technicians,Expired,2331
239,2020,Male,Egypt,Pharmacists and Pharmacy Technicians,Expired,2298
240,2019,Male,Philippines,Nursing and Midwifery,Expired Outdated,2286
241,2022,Male,Saudi Arabia,Technicians and Health Assistants,Expired,2286
244,2020,Male,Saudi Arabia,Medicine and Surgery,Expired,2235
245,2020,Female,Saudi Arabia,Therapy and Rehabilitation,Valid,2216
247,2016,Female,Egypt,Medicine and Surgery,Expired Outdated,2172
248,2017,Female,Egypt,Medicine and Surgery,Expired Outdated,2143
253,2022,Male,Egypt,Technicians and Health Assistants,Valid,2074
254,2022,Male,Egypt,Dentistry and Related Specialties,Valid,2067
255,2022,Female,Sudan,Laboratories and Medical Technology,Valid,2016
256,2020,Male,Saudi Arabia,Medicine and Surgery,Valid,1996
257,2020,Male,Saudi Arabia,Health Administration and Community Health,Valid,1994
259,2021,Female,Saudi Arabia,Therapy and Rehabilitation,Expired Outdated,1964
260,2018,Female,Egypt,Medicine and Surgery,Expired Outdated,1963
266,2018,Male,Saudi Arabia,Laboratories and Medical Technology,Expired Outdated,1930
268,2021,Male,Egypt,Medicine and Surgery,Expired,1921
269,2019,Male,Saudi Arabia,Laboratories and Medical Technology,Expired Outdated,1920
273,2016,Female,Saudi Arabia,Nursing and Midwifery,Expired Outdated,1881
275,2020,Male,Egypt,Medicine and Surgery,Expired,1868
277,2019,Female,Egypt,Medicine and Surgery,Expired Outdated,1846
279,2022,Male,India,Medicine and Surgery,Valid,1830
281,2016,Male,Saudi Arabia,Laboratories and Medical Technology,Expired Outdated,1825
283,2019,Male,Saudi Arabia,Technicians and Health Assistants,Expired Outdated,1808
288,2017,Male,Saudi Arabia,Laboratories and Medical Technology,Expired Outdated,1777
289,2016,Male,Saudi Arabia,Nursing and Midwifery,Expired Outdated,1772
291,2021,Female,Saudi Arabia,Medicine and Surgery,Expired,1764
293,2021,Male,Syria,Medicine and Surgery,Valid,1764
295,2016,Female,Philippines,Laboratories and Medical Technology,Expired Outdated,1757
302,2022,Female,Saudi Arabia,Medicine and Surgery,Expired,1683
304,2021,Female,Philippines,Laboratories and Medical Technology,Valid,1663
305,2022,Male,Egypt,Pharmacists and Pharmacy Technicians,Expired,1659
306,2018,Female,India,Nursing and Midwifery,Expired,1658
307,2020,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Valid,1647
308,2017,Female,India,Nursing and Midwifery,Expired,1646
309,2021,Male,Pakistan,Medicine and Surgery,Valid,1632
311,2017,Female,Philippines,Laboratories and Medical Technology,Expired Outdated,1630
313,2016,Male,Saudi Arabia,Technicians and Health Assistants,Expired Outdated,1625
314,2020,Male,Egypt,Medicine and Surgery,Valid,1622
315,2017,Male,Saudi Arabia,Nursing and Midwifery,Expired Outdated,1621
318,2019,Female,Saudi Arabia,Laboratories and Medical Technology,Expired Outdated,1609
319,2019,Female,Saudi Arabia,Health Administration and Community Health,Expired Outdated,1601
320,2018,Female,Saudi Arabia,Laboratories and Medical Technology,Expired Outdated,1595
321,2017,Female,Saudi Arabia,Nursing and Midwifery,Expired Outdated,1571
322,2021,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Expired,1570
323,2020,Female,Saudi Arabia,Laboratories and Medical Technology,Valid,1567
325,2018,Female,Saudi Arabia,Nursing and Midwifery,Expired Outdated,1556
326,2022,Male,Yemen,Medicine and Surgery,Valid,1554
328,2018,Male,Saudi Arabia,Technicians and Health Assistants,Expired Outdated,1533
330,2020,Female,Saudi Arabia,Medicine and Surgery,Expired,1531
331,2020,Male,Saudi Arabia,Technicians and Health Assistants,Expired Outdated,1511
332,2018,Female,Philippines,Laboratories and Medical Technology,Expired Outdated,1510
333,2020,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Expired,1494
334,2022,Female,Egypt,Dentistry and Related Specialties,Valid,1490
335,2021,Female,Malaysia,Nursing and Midwifery,Valid,1489
339,2022,Female,Pakistan,Nursing and Midwifery,Valid,1481
341,2022,Male,Egypt,Medicine and Surgery,Expired,1474
342,2017,Female,Sudan,Medicine and Surgery,Expired Outdated,1460
347,2020,Male,Saudi Arabia,Laboratories and Medical Technology,Expired Outdated,1441
348,2020,Male,Philippines,Nursing and Midwifery,Expired Outdated,1438
349,2018,Male,Saudi Arabia,Nursing and Midwifery,Expired Outdated,1438
351,2019,Female,Saudi Arabia,Nursing and Midwifery,Expired Outdated,1435
353,2019,Male,Saudi Arabia,Nursing and Midwifery,Expired Outdated,1422
354,2022,Male,Egypt,Nursing and Midwifery,Valid,1413
356,2017,Male,Saudi Arabia,Technicians and Health Assistants,Expired Outdated,1407
357,2022,Female,Pakistan,Medicine and Surgery,Valid,1406
358,2021,Male,Saudi Arabia,Therapy and Rehabilitation,Expired Outdated,1403
359,2016,Female,Sudan,Medicine and Surgery,Expired Outdated,1393
362,2018,Female,Saudi Arabia,Health Administration and Community Health,Expired Outdated,1372
365,2019,Female,Philippines,Laboratories and Medical Technology,Expired Outdated,1362
366,2021,Male,Philippines,Nursing and Midwifery,Expired,1360
368,2016,Male,Pakistan,Medicine and Surgery,Expired Outdated,1353
369,2022,Male,Nigeria,Medicine and Surgery,Valid,1352
370,2016,Female,Malaysia,Nursing and Midwifery,Expired Outdated,1346
371,2016,Male,Sudan,Medicine and Surgery,Expired Outdated,1343
372,2022,Male,Jordan,Medicine and Surgery,Valid,1331
376,2022,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Expired,1321
377,2020,Male,Philippines,Nursing and Midwifery,Expired,1315
378,2022,Male,Jordan,Nursing and Midwifery,Valid,1314
379,2022,Male,Sudan,Laboratories and Medical Technology,Valid,1311
382,2017,Male,Sudan,Medicine and Surgery,Expired Outdated,1295
383,2018,Female,Sudan,Medicine and Surgery,Expired Outdated,1290
384,2017,Male,Pakistan,Medicine and Surgery,Expired Outdated,1285
385,2021,Male,India,Nursing and Midwifery,Valid,1285
387,2018,Female,Saudi Arabia,Technicians and Health Assistants,Expired Outdated,1280
390,2022,Female,Philippines,Therapy and Rehabilitation,Valid,1270
391,2017,Female,Malaysia,Nursing and Midwifery,Expired Outdated,1264
394,2019,Female,Saudi Arabia,Technicians and Health Assistants,Expired Outdated,1244
395,2018,Male,Sudan,Medicine and Surgery,Expired Outdated,1241
396,2020,Female,Saudi Arabia,Health Administration and Community Health,Expired Outdated,1236
397,2021,Female,Saudi Arabia,Laboratories and Medical Technology,Expired,1233
398,2021,Male,Syria,Dentistry and Related Specialties,Valid,1227
406,2020,Female,Saudi Arabia,Medicine and Surgery,Valid,1199
407,2020,Female,Egypt,Medicine and Surgery,Expired Outdated,1194
409,2017,Female,Saudi Arabia,Laboratories and Medical Technology,Expired Outdated,1193
410,2020,Female,Saudi Arabia,Laboratories and Medical Technology,Expired,1190
412,2021,Male,Egypt,Technicians and Health Assistants,Valid,1184
414,2019,Male,Egypt,Pharmacists and Pharmacy Technicians,Expired,1182
415,2022,Female,Philippines,Dentistry and Related Specialties,Valid,1180
416,2020,Female,Saudi Arabia,Laboratories and Medical Technology,Expired Outdated,1175
418,2019,Female,Saudi Arabia,Nursing and Midwifery,Expired,1173
419,2020,Female,Saudi Arabia,Nursing and Midwifery,Expired Outdated,1159
421,2021,Female,Saudi Arabia,Health Administration and Community Health,Expired,1155
422,2020,Male,Saudi Arabia,Nursing and Midwifery,Expired Outdated,1148
425,2016,Female,Philippines,Nursing and Midwifery,Expired,1134
427,2018,Female,Malaysia,Nursing and Midwifery,Expired Outdated,1130
428,2020,Male,Egypt,Pharmacists and Pharmacy Technicians,Valid,1127
431,2019,Male,Saudi Arabia,Nursing and Midwifery,Expired,1111
432,2020,Female,Saudi Arabia,Health Administration and Community Health,Expired,1110
437,2018,Male,Pakistan,Medicine and Surgery,Expired Outdated,1085
439,2021,Male,Saudi Arabia,Health Administration and Community Health,Expired Outdated,1081
440,2019,Male,Sudan,Medicine and Surgery,Expired Outdated,1080
444,2021,Male,Egypt,Dentistry and Related Specialties,Valid,1072
445,2022,Male,Yemen,Pharmacists and Pharmacy Technicians,Valid,1066
446,2019,Female,Sudan,Medicine and Surgery,Expired Outdated,1062
447,2016,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Expired Outdated,1061
449,2022,Female,Syria,Dentistry and Related Specialties,Valid,1054
450,2021,Female,Saudi Arabia,Dentistry and Related Specialties,Expired,1047
452,2021,Female,Sudan,Laboratories and Medical Technology,Valid,1040
454,2022,Female,Saudi Arabia,Laboratories and Medical Technology,Expired,1038
455,2016,Female,Saudi Arabia,Laboratories and Medical Technology,Expired Outdated,1036
457,2019,Male,Saudi Arabia,Medicine and Surgery,Expired Outdated,1032
458,2022,Female,South Africa,Nursing and Midwifery,Valid,1031
460,2017,Female,Saudi Arabia,Technicians and Health Assistants,Expired Outdated,1021
466,2021,Male,India,Medicine and Surgery,Valid,989
467,2022,Male,Philippines,Nursing and Midwifery,Expired,986
468,2019,Female,Saudi Arabia,Therapy and Rehabilitation,Expired,985
473,2019,Male,Saudi Arabia,Technicians and Health Assistants,Expired,980
474,2016,Female,Saudi Arabia,Technicians and Health Assistants,Expired Outdated,979
476,2019,Female,Malaysia,Nursing and Midwifery,Expired Outdated,965
477,2022,Female,Saudi Arabia,Dentistry and Related Specialties,Expired,964
480,2022,Female,Saudi Arabia,Health Administration and Community Health,Expired,961
481,2021,Male,Egypt,Pharmacists and Pharmacy Technicians,Expired Outdated,960
484,2016,Male,India,Medicine and Surgery,Expired Outdated,950
488,2022,Male,Philippines,Laboratories and Medical Technology,Valid,941
492,2022,Male,Sudan,Pharmacists and Pharmacy Technicians,Valid,934
493,2022,Male,Egypt,Laboratories and Medical Technology,Valid,934
498,2022,Female,Syria,Medicine and Surgery,Valid,925
499,2020,Female,Saudi Arabia,Dentistry and Related Specialties,Expired,923
501,2019,Male,Pakistan,Medicine and Surgery,Expired Outdated,917
503,2018,Female,Saudi Arabia,Nursing and Midwifery,Expired,914
504,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Expired,914
505,2017,Female,Saudi Arabia,Nursing and Midwifery,Expired,910
507,2020,Female,Saudi Arabia,Technicians and Health Assistants,Expired Outdated,906
509,2017,Female,Saudi Arabia,Health Administration and Community Health,Expired Outdated,903
510,2018,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Expired Outdated,900
512,2017,Male,India,Medicine and Surgery,Expired Outdated,893
514,2017,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Expired Outdated,884
515,2021,Female,Saudi Arabia,Technicians and Health Assistants,Expired,877
517,2019,Male,Saudi Arabia,Health Administration and Community Health,Expired,873
518,2016,Female,Egypt,Nursing and Midwifery,Expired Outdated,868
519,2019,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Expired Outdated,867
521,2020,Female,Saudi Arabia,Technicians and Health Assistants,Expired,864
522,2018,Male,Saudi Arabia,Medicine and Surgery,Expired Outdated,860
524,2022,Male,Saudi Arabia,Dentistry and Related Specialties,Expired,859
529,2020,Female,Philippines,Laboratories and Medical Technology,Expired Outdated,848
530,2019,Male,Saudi Arabia,Therapy and Rehabilitation,Expired,846
531,2021,Female,Egypt,Medicine and Surgery,Expired,845
532,2016,Female,Egypt,Pharmacists and Pharmacy Technicians,Expired Outdated,843
533,2019,Male,Saudi Arabia,Laboratories and Medical Technology,Expired,841
536,2020,Male,Saudi Arabia,Dentistry and Related Specialties,Expired,832
537,2021,Male,Egypt,Medicine and Surgery,Expired Outdated,831
538,2020,Male,Saudi Arabia,Medicine and Surgery,Expired Outdated,824
539,2020,Female,Egypt,Medicine and Surgery,Expired,824
542,2020,Female,Saudi Arabia,Health Administration and Community Health,Valid,817
549,2017,Female,Pakistan,Medicine and Surgery,Expired Outdated,791
550,2018,Male,India,Medicine and Surgery,Expired Outdated,790
551,2022,Female,Jordan,Nursing and Midwifery,Valid,789
553,2020,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Valid,783
554,2021,Male,Yemen,Medicine and Surgery,Valid,778
555,2022,Female,Sudan,Dentistry and Related Specialties,Valid,778
556,2017,Male,Saudi Arabia,Medicine and Surgery,Expired Outdated,777
558,2017,Female,Egypt,Pharmacists and Pharmacy Technicians,Expired Outdated,775
560,2021,Female,Egypt,Dentistry and Related Specialties,Valid,773
561,2017,Female,Egypt,Nursing and Midwifery,Expired Outdated,773
562,2021,Male,Egypt,Nursing and Midwifery,Valid,767
563,2018,Male,Saudi Arabia,Nursing and Midwifery,Expired,766
564,2016,Male,Saudi Arabia,Medicine and Surgery,Expired Outdated,766
565,2017,Male,Egypt,Pharmacists and Pharmacy Technicians,Expired,765
566,2018,Male,Egypt,Pharmacists and Pharmacy Technicians,Expired,765
567,2017,Male,Saudi Arabia,Nursing and Midwifery,Expired,765
569,2020,Female,Saudi Arabia,Dentistry and Related Specialties,Valid,763
570,2016,Female,Pakistan,Medicine and Surgery,Expired Outdated,762
571,2022,Male,India,Dentistry and Related Specialties,Valid,757
575,2021,Male,Sudan,Medicine and Surgery,Expired,751
576,2021,Male,Saudi Arabia,Technicians and Health Assistants,Expired Outdated,749
577,2021,Male,Jordan,Medicine and Surgery,Valid,745
579,2016,Female,Saudi Arabia,Health Administration and Community Health,Expired Outdated,741
584,2021,Female,Philippines,Laboratories and Medical Technology,Expired,738
585,2017,Female,Egypt,Dentistry and Related Specialties,Expired Outdated,736
586,2022,Female,Sudan,Therapy and Rehabilitation,Valid,735
588,2017,Male,Egypt,Dentistry and Related Specialties,Expired Outdated,734
589,2020,Female,Sudan,Medicine and Surgery,Valid,733
880,2020,Female,Egypt,Medicine and Surgery,Valid,731
2604,2021,Female,Pakistan,Medicine and Surgery,Valid,727
2605,2022,Female,Yemen,Medicine and Surgery,Valid,726
2606,2017,Female,Sudan,Laboratories and Medical Technology,Expired Outdated,724
2607,2021,Male,Nigeria,Medicine and Surgery,Valid,724
2608,2019,Female,Saudi Arabia,Medicine and Surgery,Expired Outdated,721
2609,2020,Male,Sudan,Medicine and Surgery,Expired,718
2610,2020,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Expired Outdated,716
2611,2020,Female,Philippines,Laboratories and Medical Technology,Expired,716
2612,2016,Male,Egypt,Dentistry and Related Specialties,Expired Outdated,712
2615,2022,Female,India,Medicine and Surgery,Valid,707
2616,2018,Female,Egypt,Nursing and Midwifery,Expired Outdated,707
2618,2022,Male,Sudan,Nursing and Midwifery,Valid,704
2619,2020,Male,Sudan,Medicine and Surgery,Expired Outdated,701
2624,2021,Female,Philippines,Therapy and Rehabilitation,Valid,696
2629,2019,Male,India,Medicine and Surgery,Expired Outdated,690
2632,2019,Female,Egypt,Nursing and Midwifery,Expired Outdated,688
2633,2018,Male,Egypt,Dentistry and Related Specialties,Expired Outdated,687
2634,2016,Female,Egypt,Dentistry and Related Specialties,Expired Outdated,686
2636,2021,Female,Pakistan,Nursing and Midwifery,Valid,684
2637,2021,Male,Jordan,Nursing and Midwifery,Valid,683
2638,2022,Female,Philippines,Pharmacists and Pharmacy Technicians,Valid,683
2639,2016,Male,Syria,Medicine and Surgery,Expired Outdated,680
2640,2022,Female,Saudi Arabia,Technicians and Health Assistants,Expired,680
2641,2020,Male,Saudi Arabia,Dentistry and Related Specialties,Valid,672
2644,2021,Male,Sudan,Laboratories and Medical Technology,Valid,668
2646,2019,Male,Philippines,Nursing and Midwifery,Expired,668
2649,2018,Female,Pakistan,Medicine and Surgery,Expired Outdated,666
2651,2020,Female,Saudi Arabia,Technicians and Health Assistants,Valid,665
2655,2022,Female,Egypt,Pharmacists and Pharmacy Technicians,Valid,661
2657,2021,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Expired,658
2658,2022,Male,Palestine,Medicine and Surgery,Valid,658
2659,2020,Male,Sudan,Medicine and Surgery,Valid,658
2660,2018,Female,Egypt,Dentistry and Related Specialties,Expired Outdated,657
2662,2022,Male,India,Laboratories and Medical Technology,Valid,656
2664,2022,Male,Philippines,Therapy and Rehabilitation,Valid,654
2666,2016,Female,Philippines,Dentistry and Related Specialties,Expired Outdated,651
2671,2021,Female,Philippines,Dentistry and Related Specialties,Valid,645
2675,2016,Female,South Africa,Nursing and Midwifery,Expired Outdated,640
2684,2019,Male,Egypt,Dentistry and Related Specialties,Expired Outdated,630
2685,2017,Male,Saudi Arabia,Technicians and Health Assistants,Expired,628
2686,2018,Male,Saudi Arabia,Technicians and Health Assistants,Expired,628
2687,2020,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Expired,627
2688,2016,Female,Sudan,Laboratories and Medical Technology,Expired Outdated,626
2695,2022,Male,Yemen,Dentistry and Related Specialties,Valid,618
2696,2022,Female,Egypt,Medicine and Surgery,Expired,616
2697,2021,Male,Saudi Arabia,Laboratories and Medical Technology,Expired Outdated,615
2698,2016,Female,Philippines,Therapy and Rehabilitation,Expired Outdated,615
2702,2017,Male,Syria,Medicine and Surgery,Expired Outdated,611
2704,2022,Male,Sudan,Medicine and Surgery,Expired,609
2714,2018,Male,Saudi Arabia,Laboratories and Medical Technology,Expired,603
2715,2017,Male,Saudi Arabia,Laboratories and Medical Technology,Expired,602
2716,2022,Male,Jordan,Dentistry and Related Specialties,Valid,602
2719,2018,Female,Sudan,Laboratories and Medical Technology,Expired Outdated,601
2722,2021,Female,South Africa,Nursing and Midwifery,Valid,598
2725,2020,Male,Philippines,Nursing and Midwifery,Valid,592
2727,2017,Female,Philippines,Therapy and Rehabilitation,Expired Outdated,592
2729,2020,Female,Sudan,Medicine and Surgery,Expired Outdated,591
2731,2022,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Expired,590
2735,2017,Female,Philippines,Dentistry and Related Specialties,Expired Outdated,583
2737,2016,Male,Philippines,Laboratories and Medical Technology,Expired Outdated,577
2739,2020,Female,Saudi Arabia,Medicine and Surgery,Expired Outdated,575
2740,2018,Female,Saudi Arabia,Medicine and Surgery,Expired Outdated,568
2743,2017,Female,South Africa,Nursing and Midwifery,Expired Outdated,562
2745,2019,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Expired,558
