,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Current_Speciality_Name_En,Number_of_Practitioners
121,2021,Male,Saudi Arabia,Health Administration and Community Health,Public Health,4119
126,2020,Male,Saudi Arabia,Health Administration and Community Health,Health Administration,4010
129,2022,Female,Saudi Arabia,Health Administration and Community Health,Health Informatics,3918
130,2021,Female,Saudi Arabia,Therapy and Rehabilitation,Psychology,3902
132,2021,Male,Saudi Arabia,Medicine and Surgery,General Practice,3898
135,2021,Female,Egypt,Nursing and Midwifery,Nursing,3683
136,2022,Female,Saudi Arabia,Medicine and Surgery,General Practice,3680
137,2021,Male,Saudi Arabia,Therapy and Rehabilitation,Sociology,3623
138,2020,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Pharmacy,3545
139,2022,Female,Saudi Arabia,Therapy and Rehabilitation,Clinical Nutrition,3529
140,2021,Male,Saudi Arabia,Dentistry and Related Specialties,General Dentistry,3516
144,2021,Female,Saudi Arabia,Dentistry and Related Specialties,General Dentistry,3424
145,2021,Male,Saudi Arabia,Health Administration and Community Health,Health Informatics,3421
146,2022,Female,Philippines,Nursing and Midwifery,Midwifery,3415
147,2022,Female,Saudi Arabia,Health Administration and Community Health,Health Administration,3407
148,2020,Male,Saudi Arabia,Technicians and Health Assistants,Emergency Medical Services,3379
151,2020,Male,Philippines,Nursing and Midwifery,Nursing,3337
152,2017,Male,Philippines,Nursing and Midwifery,Nursing,3290
154,2021,Male,Saudi Arabia,Therapy and Rehabilitation,Physiotherapy,3224
156,2021,Female,Saudi Arabia,Therapy and Rehabilitation,Physiotherapy,3207
157,2018,Male,Philippines,Nursing and Midwifery,Nursing,3160
159,2016,Male,Philippines,Nursing and Midwifery,Nursing,3135
160,2021,Female,Sudan,Nursing and Midwifery,Nursing,3117
161,2020,Male,Saudi Arabia,Therapy and Rehabilitation,Sociology,3108
162,2022,Female,Malaysia,Nursing and Midwifery,Nursing,3080
163,2021,Female,Sudan,Medicine and Surgery,General Practice,3067
165,2022,Male,Saudi Arabia,Medicine and Surgery,Family Medicine,3053
166,2020,Male,Saudi Arabia,Laboratories and Medical Technology,Laboratory,3047
168,2022,Female,Saudi Arabia,Technicians and Health Assistants,Medical Secretary,3044
169,2019,Male,Philippines,Nursing and Midwifery,Nursing,2984
170,2022,Female,Saudi Arabia,Medicine and Surgery,Family Medicine,2974
171,2022,Female,Saudi Arabia,Therapy and Rehabilitation,Sociology,2964
172,2019,Female,Saudi Arabia,Nursing and Midwifery,Nursing,2961
173,2019,Male,Saudi Arabia,Therapy and Rehabilitation,Sociology,2909
174,2022,Male,Saudi Arabia,Therapy and Rehabilitation,Social Service,2907
175,2020,Female,Saudi Arabia,Therapy and Rehabilitation,Social Service,2900
176,2018,Male,Saudi Arabia,Therapy and Rehabilitation,Sociology,2891
177,2022,Female,Saudi Arabia,Therapy and Rehabilitation,Food And Nutrition Services,2860
178,2021,Male,Saudi Arabia,Therapy and Rehabilitation,Emergency Medical Services,2837
179,2022,Male,India,Nursing and Midwifery,Nursing,2833
180,2021,Male,Sudan,Medicine and Surgery,General Practice,2797
181,2019,Male,Saudi Arabia,Nursing and Midwifery,Nursing,2788
182,2021,Female,Saudi Arabia,Health Administration and Community Health,Health Administration,2775
185,2019,Male,Saudi Arabia,Health Administration and Community Health,Health Administration,2680
187,2018,Female,Saudi Arabia,Nursing and Midwifery,Nursing,2660
189,2017,Female,Saudi Arabia,Nursing and Midwifery,Nursing,2649
190,2021,Female,Saudi Arabia,Therapy and Rehabilitation,Sociology,2646
191,2022,Male,Saudi Arabia,Therapy and Rehabilitation,Psychology,2626
192,2022,Female,Saudi Arabia,Medicine and Surgery,Pediatrics,2618
195,2021,Male,Saudi Arabia,Technicians and Health Assistants,Health Care security,2567
197,2017,Male,Saudi Arabia,Nursing and Midwifery,Nursing,2546
198,2022,Male,Saudi Arabia,Therapy and Rehabilitation,Anesthesia Technology,2546
203,2022,Female,Saudi Arabia,Technicians and Health Assistants,Health Care security,2511
204,2022,Male,Saudi Arabia,Medicine and Surgery,Pediatrics,2506
205,2017,Male,Saudi Arabia,Therapy and Rehabilitation,Sociology,2470
207,2021,Female,Saudi Arabia,Laboratories and Medical Technology,Radiological Technology,2463
208,2021,Female,Philippines,Nursing and Midwifery,Midwifery,2433
212,2020,Female,Saudi Arabia,Laboratories and Medical Technology,Laboratory,2420
213,2022,Male,Saudi Arabia,Laboratories and Medical Technology,Medical Devices,2415
216,2018,Male,Saudi Arabia,Nursing and Midwifery,Nursing,2394
218,2019,Female,Saudi Arabia,Therapy and Rehabilitation,Social Service,2388
220,2022,Male,Egypt,Medicine and Surgery,Pediatrics,2351
222,2018,Male,Saudi Arabia,Health Administration and Community Health,Health Administration,2287
223,2021,Male,Saudi Arabia,Medicine and Surgery,Internal Medicine,2280
226,2021,Female,Saudi Arabia,Medicine and Surgery,General Practice,2254
227,2020,Female,Saudi Arabia,Therapy and Rehabilitation,Sociology,2231
229,2022,Male,Egypt,Medicine and Surgery,Internal Medicine,2193
230,2022,Male,Egypt,Technicians and Health Assistants,Optics,2187
231,2022,Male,Egypt,Medicine and Surgery,General Practice,2154
232,2022,Female,Saudi Arabia,Medicine and Surgery,Internal Medicine,2153
233,2021,Female,Saudi Arabia,Health Administration and Community Health,Health Informatics,2137
236,2021,Female,Malaysia,Nursing and Midwifery,Nursing,2127
237,2020,Female,Saudi Arabia,Therapy and Rehabilitation,Psychology,2120
239,2019,Female,Saudi Arabia,Therapy and Rehabilitation,Sociology,2098
242,2021,Female,Saudi Arabia,Therapy and Rehabilitation,Clinical Nutrition,2081
243,2021,Female,Saudi Arabia,Therapy and Rehabilitation,Food And Nutrition Services,2078
245,2021,Female,Saudi Arabia,Dentistry and Related Specialties,Dental Assistant,2050
247,2022,Male,Saudi Arabia,Therapy and Rehabilitation,Respiratory Therapy,2039
249,2016,Female,Saudi Arabia,Nursing and Midwifery,Nursing,2006
251,2016,Male,Saudi Arabia,Therapy and Rehabilitation,Sociology,2000
253,2021,Male,Saudi Arabia,Therapy and Rehabilitation,Social Service,1964
254,2017,Male,Saudi Arabia,Health Administration and Community Health,Health Administration,1954
257,2018,Female,Saudi Arabia,Therapy and Rehabilitation,Social Service,1907
258,2021,Female,Saudi Arabia,Technicians and Health Assistants,Medical Secretary,1905
262,2016,Male,Saudi Arabia,Nursing and Midwifery,Nursing,1885
263,2020,Male,Saudi Arabia,Laboratories and Medical Technology,Radiological Technology,1864
265,2021,Male,Saudi Arabia,Therapy and Rehabilitation,Psychology,1861
266,2018,Female,Saudi Arabia,Therapy and Rehabilitation,Sociology,1856
267,2022,Male,Saudi Arabia,Therapy and Rehabilitation,Food And Nutrition Services,1856
269,2022,Female,Egypt,Medicine and Surgery,Obstetrics And Gynecology,1818
272,2022,Female,Philippines,Laboratories and Medical Technology,Laboratory,1796
280,2022,Male,Egypt,Medicine and Surgery,Anesthesia,1757
281,2020,Female,Saudi Arabia,Health Administration and Community Health,Health Administration,1755
284,2019,Female,Saudi Arabia,Therapy and Rehabilitation,Psychology,1729
285,2022,Male,Saudi Arabia,Medicine and Surgery,General Surgery,1723
286,2022,Female,Saudi Arabia,Nursing and Midwifery,Midwifery,1715
287,2021,Male,India,Nursing and Midwifery,Nursing,1709
290,2022,Female,Saudi Arabia,Technicians and Health Assistants,Food Science And Technology,1694
292,2022,Male,Saudi Arabia,Technicians and Health Assistants,Operation Rooms,1682
297,2022,Female,Saudi Arabia,Medicine and Surgery,Obstetrics And Gynecology,1639
298,2020,Male,Saudi Arabia,Health Administration and Community Health,Public Health,1628
299,2022,Female,Philippines,Laboratories and Medical Technology,Radiological Technology,1626
300,2022,Female,Pakistan,Nursing and Midwifery,Nursing,1625
303,2021,Male,Saudi Arabia,Medicine and Surgery,Family Medicine,1582
306,2021,Male,Saudi Arabia,Laboratories and Medical Technology,Medical Devices,1560
308,2020,Male,Saudi Arabia,Medicine and Surgery,General Practice,1547
309,2020,Male,Saudi Arabia,Therapy and Rehabilitation,Social Service,1546
310,2022,Male,Egypt,Medicine and Surgery,General Surgery,1542
312,2021,Male,Egypt,Technicians and Health Assistants,Optics,1520
314,2022,Female,Egypt,Medicine and Surgery,Pediatrics,1506
315,2016,Male,Saudi Arabia,Health Administration and Community Health,Health Administration,1506
318,2020,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Pharmacy,1474
320,2021,Male,Saudi Arabia,Therapy and Rehabilitation,Anesthesia Technology,1473
321,2018,Female,Saudi Arabia,Therapy and Rehabilitation,Psychology,1463
323,2021,Female,Saudi Arabia,Technicians and Health Assistants,Food Science And Technology,1454
326,2021,Female,Saudi Arabia,Medicine and Surgery,Family Medicine,1449
327,2022,Female,Saudi Arabia,Therapy and Rehabilitation,Respiratory Therapy,1448
328,2021,Male,Egypt,Medicine and Surgery,Internal Medicine,1448
329,2022,Male,Egypt,Nursing and Midwifery,Nursing,1447
330,2022,Male,Saudi Arabia,Technicians and Health Assistants,Health Services Administration And Hosiptals,1446
331,2021,Male,Egypt,Medicine and Surgery,General Practice,1439
332,2020,Male,Saudi Arabia,Health Administration and Community Health,Health Informatics,1432
333,2021,Female,Philippines,Laboratories and Medical Technology,Laboratory,1429
334,2019,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Pharmacy,1424
335,2021,Male,Saudi Arabia,Medicine and Surgery,Pediatrics,1423
336,2022,Male,Saudi Arabia,Technicians and Health Assistants,Medical Secretary,1410
337,2019,Male,Saudi Arabia,Laboratories and Medical Technology,Laboratory,1407
338,2021,Female,Saudi Arabia,Medicine and Surgery,Pediatrics,1402
340,2021,Male,Egypt,Medicine and Surgery,Pediatrics,1395
341,2022,Male,Syria,Dentistry and Related Specialties,General Dentistry,1394
342,2022,Male,Jordan,Nursing and Midwifery,Nursing,1384
343,2017,Female,Malaysia,Nursing and Midwifery,Nursing,1379
344,2022,Female,Egypt,Medicine and Surgery,Dermatology,1376
345,2019,Male,Saudi Arabia,Technicians and Health Assistants,Emergency Medical Services,1371
346,2022,Female,Egypt,Medicine and Surgery,General Practice,1370
348,2020,Female,Egypt,Nursing and Midwifery,Nursing,1366
351,2016,Female,Malaysia,Nursing and Midwifery,Nursing,1345
353,2022,Male,Egypt,Medicine and Surgery,Orthopedic Surgery,1324
356,2020,Male,Saudi Arabia,Therapy and Rehabilitation,Psychology,1307
357,2020,Female,Philippines,Nursing and Midwifery,Midwifery,1306
360,2018,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Pharmacy,1297
361,2019,Female,Saudi Arabia,Health Administration and Community Health,Health Administration,1297
367,2020,Male,Sudan,Medicine and Surgery,General Practice,1286
369,2019,Male,Saudi Arabia,Therapy and Rehabilitation,Social Service,1281
371,2017,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Pharmacy,1276
374,2017,Female,Saudi Arabia,Therapy and Rehabilitation,Sociology,1265
375,2019,Female,Saudi Arabia,Laboratories and Medical Technology,Laboratory,1264
376,2018,Female,Malaysia,Nursing and Midwifery,Nursing,1255
377,2017,Male,Saudi Arabia,Technicians and Health Assistants,Emergency Medical Services,1250
379,2021,Male,Saudi Arabia,Therapy and Rehabilitation,Food And Nutrition Services,1248
380,2018,Male,Saudi Arabia,Laboratories and Medical Technology,Laboratory,1240
381,2021,Female,Saudi Arabia,Medicine and Surgery,Internal Medicine,1237
385,2017,Female,Philippines,Nursing and Midwifery,Midwifery,1219
386,2020,Female,Sudan,Medicine and Surgery,General Practice,1210
387,2020,Female,Saudi Arabia,Therapy and Rehabilitation,Food And Nutrition Services,1210
388,2017,Female,Philippines,Laboratories and Medical Technology,Laboratory,1209
390,2018,Male,Saudi Arabia,Therapy and Rehabilitation,Social Service,1201
391,2020,Female,Malaysia,Nursing and Midwifery,Nursing,1201
392,2021,Female,Philippines,Laboratories and Medical Technology,Radiological Technology,1197
394,2022,Female,Egypt,Dentistry and Related Specialties,General Dentistry,1192
395,2019,Female,Malaysia,Nursing and Midwifery,Nursing,1192
398,2018,Male,Saudi Arabia,Technicians and Health Assistants,Emergency Medical Services,1180
399,2018,Female,Saudi Arabia,Laboratories and Medical Technology,Laboratory,1175
402,2016,Female,Philippines,Laboratories and Medical Technology,Laboratory,1167
404,2022,Male,Saudi Arabia,Medicine and Surgery,Orthopedic Surgery,1152
405,2017,Female,Saudi Arabia,Therapy and Rehabilitation,Social Service,1152
406,2022,Female,Saudi Arabia,Health Administration and Community Health,Public Health,1148
408,2017,Male,Saudi Arabia,Laboratories and Medical Technology,Laboratory,1142
410,2016,Female,Philippines,Nursing and Midwifery,Midwifery,1126
411,2022,Male,Egypt,Medicine and Surgery,Diagnostic Radiology,1123
415,2017,Female,Saudi Arabia,Therapy and Rehabilitation,Psychology,1119
416,2021,Female,Egypt,Medicine and Surgery,Obstetrics And Gynecology,1116
418,2018,Female,Philippines,Laboratories and Medical Technology,Laboratory,1106
419,2022,Male,Yemen,Pharmacists and Pharmacy Technicians,Pharmacy,1103
420,2022,Male,Saudi Arabia,Medicine and Surgery,Diagnostic Radiology,1099
421,2019,Female,Philippines,Nursing and Midwifery,Midwifery,1098
424,2022,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,1095
427,2016,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Pharmacy,1090
428,2017,Female,Sudan,Medicine and Surgery,General Practice,1089
430,2020,Female,Saudi Arabia,Technicians and Health Assistants,Food Science And Technology,1079
432,2021,Male,Saudi Arabia,Technicians and Health Assistants,Operation Rooms,1075
433,2018,Female,Philippines,Nursing and Midwifery,Midwifery,1075
434,2022,Male,Saudi Arabia,Dentistry and Related Specialties,Dental Technology,1074
437,2019,Male,Saudi Arabia,Therapy and Rehabilitation,Psychology,1071
439,2022,Male,Egypt,Dentistry and Related Specialties,General Dentistry,1065
443,2021,Male,Saudi Arabia,Technicians and Health Assistants,Health Services Administration And Hosiptals,1054
444,2022,Female,Saudi Arabia,Health Administration and Community Health,Health Education,1053
445,2019,Female,Philippines,Laboratories and Medical Technology,Laboratory,1052
447,2020,Female,Saudi Arabia,Dentistry and Related Specialties,General Dentistry,1052
448,2021,Male,Egypt,Medicine and Surgery,Anesthesia,1049
449,2022,Male,Saudi Arabia,Therapy and Rehabilitation,Clinical Nutrition,1048
450,2021,Male,Saudi Arabia,Therapy and Rehabilitation,Respiratory Therapy,1045
460,2020,Female,Philippines,Laboratories and Medical Technology,Laboratory,1024
461,2016,Male,Egypt,Medicine and Surgery,General Practice,1023
462,2022,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,1017
463,2018,Female,Saudi Arabia,Health Administration and Community Health,Health Administration,1015
464,2016,Female,Sudan,Medicine and Surgery,General Practice,1014
465,2021,Female,Saudi Arabia,Nursing and Midwifery,Midwifery,1007
466,2022,Female,South Africa,Nursing and Midwifery,Nursing,1006
467,2021,Male,Egypt,Medicine and Surgery,General Surgery,1004
471,2019,Female,Saudi Arabia,Therapy and Rehabilitation,Food And Nutrition Services,997
473,2020,Male,Saudi Arabia,Dentistry and Related Specialties,General Dentistry,993
474,2022,Male,Sudan,Pharmacists and Pharmacy Technicians,Pharmacy,990
475,2018,Female,Saudi Arabia,Therapy and Rehabilitation,Food And Nutrition Services,986
478,2020,Male,Saudi Arabia,Therapy and Rehabilitation,Physiotherapy,979
482,2022,Male,Pakistan,Medicine and Surgery,General Practice,973
484,2022,Female,Philippines,Dentistry and Related Specialties,Dental Assistant,967
486,2021,Male,Saudi Arabia,Medicine and Surgery,General Surgery,964
487,2021,Female,Pakistan,Nursing and Midwifery,Nursing,963
489,2022,Male,Nigeria,Medicine and Surgery,General Practice,960
491,2021,Male,Saudi Arabia,Technicians and Health Assistants,Medical Secretary,956
492,2018,Male,Saudi Arabia,Therapy and Rehabilitation,Psychology,955
495,2021,Female,Egypt,Medicine and Surgery,Pediatrics,946
497,2022,Female,Saudi Arabia,Technicians and Health Assistants,Patient Care,944
500,2018,Female,Sudan,Medicine and Surgery,General Practice,941
502,2022,Male,Saudi Arabia,Medicine and Surgery,Emergency Medicine,938
503,2017,Male,Egypt,Medicine and Surgery,General Practice,937
506,2021,Female,Saudi Arabia,Medicine and Surgery,Obstetrics And Gynecology,931
507,2019,Male,Saudi Arabia,Health Administration and Community Health,Public Health,924
508,2020,Female,Saudi Arabia,Medicine and Surgery,General Practice,923
514,2021,Female,Egypt,Medicine and Surgery,General Practice,915
515,2022,Male,Saudi Arabia,Laboratories and Medical Technology,Laboratory - Microbiology,910
516,2017,Female,Egypt,Nursing and Midwifery,Nursing,910
517,2019,Female,Egypt,Nursing and Midwifery,Nursing,909
519,2017,Female,Saudi Arabia,Laboratories and Medical Technology,Laboratory,901
521,2016,Female,Egypt,Nursing and Midwifery,Nursing,899
522,2016,Male,Saudi Arabia,Technicians and Health Assistants,Emergency Medical Services,897
525,2017,Male,Saudi Arabia,Therapy and Rehabilitation,Social Service,893
527,2020,Female,Saudi Arabia,Health Administration and Community Health,Health Informatics,891
529,2020,Female,Saudi Arabia,Therapy and Rehabilitation,Physiotherapy,885
530,2016,Female,Saudi Arabia,Therapy and Rehabilitation,Social Service,885
531,2022,Female,Syria,Dentistry and Related Specialties,General Dentistry,884
534,2016,Male,Sudan,Medicine and Surgery,General Practice,880
537,2018,Female,Saudi Arabia,Technicians and Health Assistants,Food Science And Technology,873
539,2017,Male,Sudan,Medicine and Surgery,General Practice,872
542,2022,Male,Egypt,Medicine and Surgery,Cardiovascular Medicine,867
543,2019,Female,Saudi Arabia,Technicians and Health Assistants,Food Science And Technology,863
545,2016,Male,Saudi Arabia,Laboratories and Medical Technology,Laboratory,862
546,2022,Female,Sudan,Laboratories and Medical Technology,Laboratory,860
547,2017,Female,Saudi Arabia,Therapy and Rehabilitation,Food And Nutrition Services,860
548,2020,Male,Saudi Arabia,Laboratories and Medical Technology,Medical Devices,859
549,2020,Male,Saudi Arabia,Therapy and Rehabilitation,Emergency Medical Services,857
551,2021,Male,Jordan,Nursing and Midwifery,Nursing,852
552,2016,Female,Egypt,Pharmacists and Pharmacy Technicians,Pharmacy,851
553,2021,Male,Egypt,Nursing and Midwifery,Nursing,848
554,2021,Female,Saudi Arabia,Therapy and Rehabilitation,Respiratory Therapy,847
556,2018,Female,Egypt,Nursing and Midwifery,Nursing,845
558,2022,Female,Philippines,Therapy and Rehabilitation,Respiratory Therapy,843
559,2020,Male,Egypt,Medicine and Surgery,General Practice,843
560,2022,Male,Egypt,Medicine and Surgery,Critical Care Medicine,840
561,2020,Female,Saudi Arabia,Technicians and Health Assistants,Medical Secretary,837
562,2022,Female,Saudi Arabia,Medicine and Surgery,General Surgery,836
565,2021,Female,South Africa,Nursing and Midwifery,Nursing,833
566,2018,Male,Saudi Arabia,Health Administration and Community Health,Public Health,832
570,2017,Female,Egypt,Pharmacists and Pharmacy Technicians,Pharmacy,826
571,2022,Female,Philippines,Pharmacists and Pharmacy Technicians,Pharmacy,826
574,2022,Male,Saudi Arabia,Dentistry and Related Specialties,Dental Assistant,822
575,2016,Female,Saudi Arabia,Therapy and Rehabilitation,Sociology,815
578,2022,Male,Egypt,Medicine and Surgery,Obstetrics And Gynecology,812
579,2016,Female,Saudi Arabia,Therapy and Rehabilitation,Food And Nutrition Services,812
580,2018,Male,Egypt,Medicine and Surgery,General Practice,810
581,2018,Male,Sudan,Medicine and Surgery,General Practice,808
583,2022,Female,Jordan,Nursing and Midwifery,Nursing,807
584,2016,Male,Saudi Arabia,Health Administration and Community Health,Public Health,806
586,2017,Male,Saudi Arabia,Therapy and Rehabilitation,Psychology,804
587,2021,Male,Egypt,Medicine and Surgery,Orthopedic Surgery,798
590,2019,Female,Sudan,Medicine and Surgery,General Practice,791
591,2020,Female,Philippines,Laboratories and Medical Technology,Radiological Technology,790
592,2021,Female,Egypt,Medicine and Surgery,Dermatology,789
593,2020,Male,India,Nursing and Midwifery,Nursing,786
594,2021,Male,Syria,Dentistry and Related Specialties,General Dentistry,784
602,2019,Male,Sudan,Medicine and Surgery,General Practice,773
604,2021,Female,Egypt,Dentistry and Related Specialties,General Dentistry,768
605,2022,Male,Egypt,Medicine and Surgery,Otorhinolaryngology ( Ent ),765
607,2020,Male,Egypt,Medicine and Surgery,Internal Medicine,764
608,2020,Female,Saudi Arabia,Therapy and Rehabilitation,Clinical Nutrition,763
610,2016,Female,Saudi Arabia,Therapy and Rehabilitation,Psychology,758
611,2022,Female,Saudi Arabia,Technicians and Health Assistants,Medical Coding,757
613,2022,Female,Sudan,Medicine and Surgery,Obstetrics And Gynecology,754
616,2021,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,749
618,2019,Male,Egypt,Medicine and Surgery,General Practice,745
619,2017,Male,Saudi Arabia,Health Administration and Community Health,Public Health,740
620,2019,Male,Saudi Arabia,Health Administration and Community Health,Health Informatics,739
623,2017,Female,Saudi Arabia,Health Administration and Community Health,Health Administration,736
624,2020,Male,Egypt,Technicians and Health Assistants,Optics,735
625,2022,Female,Egypt,Pharmacists and Pharmacy Technicians,Pharmacy,735
2643,2022,Male,Sudan,Nursing and Midwifery,Nursing,725
2644,2016,Male,Saudi Arabia,Therapy and Rehabilitation,Social Service,724
2645,2017,Female,Saudi Arabia,Technicians and Health Assistants,Food Science And Technology,720
2649,2017,Female,Philippines,Laboratories and Medical Technology,Radiological Technology,709
2652,2022,Female,Saudi Arabia,Therapy and Rehabilitation,Emergency Medical Services,705
2654,2019,Female,Philippines,Laboratories and Medical Technology,Radiological Technology,702
2655,2022,Male,Saudi Arabia,Medicine and Surgery,Urology,701
2657,2018,Female,Philippines,Laboratories and Medical Technology,Radiological Technology,700
2659,2020,Male,Saudi Arabia,Medicine and Surgery,Internal Medicine,698
2660,2021,Female,Philippines,Pharmacists and Pharmacy Technicians,Pharmacy,697
2661,2016,Male,Saudi Arabia,Therapy and Rehabilitation,Psychology,697
2666,2022,Male,Saudi Arabia,Medicine and Surgery,Anesthesia,691
2668,2021,Male,Egypt,Medicine and Surgery,Diagnostic Radiology,688
2672,2020,Male,Saudi Arabia,Technicians and Health Assistants,Health Care security,683
2673,2022,Female,Saudi Arabia,Medicine and Surgery,Diagnostic Radiology,683
2674,2021,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,683
2677,2019,Male,Saudi Arabia,Laboratories and Medical Technology,Radiological Technology,679
2679,2021,Female,Philippines,Dentistry and Related Specialties,Dental Assistant,678
2680,2022,Male,Sudan,Medicine and Surgery,Internal Medicine,677
2682,2022,Male,Syria,Medicine and Surgery,General Practice,667
2683,2022,Male,Saudi Arabia,Dentistry and Related Specialties,Dental Hygiene,667
2687,2016,Female,Saudi Arabia,Laboratories and Medical Technology,Laboratory,663
2693,2021,Male,Egypt,Dentistry and Related Specialties,General Dentistry,657
2694,2022,Male,Saudi Arabia,Medicine and Surgery,Ophthalmology,656
2695,2021,Female,Saudi Arabia,Health Administration and Community Health,Public Health,656
2696,2021,Male,Saudi Arabia,Medicine and Surgery,Orthopedic Surgery,654
