,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Number_of_Practitioners
118,2022,Female,Egypt,Nursing and Midwifery,6319
119,2018,Male,Saudi Arabia,Therapy and Rehabilitation,6277
121,2021,Male,Saudi Arabia,Dentistry and Related Specialties,6257
123,2021,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,6147
124,2020,Male,Egypt,Medicine and Surgery,6123
126,2020,Male,Egypt,Pharmacists and Pharmacy Technicians,6012
127,2022,Female,Sudan,Nursing and Midwifery,5617
130,2021,Female,Saudi Arabia,Technicians and Health Assistants,5406
132,2017,Male,Egypt,Pharmacists and Pharmacy Technicians,5339
133,2016,Male,Egypt,Pharmacists and Pharmacy Technicians,5332
134,2017,Male,Saudi Arabia,Therapy and Rehabilitation,5327
136,2020,Male,Saudi Arabia,Medicine and Surgery,5174
137,2019,Male,Egypt,Pharmacists and Pharmacy Technicians,5147
138,2021,Male,Philippines,Nursing and Midwifery,5099
139,2017,Female,Saudi Arabia,Therapy and Rehabilitation,5059
141,2018,Male,Egypt,Pharmacists and Pharmacy Technicians,4951
143,2021,Female,Sudan,Medicine and Surgery,4825
144,2016,Male,Egypt,Medicine and Surgery,4721
149,2021,Male,Sudan,Medicine and Surgery,4609
150,2017,Male,Egypt,Medicine and Surgery,4553
151,2019,Male,Egypt,Medicine and Surgery,4536
153,2019,Male,Saudi Arabia,Health Administration and Community Health,4481
155,2016,Male,Saudi Arabia,Therapy and Rehabilitation,4439
158,2018,Male,Egypt,Medicine and Surgery,4332
164,2020,Female,Saudi Arabia,Laboratories and Medical Technology,3991
167,2020,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,3888
168,2016,Female,Saudi Arabia,Therapy and Rehabilitation,3796
169,2021,Female,Egypt,Nursing and Midwifery,3770
170,2018,Male,Saudi Arabia,Health Administration and Community Health,3745
171,2022,Male,Syria,Medicine and Surgery,3612
172,2022,Female,Philippines,Laboratories and Medical Technology,3506
173,2020,Female,Saudi Arabia,Medicine and Surgery,3378
175,2020,Male,Philippines,Nursing and Midwifery,3350
178,2017,Male,Philippines,Nursing and Midwifery,3303
180,2022,Male,Pakistan,Medicine and Surgery,3293
181,2022,Female,Malaysia,Nursing and Midwifery,3224
182,2020,Female,Saudi Arabia,Health Administration and Community Health,3223
184,2017,Male,Saudi Arabia,Health Administration and Community Health,3210
185,2021,Female,Sudan,Nursing and Midwifery,3171
186,2018,Male,Philippines,Nursing and Midwifery,3167
187,2016,Male,Philippines,Nursing and Midwifery,3150
189,2019,Female,Saudi Arabia,Nursing and Midwifery,3084
190,2019,Male,Saudi Arabia,Technicians and Health Assistants,3030
191,2019,Male,Philippines,Nursing and Midwifery,2998
192,2019,Male,Saudi Arabia,Laboratories and Medical Technology,2996
195,2019,Male,Saudi Arabia,Nursing and Midwifery,2867
196,2022,Male,India,Nursing and Midwifery,2848
199,2018,Female,Saudi Arabia,Nursing and Midwifery,2765
200,2020,Female,Egypt,Medicine and Surgery,2758
201,2017,Female,Saudi Arabia,Nursing and Midwifery,2744
202,2018,Male,Saudi Arabia,Laboratories and Medical Technology,2707
203,2021,Female,Philippines,Laboratories and Medical Technology,2703
206,2016,Male,Saudi Arabia,Health Administration and Community Health,2697
208,2022,Male,Syria,Dentistry and Related Specialties,2619
210,2017,Male,Saudi Arabia,Nursing and Midwifery,2581
215,2017,Male,Saudi Arabia,Laboratories and Medical Technology,2534
216,2020,Female,Saudi Arabia,Technicians and Health Assistants,2474
219,2018,Male,Saudi Arabia,Nursing and Midwifery,2430
222,2018,Male,Saudi Arabia,Technicians and Health Assistants,2341
223,2022,Male,Egypt,Technicians and Health Assistants,2336
226,2022,Male,Egypt,Dentistry and Related Specialties,2267
227,2021,Female,Malaysia,Nursing and Midwifery,2237
228,2017,Female,Egypt,Medicine and Surgery,2231
230,2016,Female,Egypt,Medicine and Surgery,2208
231,2017,Male,Saudi Arabia,Technicians and Health Assistants,2199
232,2021,Male,Pakistan,Medicine and Surgery,2188
233,2022,Female,Sudan,Laboratories and Medical Technology,2160
235,2019,Female,Egypt,Medicine and Surgery,2147
241,2020,Male,Sudan,Medicine and Surgery,2089
243,2020,Female,Saudi Arabia,Dentistry and Related Specialties,2080
244,2022,Male,India,Medicine and Surgery,2076
245,2016,Female,Saudi Arabia,Nursing and Midwifery,2067
246,2021,Male,Syria,Medicine and Surgery,2064
247,2018,Female,Egypt,Medicine and Surgery,2052
250,2019,Female,Saudi Arabia,Laboratories and Medical Technology,2001
251,2016,Male,Saudi Arabia,Laboratories and Medical Technology,1998
253,2017,Female,Philippines,Laboratories and Medical Technology,1975
260,2019,Female,Saudi Arabia,Health Administration and Community Health,1929
262,2016,Male,Saudi Arabia,Nursing and Midwifery,1909
265,2020,Female,Philippines,Laboratories and Medical Technology,1864
266,2020,Female,Sudan,Medicine and Surgery,1856
267,2018,Female,Philippines,Laboratories and Medical Technology,1856
268,2016,Female,Philippines,Laboratories and Medical Technology,1853
273,2020,Male,Saudi Arabia,Dentistry and Related Specialties,1843
277,2019,Female,Philippines,Laboratories and Medical Technology,1801
280,2018,Female,Saudi Arabia,Laboratories and Medical Technology,1782
283,2016,Male,Saudi Arabia,Technicians and Health Assistants,1767
286,2020,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,1754
288,2021,Male,India,Nursing and Midwifery,1719
295,2022,Female,Egypt,Dentistry and Related Specialties,1647
296,2022,Female,Pakistan,Nursing and Midwifery,1645
299,2022,Male,Yemen,Medicine and Surgery,1617
301,2021,Male,Egypt,Technicians and Health Assistants,1615
302,2019,Female,Saudi Arabia,Technicians and Health Assistants,1559
303,2022,Female,Pakistan,Medicine and Surgery,1555
304,2019,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,1548
307,2017,Female,Sudan,Medicine and Surgery,1517
311,2022,Female,Philippines,Therapy and Rehabilitation,1486
312,2018,Female,Saudi Arabia,Health Administration and Community Health,1467
313,2022,Male,Jordan,Medicine and Surgery,1463
316,2021,Male,Syria,Dentistry and Related Specialties,1454
317,2022,Male,Egypt,Nursing and Midwifery,1454
318,2019,Male,Saudi Arabia,Medicine and Surgery,1452
319,2021,Male,India,Medicine and Surgery,1436
321,2017,Female,Malaysia,Nursing and Midwifery,1434
323,2022,Male,Nigeria,Medicine and Surgery,1423
325,2022,Male,Jordan,Nursing and Midwifery,1415
326,2016,Female,Sudan,Medicine and Surgery,1409
327,2021,Male,Egypt,Dentistry and Related Specialties,1407
328,2018,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,1403
329,2022,Male,Sudan,Laboratories and Medical Technology,1398
330,2016,Female,Malaysia,Nursing and Midwifery,1397
332,2020,Female,Egypt,Nursing and Midwifery,1386
335,2018,Female,Saudi Arabia,Technicians and Health Assistants,1382
336,2017,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,1381
337,2016,Male,Pakistan,Medicine and Surgery,1377
339,2017,Female,Saudi Arabia,Laboratories and Medical Technology,1376
341,2017,Male,Sudan,Medicine and Surgery,1360
342,2016,Male,Sudan,Medicine and Surgery,1359
344,2018,Female,Sudan,Medicine and Surgery,1355
345,2017,Male,Pakistan,Medicine and Surgery,1353
346,2022,Female,Philippines,Dentistry and Related Specialties,1351
349,2018,Male,Sudan,Medicine and Surgery,1311
351,2018,Female,Malaysia,Nursing and Midwifery,1304
353,2019,Male,Sudan,Medicine and Surgery,1283
358,2021,Female,Sudan,Laboratories and Medical Technology,1270
361,2020,Female,Malaysia,Nursing and Midwifery,1256
362,2019,Female,Malaysia,Nursing and Midwifery,1240
369,2019,Female,Sudan,Medicine and Surgery,1200
371,2020,Male,Pakistan,Medicine and Surgery,1190
375,2016,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,1170
377,2022,Female,South Africa,Nursing and Midwifery,1164
379,2018,Male,Pakistan,Medicine and Surgery,1154
383,2022,Female,Syria,Dentistry and Related Specialties,1133
384,2022,Male,Philippines,Laboratories and Medical Technology,1129
385,2017,Female,Saudi Arabia,Technicians and Health Assistants,1117
387,2022,Male,Yemen,Pharmacists and Pharmacy Technicians,1113
394,2021,Female,Philippines,Therapy and Rehabilitation,1084
395,2016,Female,Saudi Arabia,Laboratories and Medical Technology,1080
400,2018,Male,Saudi Arabia,Medicine and Surgery,1055
405,2019,Male,Pakistan,Medicine and Surgery,1041
407,2021,Female,Egypt,Dentistry and Related Specialties,1039
408,2022,Male,Egypt,Laboratories and Medical Technology,1037
413,2021,Female,Pakistan,Medicine and Surgery,1008
414,2022,Male,Sudan,Pharmacists and Pharmacy Technicians,1002
415,2016,Female,Saudi Arabia,Technicians and Health Assistants,1002
418,2017,Female,Saudi Arabia,Health Administration and Community Health,996
420,2019,Female,Saudi Arabia,Medicine and Surgery,987
424,2021,Male,Jordan,Medicine and Surgery,979
425,2021,Female,Pakistan,Nursing and Midwifery,975
427,2022,Female,Syria,Medicine and Surgery,969
429,2016,Male,India,Medicine and Surgery,966
435,2017,Male,Saudi Arabia,Medicine and Surgery,960
436,2021,Female,Philippines,Dentistry and Related Specialties,958
441,2021,Female,South Africa,Nursing and Midwifery,946
443,2017,Male,India,Medicine and Surgery,933
444,2021,Male,Philippines,Laboratories and Medical Technology,927
448,2017,Female,Egypt,Nursing and Midwifery,920
449,2019,Female,Egypt,Nursing and Midwifery,919
451,2016,Female,Egypt,Nursing and Midwifery,912
455,2020,Male,India,Medicine and Surgery,879
457,2021,Male,Yemen,Medicine and Surgery,877
459,2021,Male,Jordan,Nursing and Midwifery,867
461,2022,Female,Jordan,Nursing and Midwifery,863
462,2016,Female,Egypt,Pharmacists and Pharmacy Technicians,858
464,2018,Female,Egypt,Nursing and Midwifery,854
465,2021,Male,Egypt,Nursing and Midwifery,853
468,2020,Male,Egypt,Dentistry and Related Specialties,847
470,2017,Female,Egypt,Pharmacists and Pharmacy Technicians,837
472,2017,Female,Pakistan,Medicine and Surgery,832
474,2018,Male,India,Medicine and Surgery,831
475,2021,Male,Nigeria,Medicine and Surgery,829
477,2022,Female,Philippines,Pharmacists and Pharmacy Technicians,826
478,2022,Female,Sudan,Dentistry and Related Specialties,826
481,2021,Male,Sudan,Laboratories and Medical Technology,815
486,2016,Male,Saudi Arabia,Medicine and Surgery,809
487,2017,Female,Sudan,Laboratories and Medical Technology,807
489,2022,Male,India,Dentistry and Related Specialties,802
491,2019,Male,India,Medicine and Surgery,797
492,2020,Male,India,Nursing and Midwifery,789
494,2016,Female,Pakistan,Medicine and Surgery,778
496,2022,Female,India,Medicine and Surgery,772
498,2020,Male,Egypt,Technicians and Health Assistants,769
500,2022,Male,Philippines,Therapy and Rehabilitation,765
501,2022,Female,Yemen,Medicine and Surgery,765
502,2017,Male,Egypt,Dentistry and Related Specialties,763
504,2022,Female,Sudan,Therapy and Rehabilitation,761
505,2017,Female,Egypt,Dentistry and Related Specialties,760
506,2022,Female,Egypt,Pharmacists and Pharmacy Technicians,758
508,2016,Female,Saudi Arabia,Health Administration and Community Health,754
515,2022,Male,Sudan,Nursing and Midwifery,737
2524,2016,Male,Egypt,Dentistry and Related Specialties,721
2527,2022,Male,India,Laboratories and Medical Technology,717
2528,2018,Male,Egypt,Dentistry and Related Specialties,716
2529,2017,Female,Philippines,Therapy and Rehabilitation,714
2530,2017,Female,Philippines,Dentistry and Related Specialties,711
2533,2018,Female,Pakistan,Medicine and Surgery,707
2535,2019,Female,Saudi Arabia,Dentistry and Related Specialties,703
2536,2016,Male,Syria,Medicine and Surgery,702
2542,2021,Female,Philippines,Pharmacists and Pharmacy Technicians,697
2544,2019,Male,Egypt,Dentistry and Related Specialties,694
2545,2016,Female,Egypt,Dentistry and Related Specialties,693
2546,2022,Male,Palestine,Medicine and Surgery,692
2547,2018,Female,Saudi Arabia,Medicine and Surgery,687
2548,2020,Male,Syria,Medicine and Surgery,687
2550,2018,Female,Sudan,Laboratories and Medical Technology,685
2551,2018,Female,Egypt,Dentistry and Related Specialties,682
2552,2016,Female,Philippines,Dentistry and Related Specialties,682
2557,2020,Female,Philippines,Therapy and Rehabilitation,670
2561,2018,Female,Philippines,Therapy and Rehabilitation,665
2564,2020,Female,Egypt,Dentistry and Related Specialties,663
2565,2016,Female,South Africa,Nursing and Midwifery,663
2567,2021,Female,Syria,Dentistry and Related Specialties,660
2569,2022,Male,Yemen,Dentistry and Related Specialties,657
2572,2017,Male,Syria,Medicine and Surgery,656
2574,2017,Male,Philippines,Laboratories and Medical Technology,654
2576,2016,Female,Sudan,Laboratories and Medical Technology,653
2582,2022,Male,Jordan,Dentistry and Related Specialties,648
2584,2021,Male,Egypt,Laboratories and Medical Technology,643
2587,2016,Female,Philippines,Therapy and Rehabilitation,641
2588,2019,Female,Philippines,Therapy and Rehabilitation,640
2590,2017,Male,Egypt,Technicians and Health Assistants,638
2591,2020,Female,Sudan,Nursing and Midwifery,638
2593,2017,Female,South Africa,Nursing and Midwifery,636
2594,2019,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,634
2599,2019,Female,Pakistan,Medicine and Surgery,629
2609,2017,Male,India,Nursing and Midwifery,618
2613,2019,Male,India,Nursing and Midwifery,616
2614,2018,Male,India,Nursing and Midwifery,614
2615,2019,Male,Egypt,Technicians and Health Assistants,614
2617,2020,Male,Philippines,Laboratories and Medical Technology,613
2620,2016,Male,Philippines,Laboratories and Medical Technology,608
2622,2018,Female,Egypt,Pharmacists and Pharmacy Technicians,606
2623,2022,Male,India,Pharmacists and Pharmacy Technicians,606
2627,2018,Male,Egypt,Technicians and Health Assistants,604
2630,2021,Male,Yemen,Pharmacists and Pharmacy Technicians,604
2633,2018,Female,Philippines,Dentistry and Related Specialties,602
2634,2022,Male,Pakistan,Pharmacists and Pharmacy Technicians,601
2636,2017,Female,Pakistan,Nursing and Midwifery,601
2637,2020,Female,Pakistan,Medicine and Surgery,597
2639,2018,Female,South Africa,Nursing and Midwifery,591
2640,2017,Female,Saudi Arabia,Medicine and Surgery,590
2641,2018,Male,Philippines,Laboratories and Medical Technology,589
2645,2020,Female,Philippines,Dentistry and Related Specialties,585
2647,2019,Male,Philippines,Laboratories and Medical Technology,582
2648,2019,Female,Egypt,Dentistry and Related Specialties,582
2649,2019,Female,South Africa,Nursing and Midwifery,582
2650,2021,Female,Egypt,Pharmacists and Pharmacy Technicians,580
2653,2018,Male,Syria,Medicine and Surgery,577
2656,2021,Male,Philippines,Therapy and Rehabilitation,573
2657,2016,Female,Pakistan,Nursing and Midwifery,571
2660,2019,Female,Philippines,Dentistry and Related Specialties,569
2662,2022,Male,Egypt,Therapy and Rehabilitation,568
2663,2019,Male,Saudi Arabia,Dentistry and Related Specialties,568
2664,2016,Male,Egypt,Technicians and Health Assistants,567
2665,2020,Male,Syria,Dentistry and Related Specialties,567
2669,2020,Female,South Africa,Nursing and Midwifery,564
2670,2021,Female,Syria,Medicine and Surgery,563
2674,2021,Male,Sudan,Pharmacists and Pharmacy Technicians,557
2677,2018,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,555
2684,2021,Female,Jordan,Nursing and Midwifery,546
2686,2022,Male,Palestine,Dentistry and Related Specialties,543
2693,2021,Female,India,Medicine and Surgery,534
2698,2017,Male,Syria,Dentistry and Related Specialties,526
2701,2018,Female,Saudi Arabia,Dentistry and Related Specialties,524
2704,2020,Female,Sudan,Laboratories and Medical Technology,522
2705,2016,Male,India,Nursing and Midwifery,521
2709,2022,Female,Yemen,Dentistry and Related Specialties,512
2710,2022,Female,India,Laboratories and Medical Technology,507
2712,2021,Male,India,Dentistry and Related Specialties,505
2714,2019,Male,Syria,Medicine and Surgery,499
2718,2016,Female,Saudi Arabia,Medicine and Surgery,495
2725,2020,Female,Pakistan,Nursing and Midwifery,490
2727,2016,Male,Syria,Dentistry and Related Specialties,489
2730,2021,Female,Sudan,Dentistry and Related Specialties,488
2731,2021,Male,India,Laboratories and Medical Technology,487
2734,2018,Female,Pakistan,Nursing and Midwifery,486
2736,2019,Female,Sudan,Laboratories and Medical Technology,483
2737,2018,Male,Syria,Dentistry and Related Specialties,483
2738,2022,Male,Syria,Pharmacists and Pharmacy Technicians,481
2739,2017,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,479
2745,2021,Female,Yemen,Medicine and Surgery,473
2746,2022,Female,Indonesia,Nursing and Midwifery,473
2748,2022,Female,Lebanon,Nursing and Midwifery,470
2750,2017,Female,Saudi Arabia,Dentistry and Related Specialties,468
2754,2017,Female,Philippines,Pharmacists and Pharmacy Technicians,464
2756,2019,Female,Pakistan,Nursing and Midwifery,462
2760,2022,Male,India,Therapy and Rehabilitation,459
2763,2020,Male,Jordan,Medicine and Surgery,459
2775,2022,Female,India,Dentistry and Related Specialties,444
2780,2022,Male,United Kingdom,Medicine and Surgery,442
2783,2016,Female,India,Laboratories and Medical Technology,438
2785,2021,Female,Sudan,Therapy and Rehabilitation,436
2786,2017,Male,Jordan,Medicine and Surgery,434
2787,2019,Male,Syria,Dentistry and Related Specialties,433
2794,2019,Female,Egypt,Pharmacists and Pharmacy Technicians,429
2796,2022,Female,Sudan,Pharmacists and Pharmacy Technicians,427
2798,2016,Male,Jordan,Medicine and Surgery,426
2806,2016,Female,Philippines,Pharmacists and Pharmacy Technicians,418
2807,2018,Female,Philippines,Pharmacists and Pharmacy Technicians,418
2811,2019,Female,Philippines,Pharmacists and Pharmacy Technicians,411
2814,2021,Male,Jordan,Dentistry and Related Specialties,406
2818,2022,Female,Egypt,Therapy and Rehabilitation,403
2819,2021,Male,Sudan,Nursing and Midwifery,402
2820,2018,Male,Saudi Arabia,Dentistry and Related Specialties,402
2821,2020,Female,Philippines,Pharmacists and Pharmacy Technicians,402
2824,2021,Male,Palestine,Medicine and Surgery,400
2825,2018,Male,Jordan,Medicine and Surgery,400
2826,2021,Male,India,Pharmacists and Pharmacy Technicians,400
2832,2017,Female,India,Laboratories and Medical Technology,395
2839,2022,Female,Egypt,Laboratories and Medical Technology,392
2842,2020,Male,Philippines,Therapy and Rehabilitation,390
2845,2021,Male,Pakistan,Pharmacists and Pharmacy Technicians,389
2848,2016,Female,India,Medicine and Surgery,387
2859,2016,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,384
2865,2017,Male,Jordan,Nursing and Midwifery,382
2866,2022,Male,Lebanon,Medicine and Surgery,382
2869,2022,Male,Sudan,Dentistry and Related Specialties,379
2875,2021,Male,Yemen,Dentistry and Related Specialties,377
2877,2022,Male,Jordan,Pharmacists and Pharmacy Technicians,376
2879,2017,Male,Sudan,Laboratories and Medical Technology,375
2880,2022,Male,Sudan,Therapy and Rehabilitation,374
2881,2016,Female,United Kingdom,Nursing and Midwifery,374
2884,2017,Female,India,Medicine and Surgery,373
2893,2021,Female,India,Laboratories and Medical Technology,368
2897,2022,Female,Palestine,Dentistry and Related Specialties,367
2899,2019,Male,Jordan,Medicine and Surgery,367
2900,2021,Male,Egypt,Therapy and Rehabilitation,365
2901,2022,Female,Tunisia,Nursing and Midwifery,365
2903,2016,Male,Jordan,Pharmacists and Pharmacy Technicians,365
2904,2019,Male,Philippines,Therapy and Rehabilitation,365
2907,2020,Male,Egypt,Laboratories and Medical Technology,362
2908,2016,Male,Jordan,Nursing and Midwifery,362
2915,2017,Male,Saudi Arabia,Dentistry and Related Specialties,359
2916,2018,Male,Philippines,Therapy and Rehabilitation,359
2924,2021,Female,Indonesia,Nursing and Midwifery,352
2925,2020,Male,Jordan,Nursing and Midwifery,352
2926,2016,Female,Saudi Arabia,Dentistry and Related Specialties,351
2927,2017,Male,Egypt,Laboratories and Medical Technology,351
2932,2017,Male,Philippines,Therapy and Rehabilitation,349
2940,2020,Female,Egypt,Pharmacists and Pharmacy Technicians,344
2941,2022,Male,Jordan,Therapy and Rehabilitation,344
2942,2018,Male,Sudan,Laboratories and Medical Technology,343
2943,2016,Male,Egypt,Laboratories and Medical Technology,343
4951,2020,Male,Sudan,Laboratories and Medical Technology,340
4953,2017,Male,Jordan,Pharmacists and Pharmacy Technicians,339
4958,2017,Female,Syria,Dentistry and Related Specialties,336
4964,2022,Male,Philippines,Dentistry and Related Specialties,327
4965,2018,Male,Jordan,Nursing and Midwifery,327
4969,2016,Male,India,Laboratories and Medical Technology,327
4970,2021,Male,Jordan,Pharmacists and Pharmacy Technicians,326
4977,2022,Female,Jordan,Dentistry and Related Specialties,323
4980,2016,Male,Philippines,Therapy and Rehabilitation,323
4984,2016,Female,Syria,Dentistry and Related Specialties,319
4985,2022,Male,Palestine,Pharmacists and Pharmacy Technicians,319
4987,2021,Male,Syria,Pharmacists and Pharmacy Technicians,318
4988,2022,Male,Bangladesh,Medicine and Surgery,317
4990,2021,Female,Yemen,Dentistry and Related Specialties,317
4991,2017,Male,India,Laboratories and Medical Technology,317
4994,2017,Female,United Kingdom,Nursing and Midwifery,315
4995,2018,Male,Egypt,Laboratories and Medical Technology,315
7002,2016,Male,Sudan,Laboratories and Medical Technology,311
7009,2021,Male,India,Therapy and Rehabilitation,309
7016,2018,Female,India,Laboratories and Medical Technology,303
7018,2018,Female,India,Medicine and Surgery,301
7023,2022,Male,Tunisia,Medicine and Surgery,300
7024,2021,Male,United Kingdom,Medicine and Surgery,299
7026,2018,Female,Syria,Dentistry and Related Specialties,299
7027,2019,Male,Egypt,Laboratories and Medical Technology,299
7028,2021,Female,Egypt,Therapy and Rehabilitation,298
7031,2021,Male,Palestine,Dentistry and Related Specialties,297
7033,2019,Male,Jordan,Nursing and Midwifery,295
7048,2017,Female,Jordan,Nursing and Midwifery,286
7051,2020,Female,India,Medicine and Surgery,284
7052,2021,Female,Egypt,Laboratories and Medical Technology,284
7054,2022,Female,Yemen,Laboratories and Medical Technology,283
7057,2020,Female,Syria,Dentistry and Related Specialties,281
7064,2019,Male,Sudan,Laboratories and Medical Technology,277
7070,2020,Male,Sudan,Pharmacists and Pharmacy Technicians,273
7073,2022,Male,Lebanon,Nursing and Midwifery,272
7075,2016,Male,Saudi Arabia,Dentistry and Related Specialties,270
7076,2022,Male,Jordan,Laboratories and Medical Technology,270
7078,2017,Female,India,Dentistry and Related Specialties,269
7079,2018,Male,Jordan,Pharmacists and Pharmacy Technicians,268
7080,2019,Female,India,Medicine and Surgery,268
7083,2019,Female,India,Laboratories and Medical Technology,267
7085,2021,Female,India,Dentistry and Related Specialties,266
7086,2022,Female,Jordan,Medicine and Surgery,266
7087,2017,Male,India,Pharmacists and Pharmacy Technicians,266
7088,2017,Female,Sudan,Dentistry and Related Specialties,266
7094,2018,Female,United Kingdom,Nursing and Midwifery,262
7101,2022,Male,United States,Medicine and Surgery,258
7104,2022,Female,Jordan,Therapy and Rehabilitation,258
7105,2018,Male,India,Laboratories and Medical Technology,257
7106,2016,Female,Jordan,Nursing and Midwifery,257
7108,2017,Male,Sudan,Pharmacists and Pharmacy Technicians,256
7110,2017,Female,Sudan,Pharmacists and Pharmacy Technicians,255
7113,2016,Female,China,Nursing and Midwifery,254
7115,2022,Male,Pakistan,Nursing and Midwifery,253
7118,2017,Female,Egypt,Therapy and Rehabilitation,253
7119,2022,Female,Yemen,Nursing and Midwifery,253
7120,2016,Male,India,Pharmacists and Pharmacy Technicians,252
7121,2021,Female,Lebanon,Nursing and Midwifery,251
7124,2020,Male,India,Laboratories and Medical Technology,250
7133,2022,Female,United Kingdom,Nursing and Midwifery,247
7137,2020,Male,Nigeria,Medicine and Surgery,246
7138,2016,Female,Indonesia,Nursing and Midwifery,245
7141,2021,Male,Philippines,Dentistry and Related Specialties,244
7144,2020,Male,India,Dentistry and Related Specialties,244
7145,2021,Female,Sudan,Pharmacists and Pharmacy Technicians,244
7146,2019,Female,Syria,Dentistry and Related Specialties,243
7147,2020,Male,India,Pharmacists and Pharmacy Technicians,243
7148,2017,Female,Syria,Pharmacists and Pharmacy Technicians,242
7151,2022,Female,Syria,Pharmacists and Pharmacy Technicians,242
7153,2021,Male,Lebanon,Medicine and Surgery,240
7154,2017,Male,India,Dentistry and Related Specialties,240
7155,2019,Male,India,Laboratories and Medical Technology,239
