,Active_Years,City_Name_En,Longitude,Latitude,Gender_Name_En,Nationality_En,Medical_Field_En,Number_of_Practitioners
200,2020,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Therapy and Rehabilitation,1504
201,2021,Jazan,42.570567,16.889359,Female,Saudi Arabia,Nursing and Midwifery,1503
202,2022,Sakaka,40.104306,29.878003,Female,Saudi Arabia,Nursing and Midwifery,1483
203,2021,Taif,40.424819,21.284078,Female,Philippines,Nursing and Midwifery,1482
204,2021,Jeddah,39.192505,21.485811,Male,Egypt,Medicine and Surgery,1481
205,2022,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Technicians and Health Assistants,1476
208,2022,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Therapy and Rehabilitation,1462
211,2022,Riyadh,46.675296,24.713552,Male,Sudan,Medicine and Surgery,1449
212,2020,Riyadh,46.675296,24.713552,Male,Egypt,Medicine and Surgery,1444
213,2016,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Therapy and Rehabilitation,1442
216,2022,Hafr Albatin,45.962711,28.378415,Female,Saudi Arabia,Nursing and Midwifery,1420
217,2020,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,1420
219,2017,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Therapy and Rehabilitation,1415
221,2022,Abha,42.511724,18.246468,Male,Saudi Arabia,Laboratories and Medical Technology,1392
222,2021,Madinah,39.569184,24.524654,Female,Philippines,Nursing and Midwifery,1385
223,2022,Khobar,50.080072,26.182911,Female,Philippines,Nursing and Midwifery,1384
228,2018,Riyadh,46.675296,24.713552,Male,Philippines,Nursing and Midwifery,1363
229,2020,Riyadh,46.675296,24.713552,Male,Philippines,Nursing and Midwifery,1356
230,2022,Al-Ahsa,49.449963,25.141626,Female,Philippines,Nursing and Midwifery,1342
231,2017,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Therapy and Rehabilitation,1319
232,2022,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Nursing and Midwifery,1316
233,2022,Taif,40.424819,21.284078,Female,Saudi Arabia,Nursing and Midwifery,1305
234,2017,Riyadh,46.675296,24.713552,Male,Philippines,Nursing and Midwifery,1305
236,2022,Taif,40.424819,21.284078,Male,Saudi Arabia,Nursing and Midwifery,1297
237,2021,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Laboratories and Medical Technology,1296
238,2022,Hail,41.720824,27.51141,Female,Saudi Arabia,Nursing and Midwifery,1293
239,2020,Jeddah,39.192505,21.485811,Male,Egypt,Pharmacists and Pharmacy Technicians,1292
242,2022,Tabuk,36.566191,28.383508,Male,Saudi Arabia,Nursing and Midwifery,1270
243,2017,Taif,40.424819,21.284078,Female,Philippines,Nursing and Midwifery,1270
245,2021,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,1262
246,2016,Riyadh,46.675296,24.713552,Male,Philippines,Nursing and Midwifery,1257
248,2022,Riyadh,46.675296,24.713552,Female,Malaysia,Nursing and Midwifery,1254
250,2021,Makkah,39.857912,21.389082,Female,Philippines,Nursing and Midwifery,1245
252,2021,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Laboratories and Medical Technology,1239
254,2021,Riyadh,46.675296,24.713552,Female,Egypt,Medicine and Surgery,1230
255,2020,Jeddah,39.192505,21.485811,Female,India,Nursing and Midwifery,1230
256,2022,Arar,41.059564,30.959945,Female,Saudi Arabia,Nursing and Midwifery,1226
259,2020,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Health Administration and Community Health,1217
261,2021,Dammam,50.088794,26.420683,Female,Philippines,Nursing and Midwifery,1210
262,2021,Al-Ahsa,49.449963,25.141626,Female,Saudi Arabia,Nursing and Midwifery,1205
263,2019,Riyadh,46.675296,24.713552,Male,Philippines,Nursing and Midwifery,1203
265,2016,Taif,40.424819,21.284078,Female,Philippines,Nursing and Midwifery,1195
269,2019,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Technicians and Health Assistants,1183
270,2017,Jeddah,39.192505,21.485811,Female,India,Nursing and Midwifery,1182
271,2022,Taif,40.424819,21.284078,Male,Saudi Arabia,Health Administration and Community Health,1182
274,2021,Abha,42.511724,18.246468,Female,Saudi Arabia,Nursing and Midwifery,1175
275,2021,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Health Administration and Community Health,1175
280,2016,Riyadh,46.675296,24.713552,Male,Egypt,Medicine and Surgery,1161
282,2021,Madinah,39.569184,24.524654,Male,Saudi Arabia,Nursing and Midwifery,1154
283,2022,Makkah,39.857912,21.389082,Male,Saudi Arabia,Nursing and Midwifery,1141
284,2018,Jeddah,39.192505,21.485811,Female,India,Nursing and Midwifery,1137
285,2022,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Health Administration and Community Health,1135
288,2022,Abha,42.511724,18.246468,Male,Saudi Arabia,Medicine and Surgery,1130
289,2022,Makkah,39.857912,21.389082,Male,Saudi Arabia,Medicine and Surgery,1130
290,2022,Jazan,42.570567,16.889359,Male,Saudi Arabia,Health Administration and Community Health,1129
291,2018,Taif,40.424819,21.284078,Female,Philippines,Nursing and Midwifery,1127
293,2022,Makkah,39.857912,21.389082,Male,Saudi Arabia,Laboratories and Medical Technology,1122
294,2017,Riyadh,46.675296,24.713552,Male,Egypt,Medicine and Surgery,1122
296,2017,Jeddah,39.192505,21.485811,Male,Egypt,Pharmacists and Pharmacy Technicians,1120
297,2022,Riyadh,46.675296,24.713552,Male,Syria,Medicine and Surgery,1119
299,2017,Dammam,50.088794,26.420683,Female,Philippines,Nursing and Midwifery,1115
301,2022,Madinah,39.569184,24.524654,Male,Saudi Arabia,Health Administration and Community Health,1113
303,2022,Riyadh,46.675296,24.713552,Female,Philippines,Laboratories and Medical Technology,1107
304,2022,Qassim,43.483738,26.207826,Female,Philippines,Nursing and Midwifery,1106
306,2019,Riyadh,46.675296,24.713552,Male,Egypt,Medicine and Surgery,1098
307,2020,Taif,40.424819,21.284078,Female,Philippines,Nursing and Midwifery,1094
309,2022,Madinah,39.569184,24.524654,Male,Saudi Arabia,Technicians and Health Assistants,1092
310,2019,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Laboratories and Medical Technology,1089
312,2017,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Technicians and Health Assistants,1082
313,2016,Jeddah,39.192505,21.485811,Male,Egypt,Pharmacists and Pharmacy Technicians,1081
314,2019,Jeddah,39.192505,21.485811,Female,India,Nursing and Midwifery,1081
315,2019,Jeddah,39.192505,21.485811,Male,Egypt,Pharmacists and Pharmacy Technicians,1080
317,2018,Riyadh,46.675296,24.713552,Male,Egypt,Medicine and Surgery,1078
318,2022,Dammam,50.088794,26.420683,Female,India,Nursing and Midwifery,1078
319,2018,Jeddah,39.192505,21.485811,Male,Egypt,Pharmacists and Pharmacy Technicians,1075
320,2018,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Technicians and Health Assistants,1072
322,2016,Jeddah,39.192505,21.485811,Female,India,Nursing and Midwifery,1069
327,2021,Makkah,39.857912,21.389082,Female,Saudi Arabia,Nursing and Midwifery,1058
328,2022,Hafr Albatin,45.962711,28.378415,Male,Saudi Arabia,Nursing and Midwifery,1057
329,2016,Al-Ahsa,49.449963,25.141626,Female,Philippines,Nursing and Midwifery,1056
330,2022,Makkah,39.857912,21.389082,Male,Egypt,Medicine and Surgery,1054
331,2018,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Laboratories and Medical Technology,1054
334,2019,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Nursing and Midwifery,1049
335,2022,Taif,40.424819,21.284078,Male,Saudi Arabia,Laboratories and Medical Technology,1044
337,2017,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Laboratories and Medical Technology,1041
339,2022,Al-Ahsa,49.449963,25.141626,Female,India,Nursing and Midwifery,1036
340,2021,Al-Ahsa,49.449963,25.141626,Female,Philippines,Nursing and Midwifery,1035
341,2016,Dammam,50.088794,26.420683,Female,Philippines,Nursing and Midwifery,1033
344,2022,Madinah,39.569184,24.524654,Male,Egypt,Medicine and Surgery,1027
345,2021,Tabuk,36.566191,28.383508,Female,Saudi Arabia,Nursing and Midwifery,1023
346,2017,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Nursing and Midwifery,1022
348,2019,Taif,40.424819,21.284078,Female,Philippines,Nursing and Midwifery,1020
350,2017,Al-Ahsa,49.449963,25.141626,Female,Philippines,Nursing and Midwifery,1015
351,2016,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Therapy and Rehabilitation,1013
354,2021,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Therapy and Rehabilitation,1007
356,2018,Dammam,50.088794,26.420683,Female,Philippines,Nursing and Midwifery,995
357,2021,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Technicians and Health Assistants,994
360,2022,Jeddah,39.192505,21.485811,Female,Egypt,Medicine and Surgery,984
361,2022,Makkah,39.857912,21.389082,Female,Saudi Arabia,Laboratories and Medical Technology,981
364,2022,Madinah,39.569184,24.524654,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,975
365,2022,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Dentistry and Related Specialties,971
366,2021,Khobar,50.080072,26.182911,Female,Philippines,Nursing and Midwifery,970
368,2021,Madinah,39.569184,24.524654,Male,Saudi Arabia,Laboratories and Medical Technology,970
371,2022,Abha,42.511724,18.246468,Female,Philippines,Nursing and Midwifery,961
373,2016,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Therapy and Rehabilitation,959
374,2021,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,958
377,2022,Makkah,39.857912,21.389082,Male,Saudi Arabia,Therapy and Rehabilitation,953
378,2021,Riyadh,46.675296,24.713552,Female,Malaysia,Nursing and Midwifery,951
379,2021,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Dentistry and Related Specialties,951
382,2022,Taif,40.424819,21.284078,Female,India,Nursing and Midwifery,935
383,2018,Al-Ahsa,49.449963,25.141626,Female,Philippines,Nursing and Midwifery,934
384,2021,Riyadh,46.675296,24.713552,Male,Sudan,Medicine and Surgery,930
385,2017,Khobar,50.080072,26.182911,Female,Philippines,Nursing and Midwifery,929
386,2016,Khobar,50.080072,26.182911,Female,Philippines,Nursing and Midwifery,927
387,2022,Madinah,39.569184,24.524654,Male,Saudi Arabia,Medicine and Surgery,927
388,2022,Riyadh,46.675296,24.713552,Male,Syria,Dentistry and Related Specialties,926
389,2019,Dammam,50.088794,26.420683,Female,Philippines,Nursing and Midwifery,920
391,2020,Dammam,50.088794,26.420683,Female,Philippines,Nursing and Midwifery,913
393,2021,Riyadh,46.675296,24.713552,Female,Sudan,Medicine and Surgery,910
394,2022,Khobar,50.080072,26.182911,Male,Egypt,Pharmacists and Pharmacy Technicians,908
396,2022,Abha,42.511724,18.246468,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,903
397,2022,Jazan,42.570567,16.889359,Male,Saudi Arabia,Therapy and Rehabilitation,903
399,2021,Riyadh,46.675296,24.713552,Female,Philippines,Laboratories and Medical Technology,898
401,2022,Qassim,43.483738,26.207826,Male,Saudi Arabia,Health Administration and Community Health,894
403,2021,Sakaka,40.104306,29.878003,Female,Saudi Arabia,Nursing and Midwifery,893
405,2022,Najran,44.228944,17.565604,Male,Saudi Arabia,Health Administration and Community Health,891
406,2020,Madinah,39.569184,24.524654,Female,Philippines,Nursing and Midwifery,890
407,2022,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Technicians and Health Assistants,890
408,2017,Madinah,39.569184,24.524654,Female,Philippines,Nursing and Midwifery,885
410,2022,Madinah,39.569184,24.524654,Male,Saudi Arabia,Therapy and Rehabilitation,882
413,2018,Taif,40.424819,21.284078,Female,India,Nursing and Midwifery,875
414,2021,Jazan,42.570567,16.889359,Male,Saudi Arabia,Laboratories and Medical Technology,873
415,2020,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Health Administration and Community Health,873
419,2022,Jazan,42.570567,16.889359,Male,Saudi Arabia,Nursing and Midwifery,870
420,2022,Al-Ahsa,49.449963,25.141626,Male,Saudi Arabia,Nursing and Midwifery,870
424,2022,Qassim,43.483738,26.207826,Male,Saudi Arabia,Laboratories and Medical Technology,868
425,2022,Najran,44.228944,17.565604,Male,Saudi Arabia,Therapy and Rehabilitation,865
427,2022,Najran,44.228944,17.565604,Male,Saudi Arabia,Technicians and Health Assistants,861
428,2018,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Nursing and Midwifery,860
429,2021,Alqatif  ,49.998236,26.576492,Female,Saudi Arabia,Nursing and Midwifery,860
430,2017,Makkah,39.857912,21.389082,Female,Philippines,Nursing and Midwifery,859
431,2020,Makkah,39.857912,21.389082,Female,Philippines,Nursing and Midwifery,859
433,2022,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Health Administration and Community Health,855
434,2022,Makkah,39.857912,21.389082,Female,Saudi Arabia,Medicine and Surgery,853
435,2016,Madinah,39.569184,24.524654,Female,Philippines,Nursing and Midwifery,850
436,2020,Taif,40.424819,21.284078,Female,India,Nursing and Midwifery,848
437,2022,Abha,42.511724,18.246468,Male,Saudi Arabia,Therapy and Rehabilitation,844
439,2021,Al-Ahsa,49.449963,25.141626,Female,India,Nursing and Midwifery,842
443,2016,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Technicians and Health Assistants,842
444,2021,Qassim,43.483738,26.207826,Female,Philippines,Nursing and Midwifery,841
447,2020,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Nursing and Midwifery,837
450,2017,Taif,40.424819,21.284078,Female,India,Nursing and Midwifery,834
451,2022,Najran,44.228944,17.565604,Male,Saudi Arabia,Laboratories and Medical Technology,834
452,2022,Tabuk,36.566191,28.383508,Female,Philippines,Nursing and Midwifery,834
454,2022,Abha,42.511724,18.246468,Male,Saudi Arabia,Nursing and Midwifery,833
458,2022,Riyadh,46.675296,24.713552,Male,Pakistan,Medicine and Surgery,825
459,2017,Riyadh,46.675296,24.713552,Female,Malaysia,Nursing and Midwifery,824
460,2022,Makkah,39.857912,21.389082,Female,Saudi Arabia,Therapy and Rehabilitation,823
463,2021,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Nursing and Midwifery,817
465,2016,Riyadh,46.675296,24.713552,Female,Malaysia,Nursing and Midwifery,816
466,2016,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Laboratories and Medical Technology,815
467,2022,Al-Ahsa,49.449963,25.141626,Male,Saudi Arabia,Medicine and Surgery,815
470,2022,Makkah,39.857912,21.389082,Male,Saudi Arabia,Health Administration and Community Health,810
472,2022,Qassim,43.483738,26.207826,Male,Saudi Arabia,Therapy and Rehabilitation,809
476,2022,Qassim,43.483738,26.207826,Female,India,Nursing and Midwifery,804
479,2021,Hail,41.720824,27.51141,Female,Saudi Arabia,Nursing and Midwifery,802
480,2022,Taif,40.424819,21.284078,Male,Egypt,Medicine and Surgery,801
481,2021,Abha,42.511724,18.246468,Male,Saudi Arabia,Laboratories and Medical Technology,801
482,2019,Madinah,39.569184,24.524654,Female,Philippines,Nursing and Midwifery,801
483,2022,Dammam,50.088794,26.420683,Male,Egypt,Pharmacists and Pharmacy Technicians,800
484,2020,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Medicine and Surgery,799
487,2022,Dammam,50.088794,26.420683,Female,Saudi Arabia,Laboratories and Medical Technology,799
489,2018,Madinah,39.569184,24.524654,Female,Philippines,Nursing and Midwifery,798
493,2018,Khobar,50.080072,26.182911,Female,Philippines,Nursing and Midwifery,795
495,2022,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,794
496,2019,Al-Ahsa,49.449963,25.141626,Female,Philippines,Nursing and Midwifery,794
498,2022,Jeddah,39.192505,21.485811,Male,Philippines,Nursing and Midwifery,791
501,2022,Riyadh,46.675296,24.713552,Female,Egypt,Nursing and Midwifery,784
502,2022,Taif,40.424819,21.284078,Female,Saudi Arabia,Laboratories and Medical Technology,782
504,2020,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Therapy and Rehabilitation,780
505,2019,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Health Administration and Community Health,779
506,2018,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Therapy and Rehabilitation,778
507,2018,Riyadh,46.675296,24.713552,Female,Malaysia,Nursing and Midwifery,778
509,2021,Tabuk,36.566191,28.383508,Male,Saudi Arabia,Nursing and Midwifery,776
512,2018,Makkah,39.857912,21.389082,Female,Philippines,Nursing and Midwifery,772
514,2018,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Health Administration and Community Health,772
515,2021,Hafr Albatin,45.962711,28.378415,Female,Saudi Arabia,Nursing and Midwifery,771
518,2022,Makkah,39.857912,21.389082,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,768
520,2022,Taif,40.424819,21.284078,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,764
521,2021,Taif,40.424819,21.284078,Female,Saudi Arabia,Nursing and Midwifery,764
523,2020,Jeddah,39.192505,21.485811,Male,Egypt,Medicine and Surgery,760
524,2020,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Laboratories and Medical Technology,760
529,2022,Dammam,50.088794,26.420683,Male,Saudi Arabia,Medicine and Surgery,754
530,2022,Hail,41.720824,27.51141,Male,Saudi Arabia,Nursing and Midwifery,753
531,2022,Dammam,50.088794,26.420683,Female,Saudi Arabia,Therapy and Rehabilitation,753
