,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Age_Group_En,Number_of_Practitioners
232,2021,Female,Egypt,Medicine and Surgery,From 30 to 39,2832
233,2021,Male,Saudi Arabia,Therapy and Rehabilitation,From 40 to 49,2825
234,2021,Female,Saudi Arabia,Dentistry and Related Specialties,From 30 to 39,2804
235,2020,Female,Philippines,Nursing and Midwifery,From 40 to 49,2802
237,2018,Male,Egypt,Pharmacists and Pharmacy Technicians,From 30 to 39,2797
240,2021,Female,Sudan,Medicine and Surgery,From 30 to 39,2760
243,2019,Female,Philippines,Nursing and Midwifery,From 20 to 29,2710
244,2018,Female,Philippines,Nursing and Midwifery,From 40 to 49,2700
246,2016,Female,Philippines,Nursing and Midwifery,From 60 to 69,2655
247,2021,Male,Saudi Arabia,Dentistry and Related Specialties,From 30 to 39,2641
250,2021,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 20 to 29,2619
253,2021,Male,Saudi Arabia,Laboratories and Medical Technology,From 40 to 49,2597
256,2022,Female,Sudan,Medicine and Surgery,From 40 to 49,2578
258,2019,Female,Saudi Arabia,Therapy and Rehabilitation,From 30 to 39,2575
259,2021,Male,Saudi Arabia,Dentistry and Related Specialties,From 20 to 29,2570
260,2021,Male,Egypt,Medicine and Surgery,From 50 to 59,2566
261,2019,Female,Philippines,Nursing and Midwifery,From 40 to 49,2563
262,2020,Male,Philippines,Nursing and Midwifery,From 30 to 39,2531
264,2018,Female,Saudi Arabia,Therapy and Rehabilitation,From 30 to 39,2525
265,2019,Male,Saudi Arabia,Therapy and Rehabilitation,From 20 to 29,2507
267,2022,Female,Egypt,Nursing and Midwifery,From 30 to 39,2502
269,2022,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 40 to 49,2468
270,2019,Male,Saudi Arabia,Therapy and Rehabilitation,From 30 to 39,2467
271,2017,Male,Philippines,Nursing and Midwifery,From 30 to 39,2467
272,2018,Female,Philippines,Nursing and Midwifery,From 20 to 29,2408
274,2018,Male,Saudi Arabia,Therapy and Rehabilitation,From 30 to 39,2407
276,2018,Male,Philippines,Nursing and Midwifery,From 30 to 39,2400
278,2021,Male,Saudi Arabia,Nursing and Midwifery,From 20 to 29,2386
279,2017,Female,Philippines,Nursing and Midwifery,From 60 to 69,2372
282,2021,Male,Egypt,Medicine and Surgery,From 60 to 69,2337
283,2021,Male,Egypt,Pharmacists and Pharmacy Technicians,From 40 to 49,2333
284,2016,Male,Philippines,Nursing and Midwifery,From 30 to 39,2322
286,2020,Female,Saudi Arabia,Laboratories and Medical Technology,From 20 to 29,2320
287,2017,Female,Saudi Arabia,Therapy and Rehabilitation,From 30 to 39,2303
288,2020,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 30 to 39,2293
289,2020,Male,Saudi Arabia,Health Administration and Community Health,From 20 to 29,2292
290,2022,Male,Sudan,Medicine and Surgery,From 40 to 49,2284
291,2021,Male,Egypt,Pharmacists and Pharmacy Technicians,From 20 to 29,2283
294,2022,Male,India,Nursing and Midwifery,From 30 to 39,2241
295,2020,Female,Saudi Arabia,Nursing and Midwifery,From 20 to 29,2239
296,2021,Female,Saudi Arabia,Health Administration and Community Health,From 30 to 39,2239
297,2019,Male,Philippines,Nursing and Midwifery,From 30 to 39,2229
298,2021,Male,Saudi Arabia,Health Administration and Community Health,From 40 to 49,2226
299,2017,Male,Saudi Arabia,Therapy and Rehabilitation,From 30 to 39,2212
300,2016,Female,India,Nursing and Midwifery,From 40 to 49,2202
304,2020,Male,Saudi Arabia,Medicine and Surgery,From 30 to 39,2178
308,2022,Male,Saudi Arabia,Medicine and Surgery,From 50 to 59,2154
310,2022,Female,Sudan,Nursing and Midwifery,From 30 to 39,2133
311,2021,Male,Saudi Arabia,Technicians and Health Assistants,From 40 to 49,2132
313,2022,Female,Saudi Arabia,Therapy and Rehabilitation,From 40 to 49,2110
315,2017,Female,India,Nursing and Midwifery,From 40 to 49,2056
319,2019,Male,Saudi Arabia,Health Administration and Community Health,From 30 to 39,2030
320,2018,Male,Saudi Arabia,Therapy and Rehabilitation,From 20 to 29,2029
321,2017,Female,Saudi Arabia,Therapy and Rehabilitation,From 20 to 29,2029
326,2016,Male,Saudi Arabia,Therapy and Rehabilitation,From 30 to 39,1984
328,2021,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 30 to 39,1970
329,2022,Female,Egypt,Nursing and Midwifery,From 20 to 29,1963
330,2016,Female,Saudi Arabia,Therapy and Rehabilitation,From 30 to 39,1962
332,2021,Female,Egypt,Medicine and Surgery,From 40 to 49,1938
334,2021,Male,Sudan,Medicine and Surgery,From 30 to 39,1925
335,2018,Female,Philippines,Nursing and Midwifery,From 60 to 69,1916
339,2020,Female,Saudi Arabia,Health Administration and Community Health,From 20 to 29,1894
340,2022,Female,Malaysia,Nursing and Midwifery,From 30 to 39,1886
342,2021,Female,Saudi Arabia,Technicians and Health Assistants,From 30 to 39,1880
344,2021,Male,Saudi Arabia,Medicine and Surgery,From 40 to 49,1844
345,2022,Female,Saudi Arabia,Nursing and Midwifery,From 50 to 59,1835
348,2019,Female,Philippines,Nursing and Midwifery,From 60 to 69,1817
353,2020,Male,Saudi Arabia,Technicians and Health Assistants,From 20 to 29,1798
354,2017,Female,Philippines,Nursing and Midwifery,From 20 to 29,1789
355,2020,Male,Saudi Arabia,Medicine and Surgery,From 20 to 29,1778
360,2016,Male,Egypt,Pharmacists and Pharmacy Technicians,From 40 to 49,1729
361,2016,Female,Philippines,Nursing and Midwifery,From 50 to 59,1721
362,2021,Female,Sudan,Nursing and Midwifery,From 20 to 29,1721
364,2020,Male,Egypt,Medicine and Surgery,From 60 to 69,1711
365,2018,Female,India,Nursing and Midwifery,From 40 to 49,1710
366,2020,Female,India,Nursing and Midwifery,From 40 to 49,1703
367,2018,Male,Saudi Arabia,Health Administration and Community Health,From 30 to 39,1698
368,2017,Male,Egypt,Pharmacists and Pharmacy Technicians,From 40 to 49,1689
371,2020,Male,Saudi Arabia,Laboratories and Medical Technology,From 20 to 29,1668
374,2020,Male,Egypt,Medicine and Surgery,From 40 to 49,1655
375,2017,Female,Philippines,Nursing and Midwifery,From 50 to 59,1647
383,2019,Female,India,Nursing and Midwifery,From 40 to 49,1612
384,2020,Male,Saudi Arabia,Nursing and Midwifery,From 40 to 49,1608
387,2020,Male,Egypt,Pharmacists and Pharmacy Technicians,From 40 to 49,1603
389,2020,Female,Saudi Arabia,Technicians and Health Assistants,From 20 to 29,1585
390,2018,Male,Egypt,Pharmacists and Pharmacy Technicians,From 40 to 49,1580
392,2020,Female,Philippines,Nursing and Midwifery,From 50 to 59,1576
393,2021,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 40 to 49,1559
394,2019,Female,Saudi Arabia,Nursing and Midwifery,From 30 to 39,1548
395,2016,Male,Egypt,Medicine and Surgery,From 60 to 69,1538
396,2019,Male,Egypt,Pharmacists and Pharmacy Technicians,From 40 to 49,1528
397,2017,Male,Saudi Arabia,Health Administration and Community Health,From 30 to 39,1523
398,2019,Male,Egypt,Medicine and Surgery,From 60 to 69,1515
399,2019,Male,Saudi Arabia,Health Administration and Community Health,From 20 to 29,1513
400,2017,Male,Egypt,Medicine and Surgery,From 60 to 69,1510
401,2022,Female,Egypt,Medicine and Surgery,From 50 to 59,1506
402,2020,Male,Saudi Arabia,Therapy and Rehabilitation,From 40 to 49,1504
403,2021,Female,Egypt,Nursing and Midwifery,From 30 to 39,1490
406,2019,Female,Philippines,Nursing and Midwifery,From 50 to 59,1472
407,2018,Female,Philippines,Nursing and Midwifery,From 50 to 59,1465
409,2021,Female,Saudi Arabia,Therapy and Rehabilitation,From 40 to 49,1456
410,2020,Female,Saudi Arabia,Medicine and Surgery,From 30 to 39,1449
411,2021,Female,Sudan,Medicine and Surgery,From 40 to 49,1445
413,2018,Male,Egypt,Medicine and Surgery,From 60 to 69,1438
414,2020,Male,Egypt,Medicine and Surgery,From 30 to 39,1436
417,2022,Male,Saudi Arabia,Laboratories and Medical Technology,From 50 to 59,1412
418,2020,Female,Saudi Arabia,Medicine and Surgery,From 20 to 29,1409
422,2020,Female,Philippines,Nursing and Midwifery,From 60 to 69,1389
423,2019,Male,Saudi Arabia,Laboratories and Medical Technology,From 30 to 39,1387
425,2021,Male,India,Nursing and Midwifery,From 30 to 39,1383
426,2019,Male,Saudi Arabia,Nursing and Midwifery,From 30 to 39,1378
427,2016,Male,Saudi Arabia,Health Administration and Community Health,From 30 to 39,1375
429,2019,Female,India,Nursing and Midwifery,From 20 to 29,1374
431,2021,Male,Sudan,Medicine and Surgery,From 40 to 49,1364
433,2021,Female,Philippines,Nursing and Midwifery,From 60 to 69,1362
435,2019,Male,Saudi Arabia,Technicians and Health Assistants,From 30 to 39,1353
442,2018,Female,Saudi Arabia,Nursing and Midwifery,From 30 to 39,1339
444,2022,Male,Saudi Arabia,Therapy and Rehabilitation,From 50 to 59,1337
448,2020,Female,Saudi Arabia,Laboratories and Medical Technology,From 30 to 39,1323
451,2021,Female,Saudi Arabia,Nursing and Midwifery,From 50 to 59,1298
453,2016,Male,Egypt,Medicine and Surgery,From 40 to 49,1291
457,2017,Female,Saudi Arabia,Nursing and Midwifery,From 30 to 39,1284
459,2021,Female,Malaysia,Nursing and Midwifery,From 30 to 39,1276
460,2022,Male,Syria,Medicine and Surgery,From 40 to 49,1275
463,2022,Female,Sudan,Laboratories and Medical Technology,From 30 to 39,1265
465,2017,Male,Saudi Arabia,Therapy and Rehabilitation,From 20 to 29,1261
467,2022,Male,Pakistan,Medicine and Surgery,From 40 to 49,1250
470,2022,Male,Saudi Arabia,Nursing and Midwifery,From 50 to 59,1247
471,2022,Female,Saudi Arabia,Medicine and Surgery,From 40 to 49,1246
472,2021,Male,Saudi Arabia,Medicine and Surgery,From 50 to 59,1244
474,2018,Male,Saudi Arabia,Laboratories and Medical Technology,From 30 to 39,1241
476,2022,Female,Philippines,Laboratories and Medical Technology,From 40 to 49,1240
479,2022,Female,India,Nursing and Midwifery,From 50 to 59,1231
480,2017,Male,Egypt,Medicine and Surgery,From 40 to 49,1220
482,2019,Male,Egypt,Medicine and Surgery,From 40 to 49,1215
483,2022,Female,Egypt,Nursing and Midwifery,From 40 to 49,1213
484,2017,Male,Saudi Arabia,Laboratories and Medical Technology,From 30 to 39,1209
485,2021,Female,Sudan,Nursing and Midwifery,From 30 to 39,1206
487,2022,Female,Saudi Arabia,Laboratories and Medical Technology,From 40 to 49,1189
488,2022,Male,Saudi Arabia,Dentistry and Related Specialties,From 40 to 49,1188
490,2022,Male,Syria,Medicine and Surgery,From 50 to 59,1168
493,2018,Male,Saudi Arabia,Therapy and Rehabilitation,From 40 to 49,1164
494,2016,Female,Saudi Arabia,Therapy and Rehabilitation,From 20 to 29,1163
495,2016,Female,Philippines,Nursing and Midwifery,From 20 to 29,1162
500,2019,Female,Saudi Arabia,Laboratories and Medical Technology,From 20 to 29,1145
502,2018,Male,Egypt,Medicine and Surgery,From 40 to 49,1139
505,2017,Male,Saudi Arabia,Therapy and Rehabilitation,From 40 to 49,1136
506,2019,Male,Saudi Arabia,Therapy and Rehabilitation,From 40 to 49,1136
509,2020,Female,Sudan,Medicine and Surgery,From 30 to 39,1124
511,2019,Female,Saudi Arabia,Health Administration and Community Health,From 20 to 29,1111
512,2020,Female,Saudi Arabia,Health Administration and Community Health,From 30 to 39,1108
515,2022,Male,Egypt,Dentistry and Related Specialties,From 30 to 39,1102
517,2020,Male,Saudi Arabia,Technicians and Health Assistants,From 40 to 49,1100
518,2018,Male,Saudi Arabia,Health Administration and Community Health,From 20 to 29,1098
519,2020,Male,Egypt,Medicine and Surgery,From 50 to 59,1096
520,2018,Male,Saudi Arabia,Nursing and Midwifery,From 30 to 39,1084
522,2022,Female,Saudi Arabia,Dentistry and Related Specialties,From 40 to 49,1079
523,2022,Male,Sudan,Medicine and Surgery,From 50 to 59,1076
524,2022,Female,Saudi Arabia,Medicine and Surgery,From 50 to 59,1076
527,2021,Male,Saudi Arabia,Therapy and Rehabilitation,From 50 to 59,1062
528,2022,Male,Saudi Arabia,Health Administration and Community Health,From 50 to 59,1062
530,2022,Male,Egypt,Technicians and Health Assistants,From 30 to 39,1056
531,2017,Male,Saudi Arabia,Nursing and Midwifery,From 30 to 39,1056
538,2021,Female,Egypt,Nursing and Midwifery,From 20 to 29,1038
539,2019,Female,Saudi Arabia,Technicians and Health Assistants,From 20 to 29,1037
543,2022,Female,Philippines,Nursing and Midwifery,From 60 to 69,1025
545,2020,Male,Saudi Arabia,Health Administration and Community Health,From 40 to 49,1019
546,2022,Male,Pakistan,Medicine and Surgery,From 50 to 59,1019
550,2021,Female,Egypt,Medicine and Surgery,From 50 to 59,1013
552,2022,Female,Philippines,Laboratories and Medical Technology,From 30 to 39,1007
553,2018,Male,Saudi Arabia,Technicians and Health Assistants,From 30 to 39,1006
555,2016,Male,Saudi Arabia,Therapy and Rehabilitation,From 40 to 49,999
556,2021,Male,Saudi Arabia,Laboratories and Medical Technology,From 50 to 59,999
558,2017,Female,Sudan,Medicine and Surgery,From 30 to 39,996
559,2020,Female,Saudi Arabia,Nursing and Midwifery,From 40 to 49,995
567,2022,Male,Syria,Dentistry and Related Specialties,From 40 to 49,973
570,2021,Female,India,Nursing and Midwifery,From 50 to 59,967
574,2020,Female,Egypt,Medicine and Surgery,From 30 to 39,958
575,2020,Male,Saudi Arabia,Dentistry and Related Specialties,From 30 to 39,956
582,2022,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 50 to 59,947
585,2020,Female,Saudi Arabia,Dentistry and Related Specialties,From 30 to 39,941
586,2017,Male,Saudi Arabia,Technicians and Health Assistants,From 30 to 39,939
590,2020,Male,Sudan,Medicine and Surgery,From 30 to 39,930
597,2018,Female,Saudi Arabia,Laboratories and Medical Technology,From 20 to 29,924
598,2021,Female,Philippines,Laboratories and Medical Technology,From 40 to 49,920
604,2016,Female,Sudan,Medicine and Surgery,From 30 to 39,904
605,2020,Male,Saudi Arabia,Laboratories and Medical Technology,From 40 to 49,903
606,2022,Female,Egypt,Dentistry and Related Specialties,From 30 to 39,900
607,2018,Female,Sudan,Medicine and Surgery,From 30 to 39,898
608,2021,Male,Saudi Arabia,Nursing and Midwifery,From 50 to 59,897
609,2016,Male,Saudi Arabia,Laboratories and Medical Technology,From 30 to 39,897
611,2022,Male,Egypt,Technicians and Health Assistants,From 20 to 29,890
613,2022,Male,Saudi Arabia,Medicine and Surgery,From 60 to 69,880
614,2016,Female,India,Nursing and Midwifery,From 50 to 59,879
616,2019,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 30 to 39,870
618,2018,Female,Saudi Arabia,Technicians and Health Assistants,From 20 to 29,867
619,2020,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 20 to 29,863
620,2016,Male,Egypt,Medicine and Surgery,From 50 to 59,857
623,2020,Female,Saudi Arabia,Dentistry and Related Specialties,From 20 to 29,849
624,2022,Male,Philippines,Nursing and Midwifery,From 40 to 49,849
626,2019,Male,Egypt,Medicine and Surgery,From 30 to 39,842
627,2020,Female,Egypt,Medicine and Surgery,From 40 to 49,839
629,2017,Male,Egypt,Medicine and Surgery,From 50 to 59,826
630,2022,Male,Nigeria,Medicine and Surgery,From 30 to 39,819
631,2019,Male,Egypt,Medicine and Surgery,From 50 to 59,818
632,2017,Female,Malaysia,Nursing and Midwifery,From 30 to 39,814
633,2019,Male,Saudi Arabia,Nursing and Midwifery,From 40 to 49,814
634,2019,Male,Saudi Arabia,Technicians and Health Assistants,From 20 to 29,812
636,2022,Male,Saudi Arabia,Technicians and Health Assistants,From 50 to 59,808
637,2021,Female,Philippines,Laboratories and Medical Technology,From 30 to 39,808
639,2017,Female,Philippines,Laboratories and Medical Technology,From 30 to 39,801
641,2018,Male,Egypt,Medicine and Surgery,From 30 to 39,797
642,2021,Male,Pakistan,Medicine and Surgery,From 40 to 49,795
646,2016,Female,Saudi Arabia,Nursing and Midwifery,From 30 to 39,788
648,2017,Male,Egypt,Medicine and Surgery,From 30 to 39,783
649,2022,Female,Malaysia,Nursing and Midwifery,From 40 to 49,782
650,2021,Female,Egypt,Nursing and Midwifery,From 40 to 49,781
651,2019,Male,Saudi Arabia,Laboratories and Medical Technology,From 20 to 29,780
652,2016,Female,Philippines,Laboratories and Medical Technology,From 30 to 39,776
654,2017,Female,India,Nursing and Midwifery,From 50 to 59,770
656,2016,Male,Saudi Arabia,Therapy and Rehabilitation,From 20 to 29,764
657,2020,Female,Saudi Arabia,Therapy and Rehabilitation,From 40 to 49,763
658,2018,Female,Philippines,Laboratories and Medical Technology,From 30 to 39,763
660,2018,Female,Saudi Arabia,Health Administration and Community Health,From 20 to 29,758
661,2018,Female,Malaysia,Nursing and Midwifery,From 30 to 39,758
663,2016,Male,Egypt,Medicine and Surgery,From 30 to 39,754
664,2018,Male,Egypt,Medicine and Surgery,From 50 to 59,754
665,2019,Female,Sudan,Medicine and Surgery,From 30 to 39,753
666,2021,Male,Saudi Arabia,Health Administration and Community Health,From 50 to 59,753
667,2016,Female,Malaysia,Nursing and Midwifery,From 30 to 39,751
668,2016,Male,Saudi Arabia,Technicians and Health Assistants,From 30 to 39,749
670,2022,Male,Syria,Dentistry and Related Specialties,From 30 to 39,747
674,2021,Male,Egypt,Technicians and Health Assistants,From 30 to 39,736
676,2018,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 30 to 39,733
677,2020,Female,Saudi Arabia,Technicians and Health Assistants,From 30 to 39,730
679,2022,Male,Jordan,Nursing and Midwifery,From 30 to 39,726
680,2018,Male,Saudi Arabia,Nursing and Midwifery,From 40 to 49,724
681,2021,Female,Sudan,Laboratories and Medical Technology,From 30 to 39,723
682,2017,Male,Saudi Arabia,Nursing and Midwifery,From 40 to 49,723
683,2022,Female,Philippines,Therapy and Rehabilitation,From 40 to 49,723
684,2020,Female,Saudi Arabia,Nursing and Midwifery,From 50 to 59,723
685,2020,Female,Malaysia,Nursing and Midwifery,From 30 to 39,723
688,2019,Female,Malaysia,Nursing and Midwifery,From 30 to 39,717
689,2017,Female,Egypt,Medicine and Surgery,From 40 to 49,717
