,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Profile_Status_En,Number_of_Practitioners
68,2021,Female,Saudi Arabia,Laboratories and Medical Technology,Clear,11641
72,2022,Female,Saudi Arabia,Technicians and Health Assistants,Clear,11188
75,2020,Female,Saudi Arabia,Therapy and Rehabilitation,Clear,10932
76,2021,Male,Egypt,Pharmacists and Pharmacy Technicians,Clear,10923
77,2022,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clear,10491
78,2021,Female,Saudi Arabia,Medicine and Surgery,Clear,10414
79,2022,Female,Egypt,Medicine and Surgery,Clear,10257
81,2022,Female,Saudi Arabia,Health Administration and Community Health,Clear,10178
84,2020,Male,Saudi Arabia,Therapy and Rehabilitation,Clear,9711
89,2020,Female,Saudi Arabia,Nursing and Midwifery,Clear,8768
91,2019,Female,Saudi Arabia,Therapy and Rehabilitation,Clear,8335
95,2022,Female,Sudan,Medicine and Surgery,Clear,8052
100,2020,Male,Saudi Arabia,Health Administration and Community Health,Clear,7387
101,2022,Male,Sudan,Medicine and Surgery,Clear,7325
102,2021,Female,Saudi Arabia,Dentistry and Related Specialties,Clear,7163
104,2018,Female,Saudi Arabia,Therapy and Rehabilitation,Clear,7063
106,2022,Male,Philippines,Nursing and Midwifery,Clear,6922
108,2020,Male,Saudi Arabia,Technicians and Health Assistants,Clear,6780
109,2019,Male,Saudi Arabia,Therapy and Rehabilitation,Clear,6703
110,2021,Female,Saudi Arabia,Health Administration and Community Health,Clear,6676
111,2020,Male,Saudi Arabia,Laboratories and Medical Technology,Clear,6536
112,2020,Male,Saudi Arabia,Nursing and Midwifery,Clear,6507
113,2021,Female,Egypt,Medicine and Surgery,Clear,6331
114,2022,Female,Egypt,Nursing and Midwifery,Clear,6318
116,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Clear,6257
118,2018,Male,Saudi Arabia,Therapy and Rehabilitation,Clear,6236
120,2021,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clear,6146
121,2020,Male,Egypt,Medicine and Surgery,Clear,6097
124,2020,Male,Egypt,Pharmacists and Pharmacy Technicians,Clear,6004
126,2022,Female,Sudan,Nursing and Midwifery,Clear,5617
130,2021,Female,Saudi Arabia,Technicians and Health Assistants,Clear,5405
131,2017,Male,Egypt,Pharmacists and Pharmacy Technicians,Clear,5310
132,2017,Male,Saudi Arabia,Therapy and Rehabilitation,Clear,5300
133,2016,Male,Egypt,Pharmacists and Pharmacy Technicians,Clear,5292
135,2020,Male,Saudi Arabia,Medicine and Surgery,Clear,5169
136,2019,Male,Egypt,Pharmacists and Pharmacy Technicians,Clear,5133
137,2021,Male,Philippines,Nursing and Midwifery,Clear,5085
139,2017,Female,Saudi Arabia,Therapy and Rehabilitation,Clear,5042
140,2018,Male,Egypt,Pharmacists and Pharmacy Technicians,Clear,4932
143,2021,Female,Sudan,Medicine and Surgery,Clear,4818
145,2016,Male,Egypt,Medicine and Surgery,Clear,4649
146,2021,Male,Sudan,Medicine and Surgery,Clear,4603
149,2019,Male,Egypt,Medicine and Surgery,Clear,4510
150,2017,Male,Egypt,Medicine and Surgery,Clear,4499
152,2019,Male,Saudi Arabia,Health Administration and Community Health,Clear,4445
153,2016,Male,Saudi Arabia,Therapy and Rehabilitation,Clear,4416
157,2018,Male,Egypt,Medicine and Surgery,Clear,4293
161,2020,Female,Saudi Arabia,Laboratories and Medical Technology,Clear,3961
164,2020,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clear,3885
166,2016,Female,Saudi Arabia,Therapy and Rehabilitation,Clear,3786
167,2021,Female,Egypt,Nursing and Midwifery,Clear,3766
168,2018,Male,Saudi Arabia,Health Administration and Community Health,Clear,3712
171,2022,Male,Syria,Medicine and Surgery,Clear,3610
172,2022,Female,Philippines,Laboratories and Medical Technology,Clear,3501
173,2020,Female,Saudi Arabia,Medicine and Surgery,Clear,3377
175,2020,Male,Philippines,Nursing and Midwifery,Clear,3325
177,2022,Male,Pakistan,Medicine and Surgery,Clear,3291
179,2022,Female,Malaysia,Nursing and Midwifery,Clear,3222
180,2020,Female,Saudi Arabia,Health Administration and Community Health,Clear,3214
182,2017,Male,Saudi Arabia,Health Administration and Community Health,Clear,3186
183,2021,Female,Sudan,Nursing and Midwifery,Clear,3170
185,2017,Male,Philippines,Nursing and Midwifery,Clear,3114
186,2019,Female,Saudi Arabia,Nursing and Midwifery,Clear,3077
187,2019,Male,Saudi Arabia,Technicians and Health Assistants,Clear,3027
188,2018,Male,Philippines,Nursing and Midwifery,Clear,2991
189,2016,Male,Philippines,Nursing and Midwifery,Clear,2965
190,2019,Male,Saudi Arabia,Laboratories and Medical Technology,Clear,2959
192,2019,Male,Philippines,Nursing and Midwifery,Clear,2935
194,2019,Male,Saudi Arabia,Nursing and Midwifery,Clear,2862
195,2022,Male,India,Nursing and Midwifery,Clear,2844
197,2018,Female,Saudi Arabia,Nursing and Midwifery,Clear,2761
198,2020,Female,Egypt,Medicine and Surgery,Clear,2745
199,2017,Female,Saudi Arabia,Nursing and Midwifery,Clear,2743
201,2021,Female,Philippines,Laboratories and Medical Technology,Clear,2696
203,2018,Male,Saudi Arabia,Laboratories and Medical Technology,Clear,2683
204,2016,Male,Saudi Arabia,Health Administration and Community Health,Clear,2683
207,2022,Male,Syria,Dentistry and Related Specialties,Clear,2616
210,2017,Male,Saudi Arabia,Nursing and Midwifery,Clear,2575
213,2017,Male,Saudi Arabia,Laboratories and Medical Technology,Clear,2518
214,2020,Female,Saudi Arabia,Technicians and Health Assistants,Clear,2473
216,2018,Male,Saudi Arabia,Nursing and Midwifery,Clear,2424
221,2018,Male,Saudi Arabia,Technicians and Health Assistants,Clear,2339
222,2022,Male,Egypt,Technicians and Health Assistants,Clear,2334
224,2022,Male,Egypt,Dentistry and Related Specialties,Clear,2264
226,2021,Female,Malaysia,Nursing and Midwifery,Clear,2232
228,2017,Female,Egypt,Medicine and Surgery,Clear,2205
229,2017,Male,Saudi Arabia,Technicians and Health Assistants,Clear,2194
230,2021,Male,Pakistan,Medicine and Surgery,Clear,2186
231,2016,Female,Egypt,Medicine and Surgery,Clear,2178
232,2022,Female,Sudan,Laboratories and Medical Technology,Clear,2160
233,2019,Female,Egypt,Medicine and Surgery,Clear,2132
238,2020,Male,Sudan,Medicine and Surgery,Clear,2084
239,2020,Female,Saudi Arabia,Dentistry and Related Specialties,Clear,2079
240,2022,Male,India,Medicine and Surgery,Clear,2076
241,2016,Female,Saudi Arabia,Nursing and Midwifery,Clear,2064
242,2021,Male,Syria,Medicine and Surgery,Clear,2063
243,2018,Female,Egypt,Medicine and Surgery,Clear,2029
244,2016,Male,Saudi Arabia,Laboratories and Medical Technology,Clear,1988
247,2019,Female,Saudi Arabia,Laboratories and Medical Technology,Clear,1972
254,2019,Female,Saudi Arabia,Health Administration and Community Health,Clear,1917
256,2016,Male,Saudi Arabia,Nursing and Midwifery,Clear,1903
257,2017,Female,Philippines,Laboratories and Medical Technology,Clear,1899
260,2020,Female,Sudan,Medicine and Surgery,Clear,1850
261,2020,Female,Philippines,Laboratories and Medical Technology,Clear,1849
265,2020,Male,Saudi Arabia,Dentistry and Related Specialties,Clear,1842
269,2018,Female,Philippines,Laboratories and Medical Technology,Clear,1806
273,2016,Female,Philippines,Laboratories and Medical Technology,Clear,1774
274,2019,Female,Philippines,Laboratories and Medical Technology,Clear,1770
275,2018,Female,Saudi Arabia,Laboratories and Medical Technology,Clear,1767
277,2016,Male,Saudi Arabia,Technicians and Health Assistants,Clear,1762
281,2020,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clear,1753
284,2021,Male,India,Nursing and Midwifery,Clear,1713
288,2022,Female,Pakistan,Nursing and Midwifery,Clear,1644
289,2022,Female,Egypt,Dentistry and Related Specialties,Clear,1644
291,2022,Male,Yemen,Medicine and Surgery,Clear,1615
292,2021,Male,Egypt,Technicians and Health Assistants,Clear,1614
295,2016,Female,Philippines,Nursing and Midwifery,Blacklisted,1571
296,2019,Female,Saudi Arabia,Technicians and Health Assistants,Clear,1556
297,2022,Female,Pakistan,Medicine and Surgery,Clear,1554
299,2019,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clear,1545
301,2017,Female,Philippines,Nursing and Midwifery,Blacklisted,1518
303,2017,Female,Sudan,Medicine and Surgery,Clear,1504
307,2022,Female,Philippines,Therapy and Rehabilitation,Clear,1483
311,2022,Male,Jordan,Medicine and Surgery,Clear,1460
312,2018,Female,Saudi Arabia,Health Administration and Community Health,Clear,1459
313,2022,Male,Egypt,Nursing and Midwifery,Clear,1454
314,2021,Male,Syria,Dentistry and Related Specialties,Clear,1451
316,2019,Male,Saudi Arabia,Medicine and Surgery,Clear,1448
318,2021,Male,India,Medicine and Surgery,Clear,1434
322,2017,Female,Malaysia,Nursing and Midwifery,Clear,1425
323,2022,Male,Nigeria,Medicine and Surgery,Clear,1423
324,2022,Male,Jordan,Nursing and Midwifery,Clear,1415
325,2021,Male,Egypt,Dentistry and Related Specialties,Clear,1405
326,2018,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clear,1401
327,2016,Female,Sudan,Medicine and Surgery,Clear,1399
328,2022,Male,Sudan,Laboratories and Medical Technology,Clear,1397
330,2016,Female,Malaysia,Nursing and Midwifery,Clear,1389
331,2020,Female,Egypt,Nursing and Midwifery,Clear,1383
333,2018,Female,Saudi Arabia,Technicians and Health Assistants,Clear,1380
334,2017,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clear,1380
336,2017,Female,Saudi Arabia,Laboratories and Medical Technology,Clear,1365
337,2016,Male,Pakistan,Medicine and Surgery,Clear,1358
339,2022,Female,Philippines,Dentistry and Related Specialties,Clear,1349
340,2016,Male,Sudan,Medicine and Surgery,Clear,1348
341,2017,Male,Sudan,Medicine and Surgery,Clear,1348
342,2018,Female,Sudan,Medicine and Surgery,Clear,1342
344,2017,Male,Pakistan,Medicine and Surgery,Clear,1336
348,2018,Female,Philippines,Nursing and Midwifery,Blacklisted,1316
352,2018,Male,Sudan,Medicine and Surgery,Clear,1301
356,2018,Female,Malaysia,Nursing and Midwifery,Clear,1295
358,2019,Male,Sudan,Medicine and Surgery,Clear,1276
361,2021,Female,Sudan,Laboratories and Medical Technology,Clear,1270
362,2020,Female,Malaysia,Nursing and Midwifery,Clear,1251
364,2019,Female,Malaysia,Nursing and Midwifery,Clear,1232
374,2019,Female,Sudan,Medicine and Surgery,Clear,1189
375,2020,Male,Pakistan,Medicine and Surgery,Clear,1187
379,2016,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clear,1169
380,2022,Female,South Africa,Nursing and Midwifery,Clear,1164
383,2018,Male,Pakistan,Medicine and Surgery,Clear,1146
384,2022,Female,Syria,Dentistry and Related Specialties,Clear,1132
387,2022,Male,Philippines,Laboratories and Medical Technology,Clear,1127
388,2017,Female,Saudi Arabia,Technicians and Health Assistants,Clear,1114
389,2022,Male,Yemen,Pharmacists and Pharmacy Technicians,Clear,1113
398,2021,Female,Philippines,Therapy and Rehabilitation,Clear,1080
400,2016,Female,Saudi Arabia,Laboratories and Medical Technology,Clear,1069
403,2018,Male,Saudi Arabia,Medicine and Surgery,Clear,1052
406,2022,Male,Egypt,Laboratories and Medical Technology,Clear,1037
407,2019,Male,Pakistan,Medicine and Surgery,Clear,1037
408,2021,Female,Egypt,Dentistry and Related Specialties,Clear,1036
412,2021,Female,Pakistan,Medicine and Surgery,Clear,1007
414,2022,Male,Sudan,Pharmacists and Pharmacy Technicians,Clear,1001
417,2016,Female,Saudi Arabia,Technicians and Health Assistants,Clear,1000
420,2017,Female,Saudi Arabia,Health Administration and Community Health,Clear,990
423,2019,Female,Saudi Arabia,Medicine and Surgery,Clear,985
427,2021,Male,Jordan,Medicine and Surgery,Clear,975
428,2021,Female,Pakistan,Nursing and Midwifery,Clear,973
430,2022,Female,Syria,Medicine and Surgery,Clear,969
432,2021,Female,Philippines,Dentistry and Related Specialties,Clear,958
435,2017,Male,Saudi Arabia,Medicine and Surgery,Clear,955
440,2021,Female,South Africa,Nursing and Midwifery,Clear,945
441,2016,Male,India,Medicine and Surgery,Clear,941
447,2021,Male,Philippines,Laboratories and Medical Technology,Clear,924
453,2019,Female,Egypt,Nursing and Midwifery,Clear,915
454,2017,Female,Egypt,Nursing and Midwifery,Clear,913
456,2017,Male,India,Medicine and Surgery,Clear,911
457,2016,Female,Egypt,Nursing and Midwifery,Clear,902
461,2020,Male,India,Medicine and Surgery,Clear,875
462,2021,Male,Yemen,Medicine and Surgery,Clear,872
465,2021,Male,Jordan,Nursing and Midwifery,Clear,867
466,2022,Female,Jordan,Nursing and Midwifery,Clear,863
469,2016,Female,Egypt,Pharmacists and Pharmacy Technicians,Clear,854
470,2021,Male,Egypt,Nursing and Midwifery,Clear,853
472,2018,Female,Egypt,Nursing and Midwifery,Clear,849
475,2020,Male,Egypt,Dentistry and Related Specialties,Clear,845
479,2017,Female,Egypt,Pharmacists and Pharmacy Technicians,Clear,833
480,2021,Male,Nigeria,Medicine and Surgery,Clear,829
481,2022,Female,Philippines,Pharmacists and Pharmacy Technicians,Clear,826
482,2017,Female,Pakistan,Medicine and Surgery,Clear,824
483,2022,Female,Sudan,Dentistry and Related Specialties,Clear,824
487,2018,Male,India,Medicine and Surgery,Clear,814
488,2021,Male,Sudan,Laboratories and Medical Technology,Clear,814
491,2016,Male,Saudi Arabia,Medicine and Surgery,Clear,803
494,2022,Male,India,Dentistry and Related Specialties,Clear,801
497,2017,Female,Sudan,Laboratories and Medical Technology,Clear,798
501,2019,Male,India,Medicine and Surgery,Clear,788
502,2020,Male,India,Nursing and Midwifery,Clear,783
505,2022,Female,India,Medicine and Surgery,Clear,772
506,2016,Female,Pakistan,Medicine and Surgery,Clear,772
507,2020,Male,Egypt,Technicians and Health Assistants,Clear,768
510,2022,Female,Yemen,Medicine and Surgery,Clear,765
511,2022,Male,Philippines,Therapy and Rehabilitation,Clear,765
513,2022,Female,Sudan,Therapy and Rehabilitation,Clear,761
514,2017,Male,Egypt,Dentistry and Related Specialties,Clear,759
516,2017,Female,Egypt,Dentistry and Related Specialties,Clear,758
517,2022,Female,Egypt,Pharmacists and Pharmacy Technicians,Clear,757
519,2016,Female,Saudi Arabia,Health Administration and Community Health,Clear,751
525,2022,Male,Sudan,Nursing and Midwifery,Clear,736
2536,2016,Male,Egypt,Dentistry and Related Specialties,Clear,716
2537,2018,Male,Egypt,Dentistry and Related Specialties,Clear,714
2538,2022,Male,India,Laboratories and Medical Technology,Clear,713
2541,2019,Female,Saudi Arabia,Dentistry and Related Specialties,Clear,701
2543,2018,Female,Pakistan,Medicine and Surgery,Clear,699
2548,2021,Female,Philippines,Pharmacists and Pharmacy Technicians,Clear,695
2550,2019,Male,Egypt,Dentistry and Related Specialties,Clear,694
2552,2022,Male,Palestine,Medicine and Surgery,Clear,692
2554,2016,Female,Egypt,Dentistry and Related Specialties,Clear,689
2555,2020,Male,Syria,Medicine and Surgery,Clear,687
2557,2018,Female,Saudi Arabia,Medicine and Surgery,Clear,685
2558,2017,Female,Philippines,Therapy and Rehabilitation,Clear,683
2559,2017,Female,Philippines,Dentistry and Related Specialties,Clear,681
2560,2018,Female,Egypt,Dentistry and Related Specialties,Clear,680
2561,2018,Female,Sudan,Laboratories and Medical Technology,Clear,678
2563,2016,Male,Syria,Medicine and Surgery,Clear,674
2570,2016,Female,South Africa,Nursing and Midwifery,Clear,662
2571,2020,Female,Philippines,Therapy and Rehabilitation,Clear,661
2575,2020,Female,Egypt,Dentistry and Related Specialties,Clear,660
2577,2021,Female,Syria,Dentistry and Related Specialties,Clear,658
2578,2022,Male,Yemen,Dentistry and Related Specialties,Clear,657
2587,2022,Male,Jordan,Dentistry and Related Specialties,Clear,647
2589,2016,Female,Philippines,Dentistry and Related Specialties,Clear,645
2590,2016,Female,Sudan,Laboratories and Medical Technology,Clear,644
2591,2021,Male,Egypt,Laboratories and Medical Technology,Clear,643
2592,2018,Female,Philippines,Therapy and Rehabilitation,Clear,639
2596,2017,Male,Syria,Medicine and Surgery,Clear,637
2599,2017,Male,Philippines,Laboratories and Medical Technology,Clear,636
2600,2017,Male,Egypt,Technicians and Health Assistants,Clear,636
2601,2017,Female,South Africa,Nursing and Midwifery,Clear,635
2602,2020,Female,Sudan,Nursing and Midwifery,Clear,635
2603,2019,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clear,634
2610,2019,Female,Philippines,Therapy and Rehabilitation,Clear,624
2611,2019,Female,Pakistan,Medicine and Surgery,Clear,623
2619,2019,Male,Egypt,Technicians and Health Assistants,Clear,612
2623,2016,Female,Philippines,Therapy and Rehabilitation,Clear,611
2625,2019,Male,India,Nursing and Midwifery,Clear,610
2627,2020,Male,Philippines,Laboratories and Medical Technology,Clear,607
2628,2022,Male,India,Pharmacists and Pharmacy Technicians,Clear,606
2630,2021,Male,Yemen,Pharmacists and Pharmacy Technicians,Clear,604
2633,2018,Female,Egypt,Pharmacists and Pharmacy Technicians,Clear,603
2637,2018,Male,Egypt,Technicians and Health Assistants,Clear,602
2641,2022,Male,Pakistan,Pharmacists and Pharmacy Technicians,Clear,601
2644,2018,Male,India,Nursing and Midwifery,Clear,595
2646,2020,Female,Pakistan,Medicine and Surgery,Clear,592
2647,2017,Male,India,Nursing and Midwifery,Clear,591
2648,2016,Male,Philippines,Laboratories and Medical Technology,Clear,591
2649,2018,Female,South Africa,Nursing and Midwifery,Clear,590
2651,2017,Female,Saudi Arabia,Medicine and Surgery,Clear,588
2652,2018,Female,Philippines,Dentistry and Related Specialties,Clear,584
2653,2020,Female,Philippines,Dentistry and Related Specialties,Clear,583
2654,2019,Female,South Africa,Nursing and Midwifery,Clear,581
2655,2019,Female,Egypt,Dentistry and Related Specialties,Clear,581
2656,2017,Female,Pakistan,Nursing and Midwifery,Clear,580
2659,2021,Female,Egypt,Pharmacists and Pharmacy Technicians,Clear,579
2660,2018,Male,Philippines,Laboratories and Medical Technology,Clear,578
2664,2019,Male,Philippines,Laboratories and Medical Technology,Clear,577
2667,2021,Male,Philippines,Therapy and Rehabilitation,Clear,573
2670,2022,Male,Egypt,Therapy and Rehabilitation,Clear,568
2671,2019,Male,Saudi Arabia,Dentistry and Related Specialties,Clear,567
2673,2018,Male,Syria,Medicine and Surgery,Clear,565
2674,2020,Male,Syria,Dentistry and Related Specialties,Clear,564
2675,2016,Male,Egypt,Technicians and Health Assistants,Clear,563
2676,2021,Female,Syria,Medicine and Surgery,Clear,563
2677,2020,Female,South Africa,Nursing and Midwifery,Clear,563
2679,2019,Female,Philippines,Dentistry and Related Specialties,Clear,559
2682,2021,Male,Sudan,Pharmacists and Pharmacy Technicians,Clear,556
2684,2018,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clear,553
2691,2016,Female,Pakistan,Nursing and Midwifery,Clear,547
2692,2021,Female,Jordan,Nursing and Midwifery,Clear,546
2695,2022,Male,Palestine,Dentistry and Related Specialties,Clear,543
2700,2021,Female,India,Medicine and Surgery,Clear,534
2711,2018,Female,Saudi Arabia,Dentistry and Related Specialties,Clear,522
2713,2020,Female,Sudan,Laboratories and Medical Technology,Clear,521
2714,2017,Male,Syria,Dentistry and Related Specialties,Clear,517
2718,2022,Female,Yemen,Dentistry and Related Specialties,Clear,512
2720,2021,Male,India,Dentistry and Related Specialties,Clear,504
2721,2022,Female,India,Laboratories and Medical Technology,Clear,500
2724,2019,Male,Syria,Medicine and Surgery,Clear,495
2726,2016,Female,Saudi Arabia,Medicine and Surgery,Clear,492
2728,2016,Male,India,Nursing and Midwifery,Clear,490
2732,2020,Female,Pakistan,Nursing and Midwifery,Clear,486
2733,2021,Female,Sudan,Dentistry and Related Specialties,Clear,486
2734,2019,Female,Philippines,Nursing and Midwifery,Blacklisted,485
2737,2016,Male,Syria,Dentistry and Related Specialties,Clear,480
2738,2022,Male,Syria,Pharmacists and Pharmacy Technicians,Clear,480
2739,2019,Female,Sudan,Laboratories and Medical Technology,Clear,479
2741,2018,Male,Syria,Dentistry and Related Specialties,Clear,478
2744,2017,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clear,477
2745,2021,Male,India,Laboratories and Medical Technology,Clear,477
2751,2021,Female,Yemen,Medicine and Surgery,Clear,473
2753,2018,Female,Pakistan,Nursing and Midwifery,Clear,471
2755,2022,Female,Lebanon,Nursing and Midwifery,Clear,470
2756,2022,Female,Indonesia,Nursing and Midwifery,Clear,470
2757,2017,Female,Saudi Arabia,Dentistry and Related Specialties,Clear,468
2765,2017,Female,Philippines,Pharmacists and Pharmacy Technicians,Clear,459
2767,2022,Male,India,Therapy and Rehabilitation,Clear,457
2773,2020,Male,Jordan,Medicine and Surgery,Clear,453
2775,2019,Female,Pakistan,Nursing and Midwifery,Clear,452
2780,2022,Female,India,Dentistry and Related Specialties,Clear,444
2786,2022,Male,United Kingdom,Medicine and Surgery,Clear,442
2792,2021,Female,Sudan,Therapy and Rehabilitation,Clear,436
2795,2017,Male,Jordan,Medicine and Surgery,Clear,432
2798,2019,Male,Syria,Dentistry and Related Specialties,Clear,430
2802,2019,Female,Egypt,Pharmacists and Pharmacy Technicians,Clear,428
2803,2022,Female,Sudan,Pharmacists and Pharmacy Technicians,Clear,427
2806,2016,Male,Jordan,Medicine and Surgery,Clear,421
2811,2018,Female,Philippines,Pharmacists and Pharmacy Technicians,Clear,415
2813,2016,Female,Philippines,Pharmacists and Pharmacy Technicians,Clear,413
2817,2019,Female,Philippines,Pharmacists and Pharmacy Technicians,Clear,408
2821,2021,Male,Jordan,Dentistry and Related Specialties,Clear,405
2825,2022,Female,Egypt,Therapy and Rehabilitation,Clear,403
2827,2021,Male,Sudan,Nursing and Midwifery,Clear,401
2828,2018,Male,Saudi Arabia,Dentistry and Related Specialties,Clear,401
2829,2021,Male,Palestine,Medicine and Surgery,Clear,400
2830,2020,Female,Philippines,Pharmacists and Pharmacy Technicians,Clear,400
2831,2021,Male,India,Pharmacists and Pharmacy Technicians,Clear,398
2833,2018,Male,Jordan,Medicine and Surgery,Clear,396
2835,2016,Female,India,Nursing and Midwifery,Blacklisted,394
2839,2022,Female,Egypt,Laboratories and Medical Technology,Clear,392
2843,2020,Male,Philippines,Therapy and Rehabilitation,Clear,388
2844,2021,Male,Pakistan,Pharmacists and Pharmacy Technicians,Clear,387
2851,2022,Male,Lebanon,Medicine and Surgery,Clear,382
2853,2016,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clear,382
2854,2016,Female,India,Medicine and Surgery,Clear,382
2858,2022,Male,Sudan,Dentistry and Related Specialties,Clear,379
2862,2017,Male,Jordan,Nursing and Midwifery,Clear,378
2863,2021,Male,Yemen,Dentistry and Related Specialties,Clear,377
2867,2022,Male,Jordan,Pharmacists and Pharmacy Technicians,Clear,376
2874,2016,Female,United Kingdom,Nursing and Midwifery,Clear,374
2875,2022,Male,Sudan,Therapy and Rehabilitation,Clear,374
2879,2017,Female,India,Nursing and Midwifery,Blacklisted,371
2883,2017,Female,India,Medicine and Surgery,Clear,368
2885,2022,Female,Palestine,Dentistry and Related Specialties,Clear,367
2888,2017,Male,Sudan,Laboratories and Medical Technology,Clear,366
2889,2021,Male,Egypt,Therapy and Rehabilitation,Clear,365
2890,2022,Female,Tunisia,Nursing and Midwifery,Clear,365
2893,2019,Male,Jordan,Medicine and Surgery,Clear,363
2894,2020,Male,Egypt,Laboratories and Medical Technology,Clear,362
2895,2016,Male,Jordan,Pharmacists and Pharmacy Technicians,Clear,362
2899,2019,Male,Philippines,Therapy and Rehabilitation,Clear,360
2905,2017,Male,Saudi Arabia,Dentistry and Related Specialties,Clear,359
2912,2016,Male,Jordan,Nursing and Midwifery,Clear,356
2917,2016,Female,Saudi Arabia,Dentistry and Related Specialties,Clear,351
2921,2020,Male,Jordan,Nursing and Midwifery,Clear,351
2923,2018,Male,Philippines,Therapy and Rehabilitation,Clear,350
2924,2021,Female,India,Laboratories and Medical Technology,Clear,349
2926,2017,Male,Egypt,Laboratories and Medical Technology,Clear,348
2927,2021,Female,Indonesia,Nursing and Midwifery,Clear,347
2930,2022,Male,Jordan,Therapy and Rehabilitation,Clear,344
2933,2020,Female,Egypt,Pharmacists and Pharmacy Technicians,Clear,343
2939,2020,Male,Sudan,Laboratories and Medical Technology,Clear,340
2943,2016,Male,Egypt,Laboratories and Medical Technology,Clear,338
3065,2017,Male,Philippines,Therapy and Rehabilitation,Clear,337
3227,2017,Male,Jordan,Pharmacists and Pharmacy Technicians,Clear,337
4953,2018,Male,Sudan,Laboratories and Medical Technology,Clear,336
4961,2017,Female,Syria,Dentistry and Related Specialties,Clear,333
4970,2022,Male,Philippines,Dentistry and Related Specialties,Clear,327
4971,2021,Male,Jordan,Pharmacists and Pharmacy Technicians,Clear,326
4979,2018,Male,Jordan,Nursing and Midwifery,Clear,323
4980,2022,Female,Jordan,Dentistry and Related Specialties,Clear,323
4989,2022,Male,Palestine,Pharmacists and Pharmacy Technicians,Clear,319
4992,2021,Male,Syria,Pharmacists and Pharmacy Technicians,Clear,317
