,Academic_Year,Current_Medical_Field_En,Age_Group_En,Number_of_Trainees
166,2017,Pharmacists and Pharmacy Technicians,From 20 to 29,15
168,2017,Dentistry and Related Specialties,From 20 to 29,15
169,2020,Nursing and Midwifery,From 40 to 49,14
170,2016,Pharmacists and Pharmacy Technicians,From 20 to 29,14
171,2021,Pharmacists and Pharmacy Technicians,Unknown,13
172,2016,Laboratories and Medical Technology,From 30 to 39,13
173,2021,Unknown,Unknown,13
174,2019,Nursing and Midwifery,From 40 to 49,12
175,2017,Laboratories and Medical Technology,From 30 to 39,12
177,2019,Dentistry and Related Specialties,From 40 to 49,11
178,2022,Pharmacists and Pharmacy Technicians,Unknown,11
179,2016,Medicine and Surgery,From 50 to 59,11
180,2016,Dentistry and Related Specialties,From 20 to 29,11
181,2020,Medicine and Surgery,From 50 to 59,10
182,2020,Laboratories and Medical Technology,Unknown,10
187,2022,Unknown,Unknown,9
190,2021,Dentistry and Related Specialties,From 40 to 49,9
191,2020,Dentistry and Related Specialties,From 40 to 49,9
193,2022,Pharmacists and Pharmacy Technicians,From 30 to 39,9
197,2021,Nursing and Midwifery,From 40 to 49,8
198,2016,Laboratories and Medical Technology,From 40 to 49,8
200,2017,Pharmacists and Pharmacy Technicians,From 40 to 49,7
201,2018,Nursing and Midwifery,From 40 to 49,7
203,2017,Laboratories and Medical Technology,From 40 to 49,6
204,2018,Medicine and Surgery,Less Than 20,6
205,2019,Nursing and Midwifery,Unknown,6
206,2019,Laboratories and Medical Technology,From 20 to 29,6
207,2016,Unknown,From 30 to 39,6
208,2019,Laboratories and Medical Technology,From 40 to 49,5
213,2019,Medicine and Surgery,Less Than 20,5
214,2020,Medicine and Surgery,Less Than 20,5
216,2021,Laboratories and Medical Technology,From 40 to 49,5
217,2017,Unknown,From 30 to 39,5
222,2017,Medicine and Surgery,Less Than 20,5
223,2016,Nursing and Midwifery,From 20 to 29,5
224,2016,Pharmacists and Pharmacy Technicians,From 40 to 49,5
226,2018,Unknown,From 30 to 39,4
229,2016,Medicine and Surgery,From 60 to 69,4
234,2021,Medicine and Surgery,Less Than 20,4
235,2018,Laboratories and Medical Technology,From 40 to 49,4
238,2017,Medicine and Surgery,From 60 to 69,3
239,2018,Unknown,From 40 to 49,3
240,2021,Pharmacists and Pharmacy Technicians,From 40 to 49,3
244,2022,Dentistry and Related Specialties,From 30 to 39,3
247,2017,Nursing and Midwifery,From 40 to 49,3
248,2019,Unknown,From 30 to 39,3
249,2019,Unknown,From 40 to 49,3
251,2020,Nursing and Midwifery,Unknown,3
252,2020,Laboratories and Medical Technology,From 40 to 49,3
253,2018,Pharmacists and Pharmacy Technicians,From 40 to 49,3
254,2017,Nursing and Midwifery,From 20 to 29,3
259,2018,Medicine and Surgery,From 60 to 69,2
263,2019,Unknown,From 20 to 29,2
267,2022,Medicine and Surgery,From 50 to 59,2
269,2018,Laboratories and Medical Technology,From 20 to 29,2
270,2022,Unknown,From 20 to 29,2
271,2021,Medicine and Surgery,From 50 to 59,2
272,2016,Nursing and Midwifery,Unknown,2
273,2016,Nursing and Midwifery,From 40 to 49,2
276,2020,Unknown,From 30 to 39,2
279,2018,Unknown,From 20 to 29,2
284,2017,Unknown,From 20 to 29,2
288,2020,Unknown,From 40 to 49,1
289,2021,Unknown,From 20 to 29,1
290,2020,Nursing and Midwifery,From 50 to 59,1
291,2021,Medicine and Surgery,From 60 to 69,1
292,2021,Unknown,From 40 to 49,1
293,2020,Unknown,From 20 to 29,1
294,2020,Medicine and Surgery,From 80 to 89,1
295,2020,Medicine and Surgery,From 70 to 79,1
296,2022,Unknown,From 30 to 39,1
297,2022,Unknown,From 40 to 49,1
298,2022,Dentistry and Related Specialties,From 40 to 49,1
299,2021,Medicine and Surgery,From 80 to 89,1
301,2019,Nursing and Midwifery,From 50 to 59,1
316,2019,Medicine and Surgery,From 80 to 89,1
333,2019,Medicine and Surgery,From 70 to 79,1
334,2018,Medicine and Surgery,From 80 to 89,1
335,2018,Medicine and Surgery,From 70 to 79,1
336,2018,Dentistry and Related Specialties,From 50 to 59,1
337,2017,Unknown,From 40 to 49,1
338,2017,Dentistry and Related Specialties,From 50 to 59,1
339,2016,Unknown,From 40 to 49,1
340,2016,Unknown,From 20 to 29,1
341,2016,Medicine and Surgery,Less Than 20,1
