,Academic_Year,Current_Medical_Field_En,Current_Speciality_Name_En,Number_of_Trainees
650,2017,Nursing and Midwifery,Cardiac Care Nursing,45
654,2021,Nursing and Midwifery,Midwifery Nursing,44
655,2016,Medicine and Surgery,Pediatric Nephrology,44
658,2017,Medicine and Surgery,Physical Medicine And Rehabilitation,44
663,2017,Nursing and Midwifery,Oncology Nursing,44
666,2022,Medicine and Surgery,Adult Rheumatology,43
667,2022,Medicine and Surgery,General Medical Oncology,43
669,2016,Dentistry and Related Specialties,Oral And Maxillofacial Surgery,43
670,2019,Medicine and Surgery,Body Imaging & Non-Vascular Intervention,43
674,2020,Medicine and Surgery,Saudi Postgraduate Diploma In Emergency Medicine,42
675,2021,Medicine and Surgery,Palliative Care Medicine,42
677,2017,Medicine and Surgery,Cornea/ External Disease,42
679,2017,Medicine and Surgery,Diagnostic Neuroradiology,42
683,2018,Medicine and Surgery,Pediatric Nephrology,41
687,2018,Medicine and Surgery,Cornea/ External Disease,41
688,2021,Medicine and Surgery,Pediatric Cardiology,41
690,2020,Medicine and Surgery,Pediatrics Infectious Diseases,40
693,2016,Dentistry and Related Specialties,Prosthodontics,40
694,2019,Laboratories and Medical Technology,Radiology Technology & Medical Imaging,40
695,2017,Laboratories and Medical Technology,Radiology Technology & Medical Imaging,40
697,2019,Medicine and Surgery,Community Medicine (Health Informatics),40
701,2021,Dentistry and Related Specialties,Advanced Education In General Dentistry,40
704,2020,Medicine and Surgery,General Medical Oncology,40
705,2022,Medicine and Surgery,Pediatric Endocrinology And Metabolism,40
710,2017,Medicine and Surgery,Cardiac Surgery,39
711,2017,Medicine and Surgery,Infection Control,39
714,2019,Medicine and Surgery,Interventional Neuro-Radiology,39
717,2017,Medicine and Surgery,Clinical Genetics & Metabolic Disorders,38
718,2017,Medicine and Surgery,Epilepsy & Electroencephalography,38
720,2016,Medicine and Surgery,Diagnostic Neuroradiology,38
724,2020,Laboratories and Medical Technology,Radiology Technology & Medical Imaging,38
727,2020,Dentistry and Related Specialties,Family Dentistry,38
728,2021,Medicine and Surgery,Adult Rheumatology,38
730,2018,Nursing and Midwifery,Oncology Nursing,38
732,2021,Medicine and Surgery,Pediatric Endocrinology And Metabolism,38
733,2022,Medicine and Surgery,Body Imaging & Non-Vascular Intervention,38
735,2016,Dentistry and Related Specialties,Periodontics,37
736,2020,Medicine and Surgery,Body Imaging & Non-Vascular Intervention,37
739,2019,Medicine and Surgery,Pediatric Nephrology,37
742,2020,Medicine and Surgery,Palliative Care Medicine,37
745,2020,Medicine and Surgery,Interventional Neuro-Radiology,36
748,2016,Medicine and Surgery,Adult Echocardiography,36
756,2019,Dentistry and Related Specialties,Advanced Education In General Dentistry,36
766,2016,Medicine and Surgery,Clinical Genetics & Metabolic Disorders,35
767,2016,Medicine and Surgery,Pain Medicine,35
768,2022,Medicine and Surgery,Pediatrics Infectious Diseases,35
771,2017,Nursing and Midwifery,Emergency Nursing,34
773,2016,Medicine and Surgery,Physical Medicine And Rehabilitation,34
774,2020,Medicine and Surgery,Saudi Postgraduate Diploma In Paediatrics,34
779,2016,Medicine and Surgery,Epilepsy & Electroencephalography,34
780,2018,Laboratories and Medical Technology,Radiology Technology & Medical Imaging,34
781,2019,Medicine and Surgery,Palliative Care Medicine,34
785,2021,Medicine and Surgery,Pediatrics Infectious Diseases,33
786,2016,Medicine and Surgery,Cornea/ External Disease,33
787,2017,Medicine and Surgery,Adult Echocardiography,33
792,2017,Medicine and Surgery,Pediatrics Respiratory Medicine,32
793,2016,Medicine and Surgery,Ophthalmology,32
794,2016,Medicine and Surgery,Pediatric Anesthesia,32
798,2019,Medicine and Surgery,Cornea/ External Disease,31
800,2016,Medicine and Surgery,Pediatrics Respiratory Medicine,31
802,2018,Medicine and Surgery,Diagnostic Neuroradiology,31
803,2018,Medicine and Surgery,Retina Surgery,31
806,2019,Medicine and Surgery,Maternal-Fetal Medicine,30
808,2020,Nursing and Midwifery,Midwifery Nursing,30
809,2020,Nursing and Midwifery,Neonatal Intensive Care Nursing,30
810,2016,Medicine and Surgery,Cardiac Surgery,30
811,2017,Medicine and Surgery,Retina Surgery,30
816,2016,Medicine and Surgery,Pediatric Allergy And Immunology,30
817,2018,Medicine and Surgery,Adult Echocardiography,30
818,2018,Medicine and Surgery,Pediatrics Respiratory Medicine,30
820,2017,Medicine and Surgery,Pain Medicine,30
821,2017,Medicine and Surgery,Pediatric Allergy And Immunology,30
822,2017,Medicine and Surgery,Pediatric Anesthesia,30
823,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,30
827,2019,Medicine and Surgery,Diagnostic Neuroradiology,29
830,2016,Laboratories and Medical Technology,Radiology Technology & Medical Imaging,29
832,2017,Medicine and Surgery,Cardiac Anesthesia,29
834,2016,Medicine and Surgery,Diploma Family Medicine,29
840,2018,Medicine and Surgery,Clinical Genetics & Metabolic Disorders,28
842,2021,Medicine and Surgery,Oral Medicine & Pathology,28
843,2017,Medicine and Surgery,Maternal-Fetal Medicine,28
845,2020,Medicine and Surgery,Oral Medicine & Pathology,28
846,2019,Medicine and Surgery,Clinical Genetics & Metabolic Disorders,28
847,2020,Medicine and Surgery,Pediatric Nephrology,28
852,2018,Medicine and Surgery,Adult Interventional Cardiology,27
859,2022,Medicine and Surgery,Pediatric Nephrology,27
864,2018,Medicine and Surgery,Maternal-Fetal Medicine,27
865,2021,Nursing and Midwifery,Neonatal Intensive Care Nursing,27
868,2019,Medicine and Surgery,Adult Interventional Cardiology,27
870,2016,Medicine and Surgery,Preventive Medicine,26
872,2018,Medicine and Surgery,Pediatric Allergy And Immunology,26
873,2018,Medicine and Surgery,Pain Medicine,26
874,2022,Medicine and Surgery,Interventional Neuro-Radiology,26
875,2020,Medicine and Surgery,Diagnostic Neuroradiology,26
881,2020,Medicine and Surgery,Maternal-Fetal Medicine,25
883,2018,Medicine and Surgery,Pediatric Anesthesia,25
885,2018,Dentistry and Related Specialties,Advanced Education In General Dentistry,25
886,2019,Medicine and Surgery,Pediatrics Respiratory Medicine,25
887,2016,Medicine and Surgery,Retina Surgery,25
892,2016,Medicine and Surgery,Musculoskeletal Radiology,24
897,2016,Medicine and Surgery,Cardiac Anesthesia,24
899,2018,Medicine and Surgery,Cardiac Anesthesia,24
900,2021,Medicine and Surgery,Interventional Neuro-Radiology,24
912,2019,Medicine and Surgery,Retina Surgery,23
913,2016,Nursing and Midwifery,Oncology Nursing,23
914,2017,Medicine and Surgery,Pediatric Rheumatology,23
920,2022,Medicine and Surgery,Diagnostic Neuroradiology,23
922,2021,Medicine and Surgery,Clinical Genetics & Metabolic Disorders,23
926,2016,Medicine and Surgery,Maternal-Fetal Medicine,23
931,2016,Medicine and Surgery,Adult & Pediatric Orthopedic Spinal Surgery,23
937,2016,Medicine and Surgery,Reproductive Medicine & Surgery,22
942,2016,Medicine and Surgery,Pediatric Rheumatology,22
944,2022,Medicine and Surgery,Clinical Genetics & Metabolic Disorders,22
945,2016,Dentistry and Related Specialties,Implant Dentistry,22
949,2021,Medicine and Surgery,Body Imaging & Non-Vascular Intervention,22
950,2018,Medicine and Surgery,Epilepsy & Electroencephalography,22
951,2019,Medicine and Surgery,Pain Medicine,22
952,2020,Medicine and Surgery,Pain Medicine,22
953,2020,Medicine and Surgery,Cornea/ External Disease,22
954,2019,Medicine and Surgery,Adult Echocardiography,22
957,2016,Medicine and Surgery,Colorectal Surgery,22
959,2017,Medicine and Surgery,Musculoskeletal Radiology,22
960,2017,Medicine and Surgery,Glaucoma,22
962,2017,Medicine and Surgery,Adult & Pediatric Orthopedic Spinal Surgery,21
964,2019,Medicine and Surgery,Pediatric Allergy And Immunology,21
967,2020,Laboratories and Medical Technology,Blood Banking And Transfusion,21
968,2020,Medicine and Surgery,Clinical Genetics & Metabolic Disorders,21
973,2019,Medicine and Surgery,Epilepsy & Electroencephalography,21
974,2021,Medicine and Surgery,Maternal-Fetal Medicine,21
975,2016,Medicine and Surgery,Adult Interventional Cardiology,21
977,2017,Medicine and Surgery,Adult Interventional Cardiology,21
980,2016,Unknown,Nuclear Medicine,21
