,Academic_Year,Gender_En,Nationality_Name_En,Current_Medical_Field_En,Region_Name_En,Number_of_Trainees
105,2020,Female,Saudi Arabia,Dentistry and Related Specialties,Riyadh,249
109,2019,Male,Saudi Arabia,Dentistry and Related Specialties,Riyadh,234
110,2021,Female,Saudi Arabia,Medicine and Surgery,Asir,234
112,2018,Female,Saudi Arabia,Medicine and Surgery,Al Madinah,223
113,2017,Male,Saudi Arabia,Medicine and Surgery,Al Madinah,219
115,2020,Female,Saudi Arabia,Medicine and Surgery,Asir,205
117,2022,Male,Saudi Arabia,Medicine and Surgery,Makkah,200
118,2021,Male,Saudi Arabia,Medicine and Surgery,Al-Qassim,197
120,2018,Male,Saudi Arabia,Dentistry and Related Specialties,Riyadh,196
122,2019,Female,Saudi Arabia,Medicine and Surgery,Asir,192
124,2019,Female,Saudi Arabia,Dentistry and Related Specialties,Riyadh,191
126,2017,Male,Saudi Arabia,Dentistry and Related Specialties,Riyadh,181
130,2021,Male,Saudi Arabia,Medicine and Surgery,Tabuk,175
131,2016,Male,Saudi Arabia,Medicine and Surgery,Al Madinah,175
132,2021,Male,Saudi Arabia,Medicine and Surgery,Jizan,172
133,2017,Female,Saudi Arabia,Medicine and Surgery,Al Madinah,171
134,2020,Male,Saudi Arabia,Medicine and Surgery,Al-Qassim,169
135,2022,Female,Saudi Arabia,Medicine and Surgery,Makkah,169
137,2021,Female,Saudi Arabia,Dentistry and Related Specialties,Makkah,163
138,2018,Female,Saudi Arabia,Medicine and Surgery,Asir,163
140,2020,Male,Saudi Arabia,Medicine and Surgery,Jizan,157
142,2016,Male,Saudi Arabia,Dentistry and Related Specialties,Riyadh,153
143,2018,Female,Saudi Arabia,Dentistry and Related Specialties,Riyadh,148
146,2020,Male,Saudi Arabia,Medicine and Surgery,Tabuk,146
148,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,145
151,2016,Female,Saudi Arabia,Medicine and Surgery,Al Madinah,143
152,2019,Male,Saudi Arabia,Medicine and Surgery,Al-Qassim,142
154,2017,Female,Saudi Arabia,Medicine and Surgery,Asir,141
157,2017,Female,Saudi Arabia,Dentistry and Related Specialties,Riyadh,136
158,2021,Female,Saudi Arabia,Nursing and Midwifery,Riyadh,135
163,2021,Female,Saudi Arabia,Medicine and Surgery,Jizan,131
165,2019,Male,Saudi Arabia,Medicine and Surgery,Jizan,130
168,2018,Male,Saudi Arabia,Medicine and Surgery,Al-Qassim,125
169,2020,Female,Saudi Arabia,Medicine and Surgery,Jizan,124
171,2020,Female,Saudi Arabia,Dentistry and Related Specialties,Makkah,120
172,2020,Female,Saudi Arabia,Nursing and Midwifery,Riyadh,120
173,2021,Female,Saudi Arabia,Medicine and Surgery,Tabuk,119
175,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,117
179,2016,Female,Saudi Arabia,Medicine and Surgery,Asir,113
182,2019,Male,Saudi Arabia,Medicine and Surgery,Tabuk,111
189,2021,Male,Saudi Arabia,Medicine and Surgery,Al Bahah,107
190,2019,Female,Saudi Arabia,Medicine and Surgery,Jizan,106
191,2018,Male,Saudi Arabia,Medicine and Surgery,Jizan,106
194,2021,Female,Saudi Arabia,Medicine and Surgery,Al-Qassim,103
195,2020,Female,Saudi Arabia,Medicine and Surgery,Tabuk,101
198,2021,Female,Saudi Arabia,Nursing and Midwifery,Makkah,99
200,2019,Female,Saudi Arabia,Dentistry and Related Specialties,Makkah,98
201,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Makkah,97
203,2016,Female,Saudi Arabia,Dentistry and Related Specialties,Riyadh,96
204,2021,Male,Saudi Arabia,Medicine and Surgery,Najran,96
208,2019,Female,Saudi Arabia,Medicine and Surgery,Unknown,94
209,2018,Female,Saudi Arabia,Medicine and Surgery,Unknown,94
210,2020,Male,Saudi Arabia,Medicine and Surgery,Al Bahah,93
211,2018,Female,Saudi Arabia,Medicine and Surgery,Jizan,91
215,2021,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,89
219,2019,Female,Saudi Arabia,Nursing and Midwifery,Riyadh,86
220,2020,Female,Saudi Arabia,Medicine and Surgery,Al-Qassim,84
221,2017,Female,Saudi Arabia,Dentistry and Related Specialties,Makkah,82
224,2020,Male,Saudi Arabia,Dentistry and Related Specialties,Makkah,81
226,2016,Male,Saudi Arabia,Dentistry and Related Specialties,Makkah,80
227,2019,Female,Saudi Arabia,Medicine and Surgery,Tabuk,80
228,2019,Male,Saudi Arabia,Medicine and Surgery,Al Bahah,80
229,2017,Male,Saudi Arabia,Medicine and Surgery,Al-Qassim,80
230,2017,Female,Saudi Arabia,Medicine and Surgery,Unknown,79
231,2016,Male,Yemen,Medicine and Surgery,Riyadh,79
232,2018,Male,Saudi Arabia,Medicine and Surgery,Tabuk,79
234,2016,Female,Saudi Arabia,Medicine and Surgery,Unknown,79
235,2021,Male,Saudi Arabia,Medicine and Surgery,Outside KSA,78
238,2020,Female,Saudi Arabia,Nursing and Midwifery,Makkah,77
240,2022,Female,Saudi Arabia,Medicine and Surgery,Eastern Province,77
242,2021,Female,Bahrain,Medicine and Surgery,Outside KSA,76
246,2017,Male,Saudi Arabia,Medicine and Surgery,Jizan,76
248,2020,Male,Saudi Arabia,Medicine and Surgery,Najran,75
252,2018,Female,Saudi Arabia,Dentistry and Related Specialties,Makkah,75
256,2016,Female,Sudan,Medicine and Surgery,Riyadh,72
260,2017,Male,Saudi Arabia,Dentistry and Related Specialties,Makkah,70
261,2018,Male,Saudi Arabia,Medicine and Surgery,Al Bahah,70
262,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,69
264,2019,Female,Saudi Arabia,Medicine and Surgery,Al-Qassim,69
265,2019,Male,Saudi Arabia,Dentistry and Related Specialties,Makkah,69
266,2017,Female,Sudan,Medicine and Surgery,Riyadh,69
270,2020,Female,Bahrain,Medicine and Surgery,Outside KSA,68
271,2017,Male,Yemen,Medicine and Surgery,Riyadh,68
273,2019,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,67
275,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,67
276,2016,Female,Saudi Arabia,Dentistry and Related Specialties,Makkah,66
278,2016,Male,Saudi Arabia,Medicine and Surgery,Al-Qassim,65
279,2020,Male,Saudi Arabia,Nursing and Midwifery,Riyadh,65
281,2019,Male,Saudi Arabia,Nursing and Midwifery,Riyadh,64
282,2018,Female,Saudi Arabia,Nursing and Midwifery,Riyadh,64
288,2017,Female,Saudi Arabia,Medicine and Surgery,Jizan,63
289,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,62
297,2018,Male,Saudi Arabia,Medicine and Surgery,Unknown,60
300,2020,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,59
303,2017,Male,Saudi Arabia,Medicine and Surgery,Tabuk,58
304,2018,Male,Saudi Arabia,Dentistry and Related Specialties,Makkah,58
305,2018,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,57
311,2022,Male,Saudi Arabia,Medicine and Surgery,Eastern Province,56
312,2018,Female,Saudi Arabia,Medicine and Surgery,Tabuk,56
318,2018,Female,Sudan,Medicine and Surgery,Riyadh,54
320,2019,Male,Saudi Arabia,Medicine and Surgery,Najran,53
321,2018,Female,Saudi Arabia,Medicine and Surgery,Al-Qassim,53
325,2020,Male,Saudi Arabia,Nursing and Midwifery,Makkah,52
326,2020,Male,Saudi Arabia,Medicine and Surgery,Outside KSA,52
327,2016,Male,Sudan,Medicine and Surgery,Riyadh,51
328,2016,Male,Saudi Arabia,Medicine and Surgery,Jizan,51
329,2016,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,50
330,2017,Male,Sudan,Medicine and Surgery,Riyadh,50
332,2018,Male,Yemen,Medicine and Surgery,Riyadh,50
337,2019,Female,Saudi Arabia,Nursing and Midwifery,Makkah,49
338,2017,Male,Saudi Arabia,Medicine and Surgery,Al Bahah,49
340,2019,Female,Bahrain,Medicine and Surgery,Outside KSA,48
341,2018,Male,Saudi Arabia,Nursing and Midwifery,Riyadh,48
342,2021,Male,Saudi Arabia,Nursing and Midwifery,Riyadh,48
343,2017,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,48
346,2019,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,47
347,2021,Male,Saudi Arabia,Medicine and Surgery,Hail,46
348,2019,Male,Yemen,Medicine and Surgery,Riyadh,46
354,2019,Male,Saudi Arabia,Medicine and Surgery,Outside KSA,45
356,2018,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,44
361,2020,Male,Saudi Arabia,Medicine and Surgery,Hail,44
364,2017,Female,Saudi Arabia,Medicine and Surgery,Tabuk,43
365,2018,Male,Sudan,Medicine and Surgery,Riyadh,43
370,2021,Male,Saudi Arabia,Nursing and Midwifery,Makkah,41
371,2019,Female,Sudan,Medicine and Surgery,Riyadh,41
373,2018,Female,Saudi Arabia,Nursing and Midwifery,Makkah,41
376,2017,Male,Saudi Arabia,Medicine and Surgery,Unknown,39
381,2016,Male,Yemen,Medicine and Surgery,Makkah,38
383,2016,Female,Saudi Arabia,Medicine and Surgery,Jizan,38
384,2017,Female,Saudi Arabia,Medicine and Surgery,Al-Qassim,38
385,2018,Female,Yemen,Medicine and Surgery,Makkah,37
388,2020,Female,Yemen,Medicine and Surgery,Makkah,37
389,2017,Female,Saudi Arabia,Nursing and Midwifery,Riyadh,37
390,2018,Male,Saudi Arabia,Medicine and Surgery,Najran,37
391,2016,Female,Yemen,Medicine and Surgery,Makkah,37
392,2017,Female,Saudi Arabia,Nursing and Midwifery,Makkah,37
399,2021,Female,Saudi Arabia,Medicine and Surgery,Hail,36
400,2016,Male,Saudi Arabia,Medicine and Surgery,Tabuk,36
402,2019,Female,Yemen,Medicine and Surgery,Makkah,35
403,2017,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,35
404,2021,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,35
408,2016,Female,Saudi Arabia,Medicine and Surgery,Al-Qassim,35
409,2019,Male,Saudi Arabia,Medicine and Surgery,Hail,35
412,2017,Female,Yemen,Medicine and Surgery,Makkah,35
415,2016,Male,Saudi Arabia,Medicine and Surgery,Unknown,34
416,2021,Female,Saudi Arabia,Medicine and Surgery,Outside KSA,34
417,2016,Male,Saudi Arabia,Medicine and Surgery,Al Bahah,34
419,2020,Male,Saudi Arabia,Laboratories and Medical Technology,Riyadh,34
420,2021,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Makkah,34
423,2017,Male,Yemen,Medicine and Surgery,Makkah,34
425,2018,Female,Saudi Arabia,Medicine and Surgery,Northern Borders,33
427,2021,Male,Saudi Arabia,Laboratories and Medical Technology,Riyadh,33
430,2018,Male,Saudi Arabia,Nursing and Midwifery,Makkah,32
432,2020,Female,Saudi Arabia,Medicine and Surgery,Hail,32
433,2019,Female,Saudi Arabia,Medicine and Surgery,Northern Borders,32
435,2021,Female,Saudi Arabia,Nursing and Midwifery,Eastern Province,32
436,2020,Male,Yemen,Medicine and Surgery,Riyadh,32
437,2018,Female,Bahrain,Medicine and Surgery,Outside KSA,31
438,2018,Male,Saudi Arabia,Medicine and Surgery,Outside KSA,31
439,2021,Male,Bahrain,Medicine and Surgery,Outside KSA,31
441,2019,Male,Saudi Arabia,Nursing and Midwifery,Makkah,31
442,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Eastern Province,31
443,2018,Male,Yemen,Medicine and Surgery,Makkah,30
444,2022,Male,Saudi Arabia,Medicine and Surgery,Asir,30
447,2018,Male,Saudi Arabia,Medicine and Surgery,Hail,30
448,2020,Male,Saudi Arabia,Dentistry and Related Specialties,Eastern Province,30
449,2020,Female,Saudi Arabia,Medicine and Surgery,Northern Borders,30
452,2022,Male,Saudi Arabia,Medicine and Surgery,Al-Qassim,30
453,2017,Male,Saudi Arabia,Nursing and Midwifery,Riyadh,29
458,2021,Female,Yemen,Medicine and Surgery,Makkah,29
460,2019,Male,Yemen,Medicine and Surgery,Makkah,28
462,2021,Male,Saudi Arabia,Medicine and Surgery,Al Jawf,28
463,2019,Female,Saudi Arabia,Nursing and Midwifery,Eastern Province,28
464,2022,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,28
465,2017,Male,Egypt,Medicine and Surgery,Makkah,28
467,2016,Female,Yemen,Medicine and Surgery,Riyadh,28
469,2020,Female,Saudi Arabia,Nursing and Midwifery,Eastern Province,27
471,2020,Male,Yemen,Medicine and Surgery,Makkah,27
475,2016,Male,Egypt,Medicine and Surgery,Makkah,27
477,2019,Male,Saudi Arabia,Dentistry and Related Specialties,Eastern Province,27
478,2016,Male,Syria,Medicine and Surgery,Riyadh,27
479,2017,Male,Saudi Arabia,Nursing and Midwifery,Makkah,27
480,2020,Female,Saudi Arabia,Medicine and Surgery,Outside KSA,27
482,2016,Female,Saudi Arabia,Medicine and Surgery,Tabuk,26
483,2019,Male,Saudi Arabia,Laboratories and Medical Technology,Riyadh,26
484,2019,Male,Sudan,Medicine and Surgery,Riyadh,26
487,2018,Male,Saudi Arabia,Dentistry and Related Specialties,Eastern Province,26
488,2019,Female,Saudi Arabia,Medicine and Surgery,Hail,26
492,2020,Female,Sudan,Medicine and Surgery,Riyadh,26
494,2018,Female,Saudi Arabia,Nursing and Midwifery,Eastern Province,26
495,2020,Male,Saudi Arabia,Medicine and Surgery,Al Jawf,26
497,2016,Male,Syria,Medicine and Surgery,Makkah,26
498,2020,Male,Bahrain,Medicine and Surgery,Outside KSA,26
500,2018,Male,Egypt,Medicine and Surgery,Makkah,25
502,2021,Female,Saudi Arabia,Nursing and Midwifery,Al-Qassim,25
507,2018,Female,Saudi Arabia,Medicine and Surgery,Hail,25
511,2017,Male,Egypt,Medicine and Surgery,Riyadh,24
512,2019,Male,Bahrain,Medicine and Surgery,Outside KSA,24
513,2020,Male,Saudi Arabia,Nursing and Midwifery,Eastern Province,24
515,2017,Female,Yemen,Medicine and Surgery,Riyadh,24
522,2016,Female,Sudan,Medicine and Surgery,Makkah,24
526,2016,Male,Palestine,Medicine and Surgery,Riyadh,24
528,2017,Male,Syria,Medicine and Surgery,Riyadh,23
532,2021,Female,Saudi Arabia,Dentistry and Related Specialties,Eastern Province,23
533,2018,Male,Saudi Arabia,Dentistry and Related Specialties,Asir,23
534,2021,Female,Saudi Arabia,Nursing and Midwifery,Al Madinah,23
536,2021,Male,Yemen,Medicine and Surgery,Riyadh,23
537,2021,Female,Saudi Arabia,Medicine and Surgery,Northern Borders,23
538,2018,Male,Syria,Medicine and Surgery,Riyadh,23
540,2021,Male,Yemen,Medicine and Surgery,Makkah,23
541,2021,Female,Saudi Arabia,Dentistry and Related Specialties,Asir,23
543,2019,Male,Egypt,Medicine and Surgery,Makkah,23
546,2016,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,22
547,2019,Male,Saudi Arabia,Dentistry and Related Specialties,Asir,22
554,2019,Male,Saudi Arabia,Laboratories and Medical Technology,Makkah,22
555,2017,Male,Saudi Arabia,Dentistry and Related Specialties,Eastern Province,22
557,2021,Female,Saudi Arabia,Laboratories and Medical Technology,Riyadh,22
561,2018,Male,Egypt,Medicine and Surgery,Riyadh,22
566,2018,Female,Yemen,Medicine and Surgery,Riyadh,22
569,2017,Male,Syria,Medicine and Surgery,Makkah,22
570,2017,Female,Saudi Arabia,Medicine and Surgery,Northern Borders,21
571,2018,Male,Syria,Medicine and Surgery,Makkah,21
572,2020,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Makkah,21
573,2020,Male,Sudan,Medicine and Surgery,Riyadh,21
575,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Al Madinah,21
580,2020,Male,Saudi Arabia,Nursing and Midwifery,Al Madinah,21
582,2021,Male,Saudi Arabia,Nursing and Midwifery,Eastern Province,21
583,2019,Male,Saudi Arabia,Nursing and Midwifery,Eastern Province,21
586,2021,Female,Saudi Arabia,Medicine and Surgery,Najran,21
587,2020,Female,Saudi Arabia,Dentistry and Related Specialties,Asir,20
590,2017,Female,Sudan,Medicine and Surgery,Makkah,20
591,2016,Male,Jordan,Medicine and Surgery,Riyadh,20
592,2017,Male,Saudi Arabia,Medicine and Surgery,Hail,20
594,2020,Male,Egypt,Medicine and Surgery,Makkah,20
596,2019,Female,Yemen,Medicine and Surgery,Riyadh,20
598,2020,Male,Saudi Arabia,Laboratories and Medical Technology,Makkah,20
601,2017,Male,Saudi Arabia,Dentistry and Related Specialties,Asir,20
603,2019,Male,Saudi Arabia,Medicine and Surgery,Al Jawf,20
605,2020,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,20
610,2020,Female,United Arab Emirates,Medicine and Surgery,Outside KSA,19
611,2020,Female,Saudi Arabia,Nursing and Midwifery,Al Madinah,19
612,2016,Male,Saudi Arabia,Dentistry and Related Specialties,Eastern Province,19
614,2019,Male,Saudi Arabia,Nursing and Midwifery,Al Madinah,19
616,2019,Male,Saudi Arabia,Medicine and Surgery,Northern Borders,19
618,2021,Female,Saudi Arabia,Laboratories and Medical Technology,Makkah,19
620,2020,Female,Saudi Arabia,Dentistry and Related Specialties,Eastern Province,19
623,2019,Male,Syria,Medicine and Surgery,Riyadh,19
624,2021,Male,Saudi Arabia,Laboratories and Medical Technology,Makkah,19
628,2018,Male,Saudi Arabia,Medicine and Surgery,Northern Borders,19
629,2017,Male,Palestine,Medicine and Surgery,Riyadh,18
630,2020,Male,Saudi Arabia,Medicine and Surgery,Northern Borders,18
631,2020,Female,Saudi Arabia,Nursing and Midwifery,Al-Qassim,18
637,2018,Male,Saudi Arabia,Nursing and Midwifery,Al Madinah,18
639,2021,Female,United Arab Emirates,Medicine and Surgery,Outside KSA,18
641,2019,Female,Saudi Arabia,Medicine and Surgery,Outside KSA,18
646,2017,Male,Saudi Arabia,Medicine and Surgery,Najran,18
647,2017,Female,Egypt,Medicine and Surgery,Makkah,17
650,2017,Male,Palestine,Medicine and Surgery,Makkah,17
651,2019,Female,Saudi Arabia,Dentistry and Related Specialties,Eastern Province,17
655,2016,Female,Palestine,Medicine and Surgery,Makkah,17
659,2018,Female,Egypt,Medicine and Surgery,Riyadh,17
661,2021,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Eastern Province,17
662,2018,Male,Palestine,Medicine and Surgery,Riyadh,17
665,2018,Male,Bahrain,Medicine and Surgery,Outside KSA,17
668,2017,Female,Egypt,Medicine and Surgery,Riyadh,16
669,2017,Female,Saudi Arabia,Nursing and Midwifery,Eastern Province,16
670,2016,Male,Pakistan,Medicine and Surgery,Riyadh,16
671,2017,Female,Bahrain,Medicine and Surgery,Outside KSA,16
672,2020,Male,Palestine,Medicine and Surgery,Riyadh,16
673,2022,Male,Saudi Arabia,Medicine and Surgery,Al Madinah,16
674,2019,Female,United Arab Emirates,Medicine and Surgery,Outside KSA,16
675,2017,Male,Jordan,Medicine and Surgery,Riyadh,16
678,2021,Male,Egypt,Medicine and Surgery,Makkah,16
679,2018,Female,Egypt,Medicine and Surgery,Makkah,16
680,2016,Male,Palestine,Medicine and Surgery,Makkah,16
681,2022,Male,Saudi Arabia,Dentistry and Related Specialties,Riyadh,16
684,2020,Female,Saudi Arabia,Medicine and Surgery,Najran,16
690,2018,Male,Saudi Arabia,Laboratories and Medical Technology,Makkah,16
691,2021,Female,Saudi Arabia,Medicine and Surgery,Al Jawf,16
694,2019,Male,Syria,Medicine and Surgery,Makkah,16
695,2021,Female,Sudan,Medicine and Surgery,Riyadh,16
696,2019,Female,Egypt,Medicine and Surgery,Makkah,16
700,2021,Male,Saudi Arabia,Nursing and Midwifery,Al Madinah,16
702,2016,Female,Egypt,Medicine and Surgery,Riyadh,16
706,2017,Male,Saudi Arabia,Laboratories and Medical Technology,Riyadh,15
712,2016,Male,Kuwait,Medicine and Surgery,Riyadh,15
715,2019,Male,Palestine,Medicine and Surgery,Riyadh,15
716,2016,Male,Egypt,Medicine and Surgery,Riyadh,15
717,2017,Male,Pakistan,Medicine and Surgery,Riyadh,15
722,2018,Female,Palestine,Medicine and Surgery,Makkah,14
723,2017,Male,Saudi Arabia,Medicine and Surgery,Outside KSA,14
725,2017,Female,Palestine,Medicine and Surgery,Makkah,14
727,2019,Female,Egypt,Medicine and Surgery,Riyadh,14
730,2021,Male,Sudan,Medicine and Surgery,Riyadh,14
732,2019,Female,Saudi Arabia,Laboratories and Medical Technology,Makkah,14
735,2021,Male,Palestine,Medicine and Surgery,Riyadh,14
738,2019,Female,Palestine,Medicine and Surgery,Makkah,14
740,2016,Female,Egypt,Medicine and Surgery,Makkah,14
741,2016,Female,Saudi Arabia,Dentistry and Related Specialties,Eastern Province,14
744,2019,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Makkah,14
747,2017,Male,Saudi Arabia,Medicine and Surgery,Northern Borders,14
748,2021,Female,Saudi Arabia,Medicine and Surgery,Al Bahah,14
749,2020,Male,Saudi Arabia,Nursing and Midwifery,Al-Qassim,14
752,2018,Female,Saudi Arabia,Medicine and Surgery,Outside KSA,14
753,2019,Male,Egypt,Medicine and Surgery,Riyadh,14
757,2018,Male,Saudi Arabia,Nursing and Midwifery,Eastern Province,14
759,2017,Male,Kuwait,Medicine and Surgery,Riyadh,13
763,2020,Male,Syria,Medicine and Surgery,Riyadh,13
766,2019,Female,Saudi Arabia,Dentistry and Related Specialties,Asir,13
770,2018,Male,Palestine,Medicine and Surgery,Makkah,13
771,2020,Female,Saudi Arabia,Laboratories and Medical Technology,Riyadh,13
773,2017,Female,Saudi Arabia,Laboratories and Medical Technology,Makkah,13
774,2018,Male,Jordan,Medicine and Surgery,Riyadh,13
775,2021,Female,Saudi Arabia,Dentistry and Related Specialties,Al Madinah,13
777,2020,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Eastern Province,13
778,2018,Male,Saudi Arabia,Medicine and Surgery,Al Jawf,13
780,2018,Male,Saudi Arabia,Laboratories and Medical Technology,Riyadh,13
781,2019,Male,Kuwait,Medicine and Surgery,Riyadh,13
784,2020,Female,Egypt,Medicine and Surgery,Makkah,13
787,2017,Male,Saudi Arabia,Unknown,Riyadh,12
790,2017,Male,Saudi Arabia,Laboratories and Medical Technology,Makkah,12
793,2019,Female,Saudi Arabia,Medicine and Surgery,Najran,12
794,2018,Male,Saudi Arabia,Unknown,Riyadh,12
796,2020,Female,Egypt,Medicine and Surgery,Riyadh,12
797,2019,Female,Saudi Arabia,Medicine and Surgery,Al Jawf,12
799,2017,Female,Saudi Arabia,Medicine and Surgery,Hail,12
801,2020,Female,Saudi Arabia,Laboratories and Medical Technology,Makkah,12
803,2016,Male,Saudi Arabia,Unknown,Riyadh,12
804,2017,Female,Sudan,Medicine and Surgery,Al-Qassim,12
805,2016,Male,Saudi Arabia,Laboratories and Medical Technology,Makkah,12
806,2020,Male,Egypt,Medicine and Surgery,Riyadh,12
807,2020,Female,Yemen,Medicine and Surgery,Riyadh,12
812,2017,Male,Yemen,Medicine and Surgery,Eastern Province,12
813,2018,Female,Sudan,Medicine and Surgery,Makkah,12
814,2016,Female,Sudan,Medicine and Surgery,Al-Qassim,12
815,2016,Female,Saudi Arabia,Nursing and Midwifery,Makkah,12
818,2022,Male,Yemen,Medicine and Surgery,Riyadh,12
819,2022,Female,Saudi Arabia,Medicine and Surgery,Al Madinah,12
820,2022,Male,Sudan,Medicine and Surgery,Riyadh,12
821,2021,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Makkah,12
823,2016,Male,Sudan,Medicine and Surgery,Asir,11
824,2016,Male,Saudi Arabia,Laboratories and Medical Technology,Riyadh,11
825,2020,Female,Saudi Arabia,Dentistry and Related Specialties,Al Madinah,11
828,2020,Female,Saudi Arabia,Medicine and Surgery,Al Bahah,11
