,Academic_Year,Gender_En,Nationality_Name_En,Current_Medical_Field_En,University_Name,Current_Training_Center_Name_En,Number_of_Trainees,University_Longitude,University_Latitude,Training_Center_Longitude,Training_Center_Latitude
23,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City for National Guard in Jeddah,199,,,39.362754,21.4222327
24,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Saud Medical City in Riyadh,194,,,46.6375541,24.7414432
25,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,Medical City of King Saud University in Riyadh,188,,,46.6375541,24.7414432
26,2019,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City for National Guard in Riyadh,185,,,46.6375541,24.7414432
27,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Saud Medical City in Riyadh,184,,,46.6375541,24.7414432
28,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,Medical City of King Saud University in Riyadh,184,,,46.6375541,24.7414432
29,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahad Medical City in Riyadh,183,,,46.6375541,24.7414432
30,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Faisal Specialist Hospital and Research Center in Riyadh,183,,,46.6375541,24.7414432
31,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz University Hospital in Jeddah,179,,,39.362754,21.4222327
32,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Aseer Region,178,,,42.5238139,18.2024106
33,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Faisal Specialist Hospital and Research Center in Riyadh,175,,,46.6375541,24.7414432
34,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Saud Medical City in Riyadh,173,,,46.6375541,24.7414432
35,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,Prince Sultan Military Medical City in Riyadh,163,,,46.6375541,24.7414432
36,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Jazan Region,163,,,42.5471234,16.978015
37,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz University Hospital in Jeddah,162,,,39.362754,21.4222327
38,2018,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City for National Guard in Riyadh,162,,,46.6375541,24.7414432
39,2018,Male,Saudi Arabia,Medicine and Surgery,Unknown,Prince Sultan Military Medical City in Riyadh,156,,,46.6375541,24.7414432
40,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City for National Guard in Jeddah,152,,,39.362754,21.4222327
41,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City for National Guard in Jeddah,149,,,39.362754,21.4222327
42,2018,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Faisal Specialist Hospital and Research Center in Riyadh,148,,,46.6375541,24.7414432
43,2017,Male,Saudi Arabia,Medicine and Surgery,King Khalid University,General Directorate of Health Affairs in Aseer Region,145,46.6218429,24.7131974,42.5238139,18.2024106
44,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,Security Forces Hospital in Riyadh,145,,,46.6375541,24.7414432
45,2017,Female,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdulaziz University Hospital in Jeddah,143,39.2391473,21.4932675,39.362754,21.4222327
46,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Aseer Region,140,,,42.5238139,18.2024106
47,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd University Hospital in Khobar,137,,,50.1506389,26.2846113
48,2019,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Faisal Specialist Hospital and Research Center in Riyadh,137,,,46.6375541,24.7414432
49,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd Hospital of the Armed Forces in the south,135,,,42.5238139,18.2024106
50,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd University Hospital in Khobar,134,,,50.1506389,26.2846113
51,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd Hospital of Armed Forces in Jeddah,133,,,39.362754,21.4222327
52,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,Medical City of King Saud University in Riyadh,131,,,46.6375541,24.7414432
53,2016,Female,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdulaziz University Hospital in Jeddah,130,39.2391473,21.4932675,39.362754,21.4222327
54,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz University Hospital in Jeddah,129,,,39.362754,21.4222327
55,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,Family Medicine Academy in the First Health Cluster,129,,,46.6375541,24.7414432
56,2018,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Saud Medical City in Riyadh,128,,,46.6375541,24.7414432
57,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz University Hospital in Jeddah,124,,,39.362754,21.4222327
58,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Jazan Region,124,,,42.5471234,16.978015
59,2018,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Fahad Medical City in Riyadh,123,,,46.6375541,24.7414432
60,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Aseer Region,123,,,42.5238139,18.2024106
61,2018,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahad Medical City in Riyadh,123,,,46.6375541,24.7414432
62,2016,Male,Saudi Arabia,Medicine and Surgery,King Saud University,King Khalid University Hospital in Riyadh,122,46.6236596,24.7252026,46.6375541,24.7414432
63,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,Security Forces Hospital in Riyadh,121,,,46.6375541,24.7414432
64,2017,Male,Saudi Arabia,Medicine and Surgery,King Saud University,King Faisal Specialist Hospital and Research Center in Riyadh,121,46.6236596,24.7252026,46.6375541,24.7414432
65,2018,Female,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdulaziz University Hospital in Jeddah,120,39.2391473,21.4932675,39.362754,21.4222327
66,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd Hospital of Armed Forces in Jeddah,120,,,39.362754,21.4222327
67,2016,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Faisal Specialist Hospital and Research Center in Riyadh,120,,,46.6375541,24.7414432
68,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Faisal Specialist Hospital and Research Center in Jeddah,119,,,39.362754,21.4222327
69,2018,Male,Saudi Arabia,Medicine and Surgery,King Khalid University,General Directorate of Health Affairs in Aseer Region,119,46.6218429,24.7131974,42.5238139,18.2024106
70,2019,Female,Saudi Arabia,Medicine and Surgery,Unknown,Medical City of King Saud University in Riyadh,118,,,46.6375541,24.7414432
71,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Jazan Region,117,,,42.5471234,16.978015
72,2017,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Faisal Specialist Hospital and Research Center in Riyadh,116,,,46.6375541,24.7414432
73,2017,Male,Saudi Arabia,Medicine and Surgery,King Saud University,Prince Sultan Military Medical City in Riyadh,116,46.6236596,24.7252026,46.6375541,24.7414432
74,2016,Male,Saudi Arabia,Medicine and Surgery,King Saud University,King Abdulaziz Medical City for National Guard in Riyadh,115,46.6236596,24.7252026,46.6375541,24.7414432
75,2016,Male,Saudi Arabia,Medicine and Surgery,King Khalid University,General Directorate of Health Affairs in Aseer Region,115,46.6218429,24.7131974,42.5238139,18.2024106
76,2017,Male,Saudi Arabia,Medicine and Surgery,King Saud University,King Abdulaziz Medical City for National Guard in Riyadh,114,46.6236596,24.7252026,46.6375541,24.7414432
77,2016,Male,Saudi Arabia,Medicine and Surgery,King Saud University,Prince Sultan Military Medical City in Riyadh,114,46.6236596,24.7252026,46.6375541,24.7414432
78,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd University Hospital in Khobar,112,,,50.1506389,26.2846113
79,2019,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Saud Medical City in Riyadh,111,,,46.6375541,24.7414432
80,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd General Hospital in Jeddah,110,,,39.362754,21.4222327
81,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,Security Forces Hospital in Riyadh,108,,,46.6375541,24.7414432
82,2019,Female,Saudi Arabia,Medicine and Surgery,Unknown,Prince Sultan Military Medical City in Riyadh,108,,,46.6375541,24.7414432
83,2018,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City for National Guard in Riyadh,108,,,46.6375541,24.7414432
84,2017,Male,Saudi Arabia,Medicine and Surgery,King Saud Bin Abdulaziz University For Health Scinces,King Abdulaziz Medical City for National Guard in Riyadh,107,46.852742,24.754344,46.6375541,24.7414432
85,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd Hospital of the Armed Forces in the south,107,,,42.5238139,18.2024106
86,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Salman Hospital for North West Armed Forces in Tabuk,107,,,36.5957527,28.3494438
87,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd University Hospital in Khobar,107,,,50.1506389,26.2846113
88,2017,Male,Saudi Arabia,Medicine and Surgery,King Saud University,King Khalid University Hospital in Riyadh,106,46.6236596,24.7252026,46.6375541,24.7414432
89,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City for National Guard in Jeddah,104,,,39.362754,21.4222327
90,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Faisal Specialist Hospital and Research Center in Jeddah,104,,,39.362754,21.4222327
91,2019,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City for National Guard in Jeddah,103,,,39.362754,21.4222327
92,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd Hospital of Armed Forces in Jeddah,102,,,39.362754,21.4222327
93,2016,Male,Saudi Arabia,Medicine and Surgery,King Saud University,King Faisal Specialist Hospital and Research Center in Riyadh,101,46.6236596,24.7252026,46.6375541,24.7414432
94,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,The program of the Ministry of Health in Jeddah,101,,,39.362754,21.4222327
95,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Aseer Region,99,,,42.5238139,18.2024106
96,2018,Male,Saudi Arabia,Medicine and Surgery,King Saud Bin Abdulaziz University For Health Scinces,King Abdulaziz Medical City for National Guard in Riyadh,99,46.852742,24.754344,46.6375541,24.7414432
97,2016,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City for National Guard in Riyadh,99,,,46.6375541,24.7414432
98,2017,Female,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdulaziz Medical City for National Guard in Jeddah,98,39.2391473,21.4932675,39.362754,21.4222327
99,2019,Female,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdulaziz University Hospital in Jeddah,97,39.2391473,21.4932675,39.362754,21.4222327
100,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,Family Medicine Academy in the First Health Cluster,97,,,46.6375541,24.7414432
101,2018,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Faisal Specialist Hospital and Research Center in Riyadh,96,,,46.6375541,24.7414432
102,2018,Male,Saudi Arabia,Medicine and Surgery,King Saud University,King Faisal Specialist Hospital and Research Center in Riyadh,95,46.6236596,24.7252026,46.6375541,24.7414432
103,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,Security Forces Hospital in Riyadh,95,,,46.6375541,24.7414432
104,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd Hospital of Armed Forces in Jeddah,95,,,39.362754,21.4222327
105,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,The program of the Ministry of Health in Jeddah,95,,,39.362754,21.4222327
106,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,Armed Forces Hospital in Al-Hada in Taif,94,,,40.412451,21.2401719
107,2019,Male,Saudi Arabia,Medicine and Surgery,King Khalid University,General Directorate of Health Affairs in Aseer Region,93,46.6218429,24.7131974,42.5238139,18.2024106
108,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Al-Baha Region,92,,,41.5057266,20.0583716
109,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,Prince Mohammed bin Abdulaziz Hospital in Riyadh,92,,,46.6375541,24.7414432
110,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Jazan Region,92,,,42.5471234,16.978015
111,2016,Male,Saudi Arabia,Medicine and Surgery,King Saud University,King Fahad Medical City in Riyadh,91,46.6236596,24.7252026,46.6375541,24.7414432
112,2018,Male,Saudi Arabia,Medicine and Surgery,King Saud University,King Abdulaziz Medical City for National Guard in Riyadh,90,46.6236596,24.7252026,46.6375541,24.7414432
113,2017,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City for National Guard in Riyadh,90,,,46.6375541,24.7414432
114,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Najran Region,89,,,44.2337583,17.545267
115,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd University Hospital in Khobar,89,,,50.1506389,26.2846113
116,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd Military Medical Complex in Dhahran,89,,,50.1506389,26.2846113
117,2016,Female,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdulaziz Medical City for National Guard in Jeddah,88,39.2391473,21.4932675,39.362754,21.4222327
118,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Jazan Region,87,,,42.5471234,16.978015
119,2017,Male,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdulaziz University Hospital in Jeddah,87,39.2391473,21.4932675,39.362754,21.4222327
120,2019,Male,Saudi Arabia,Medicine and Surgery,King Saud Bin Abdulaziz University For Health Scinces,King Abdulaziz Medical City for National Guard in Riyadh,87,46.852742,24.754344,46.6375541,24.7414432
121,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,AlQatif Central Hospital,87,,,50.1506389,26.2846113
122,2019,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz University Hospital in Jeddah,86,,,39.362754,21.4222327
123,2017,Female,Saudi Arabia,Medicine and Surgery,King Saud University,King Khalid University Hospital in Riyadh,86,46.6236596,24.7252026,46.6375541,24.7414432
124,2016,Female,Saudi Arabia,Medicine and Surgery,King Saud University,King Khalid University Hospital in Riyadh,86,46.6236596,24.7252026,46.6375541,24.7414432
125,2018,Female,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdulaziz Medical City for National Guard in Jeddah,86,39.2391473,21.4932675,39.362754,21.4222327
126,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Faisal Specialist Hospital and Research Center in Jeddah,86,,,39.362754,21.4222327
127,2018,Male,Saudi Arabia,Medicine and Surgery,King Saud University,Prince Sultan Military Medical City in Riyadh,85,46.6236596,24.7252026,46.6375541,24.7414432
128,2016,Male,Saudi Arabia,Medicine and Surgery,King Saud University,King Saud Medical City in Riyadh,85,46.6236596,24.7252026,46.6375541,24.7414432
129,2017,Female,Saudi Arabia,Medicine and Surgery,King Saud University,King Faisal Specialist Hospital and Research Center in Riyadh,85,46.6236596,24.7252026,46.6375541,24.7414432
130,2016,Female,Saudi Arabia,Medicine and Surgery,King Saud University,King Faisal Specialist Hospital and Research Center in Riyadh,84,46.6236596,24.7252026,46.6375541,24.7414432
131,2016,Male,Saudi Arabia,Medicine and Surgery,Unknown,Prince Sultan Military Medical City in Riyadh,84,,,46.6375541,24.7414432
132,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd General Hospital in Jeddah,84,,,39.362754,21.4222327
133,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,Alnoor Specialist Hospital in Mecca,84,,,39.94124,21.331945
134,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City of National Guard in Alahsa,84,,,49.5142036,25.332395
135,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Faisal Specialist Hospital and Research Center in Jeddah,82,,,39.362754,21.4222327
136,2017,Male,Saudi Arabia,Medicine and Surgery,Unknown,Prince Sultan Military Medical City in Riyadh,82,,,46.6375541,24.7414432
137,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd Hospital in Medina,81,,,38.194309,24.0204254
138,2017,Female,Saudi Arabia,Medicine and Surgery,King Khalid University,General Directorate of Health Affairs in Aseer Region,81,46.6218429,24.7131974,42.5238139,18.2024106
139,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz University Hospital in Jeddah,81,,,39.362754,21.4222327
140,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Abdullah Medical City in the Holy Capital,80,,,39.94124,21.331945
141,2019,Male,Saudi Arabia,Medicine and Surgery,King Saud University,King Faisal Specialist Hospital and Research Center in Riyadh,80,46.6236596,24.7252026,46.6375541,24.7414432
142,2019,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd University Hospital in Khobar,80,,,50.1506389,26.2846113
143,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahad Hospital in Hofuf,79,,,49.5142036,25.332395
144,2016,Male,Saudi Arabia,Medicine and Surgery,King Saud Bin Abdulaziz University For Health Scinces,King Abdulaziz Medical City for National Guard in Riyadh,78,46.852742,24.754344,46.6375541,24.7414432
145,2018,Male,Saudi Arabia,Medicine and Surgery,King Saud University,King Khalid University Hospital in Riyadh,78,46.6236596,24.7252026,46.6375541,24.7414432
146,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,Prince Mohammed bin Abdulaziz Hospital in Riyadh,77,,,46.6375541,24.7414432
147,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd Specialist Hospital in Dammam,77,,,50.1506389,26.2846113
148,2017,Male,Saudi Arabia,Medicine and Surgery,King Saud University,King Fahad Medical City in Riyadh,77,46.6236596,24.7252026,46.6375541,24.7414432
149,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City of National Guard in Alahsa,77,,,49.5142036,25.332395
150,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd Hospital of the Armed Forces in the south,77,,,42.5238139,18.2024106
151,2018,Male,Saudi Arabia,Medicine and Surgery,Unknown,Medical City of King Saud University in Riyadh,76,,,46.6375541,24.7414432
152,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,Armed Forces Hospital in Al-Hada in Taif,76,,,40.412451,21.2401719
153,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Salman Hospital for North West Armed Forces in Tabuk,76,,,36.5957527,28.3494438
154,2016,Male,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdulaziz University Hospital in Jeddah,75,39.2391473,21.4932675,39.362754,21.4222327
155,2019,Female,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Aseer Region,74,,,42.5238139,18.2024106
156,2018,Male,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Aseer Region,74,,,42.5238139,18.2024106
157,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,Dammam Medical Complex,74,,,50.1506389,26.2846113
158,2017,Male,Saudi Arabia,Medicine and Surgery,King Khalid University,King Fahd Hospital of the Armed Forces in the south,73,46.6218429,24.7131974,42.5238139,18.2024106
159,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,East Jeddah Hospital in Jeddah,73,,,39.362754,21.4222327
160,2017,Male,Saudi Arabia,Medicine and Surgery,King Saud University,King Saud Medical City in Riyadh,73,46.6236596,24.7252026,46.6375541,24.7414432
161,2019,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd Hospital of Armed Forces in Jeddah,73,,,39.362754,21.4222327
162,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City of National Guard in Alahsa,73,,,49.5142036,25.332395
163,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd Hospital of Armed Forces in Jeddah,72,,,39.362754,21.4222327
164,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,Johns Hopkins Aramco Healthcare Center in Dhahran,72,,,50.1506389,26.2846113
165,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,Security Forces Hospital in Riyadh,72,,,46.6375541,24.7414432
166,2019,Male,Saudi Arabia,Medicine and Surgery,King Saud University,Prince Sultan Military Medical City in Riyadh,71,46.6236596,24.7252026,46.6375541,24.7414432
167,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,Eastern Health Cluster,70,,,50.1506389,26.2846113
168,2018,Female,Saudi Arabia,Medicine and Surgery,King Saud University,King Khalid University Hospital in Riyadh,70,46.6236596,24.7252026,46.6375541,24.7414432
169,2019,Male,Saudi Arabia,Medicine and Surgery,King Saud University,King Abdulaziz Medical City for National Guard in Riyadh,70,46.6236596,24.7252026,46.6375541,24.7414432
170,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Abdullah Medical City in the Holy Capital,69,,,39.94124,21.331945
171,2019,Female,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdulaziz Medical City for National Guard in Jeddah,69,39.2391473,21.4932675,39.362754,21.4222327
172,2018,Female,Saudi Arabia,Medicine and Surgery,Unknown,Prince Sultan Military Medical City in Riyadh,69,,,46.6375541,24.7414432
173,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd General Hospital in Jeddah,68,,,39.362754,21.4222327
174,2018,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd University Hospital in Khobar,68,,,50.1506389,26.2846113
175,2016,Male,Saudi Arabia,Medicine and Surgery,King Khalid University,King Fahd Hospital of the Armed Forces in the south,67,46.6218429,24.7131974,42.5238139,18.2024106
176,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,Armed Forces Hospital in Al-Hada in Taif,67,,,40.412451,21.2401719
177,2018,Female,Saudi Arabia,Medicine and Surgery,King Saud University,King Faisal Specialist Hospital and Research Center in Riyadh,67,46.6236596,24.7252026,46.6375541,24.7414432
178,2018,Male,Saudi Arabia,Medicine and Surgery,Unknown,Security Forces Hospital in Riyadh,67,,,46.6375541,24.7414432
179,2020,Male,Saudi Arabia,Medicine and Surgery,King Khalid University,General Directorate of Health Affairs in Aseer Region,67,46.6218429,24.7131974,42.5238139,18.2024106
180,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Al-Baha Region,67,,,41.5057266,20.0583716
181,2019,Female,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Jazan Region,67,,,42.5471234,16.978015
182,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd Specialist Hospital in Buraidah,67,,,43.4838773,25.8827324
183,2018,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd University Hospital in Khobar,67,,,50.1506389,26.2846113
184,2018,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City for National Guard in Jeddah,67,,,39.362754,21.4222327
185,2018,Male,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdulaziz University Hospital in Jeddah,67,39.2391473,21.4932675,39.362754,21.4222327
186,2018,Male,Saudi Arabia,Medicine and Surgery,King Khalid University,King Fahd Hospital of the Armed Forces in the south,66,46.6218429,24.7131974,42.5238139,18.2024106
187,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,AlQatif Central Hospital,66,,,50.1506389,26.2846113
188,2016,Female,Saudi Arabia,Medicine and Surgery,King Khalid University,General Directorate of Health Affairs in Aseer Region,66,46.6218429,24.7131974,42.5238139,18.2024106
189,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd Specialist Hospital in Dammam,65,,,50.1506389,26.2846113
190,2018,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Saud Medical City in Riyadh,64,,,46.6375541,24.7414432
191,2019,Male,Saudi Arabia,Medicine and Surgery,King Saud University,King Khalid University Hospital in Riyadh,64,46.6236596,24.7252026,46.6375541,24.7414432
192,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd Military Medical Complex in Dhahran,64,,,50.1506389,26.2846113
