,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,Current_Speciality_Name_En,Number_of_Trainees
258,2018,Unknown,Male,Saudi Arabia,Otorhinolaryngology Head And Neck Surgery,106
261,2021,From 20 to 29,Female,Saudi Arabia,Clinical Pharmacy,106
262,2021,From 20 to 29,Female,Saudi Arabia,Preventive Medicine,106
263,2019,Unknown,Male,Saudi Arabia,Diagnostic Radiology,106
264,2021,From 30 to 39,Female,Saudi Arabia,Pediatrics,105
265,2019,From 30 to 39,Male,Saudi Arabia,General Surgery,105
267,2021,From 20 to 29,Male,Saudi Arabia,Otorhinolaryngology Head And Neck Surgery,103
268,2018,Unknown,Female,Saudi Arabia,Diagnostic Radiology,103
272,2016,Unknown,Male,Saudi Arabia,Diagnostic Radiology,102
274,2020,From 20 to 29,Male,Saudi Arabia,Adult Critical Care Medicine,101
276,2017,Unknown,Male,Saudi Arabia,Adult Cardiology,100
277,2020,From 20 to 29,Male,Saudi Arabia,Anesthesia,100
278,2021,From 20 to 29,Female,Saudi Arabia,Neurology,99
279,2021,From 30 to 39,Female,Saudi Arabia,Obstetrics & Gynecology,99
281,2019,Unknown,Male,Saudi Arabia,Anesthesia,98
283,2020,From 30 to 39,Male,Saudi Arabia,Adult Critical Care Medicine,97
284,2020,From 30 to 39,Male,Saudi Arabia,General Surgery,96
285,2021,From 30 to 39,Female,Saudi Arabia,Internal Medicine,96
287,2020,From 20 to 29,Male,Saudi Arabia,Obstetrics & Gynecology,96
288,2017,From 20 to 29,Female,Saudi Arabia,Family Medicine,95
290,2021,From 20 to 29,Male,Saudi Arabia,Ophthalmology,95
291,2018,From 20 to 29,Female,Saudi Arabia,Obstetrics & Gynecology,95
292,2016,Unknown,Male,Saudi Arabia,Gastroenterology,95
293,2020,From 30 to 39,Female,Saudi Arabia,Internal Medicine,94
297,2021,From 20 to 29,Male,Saudi Arabia,Psychiatry,94
299,2019,From 30 to 39,Female,Saudi Arabia,Obstetrics & Gynecology,94
301,2016,Unknown,Female,Saudi Arabia,Diagnostic Radiology,94
303,2021,From 20 to 29,Female,Saudi Arabia,Otorhinolaryngology Head And Neck Surgery,93
304,2021,From 30 to 39,Male,Saudi Arabia,Adult Critical Care Medicine,93
307,2021,Unknown,Male,Saudi Arabia,Adult Critical Care Medicine,93
313,2020,From 20 to 29,Female,Saudi Arabia,Anesthesia,91
314,2018,Unknown,Male,Saudi Arabia,Adult Cardiology,90
315,2020,From 20 to 29,Male,Saudi Arabia,Neurology,90
316,2019,From 20 to 29,Female,Saudi Arabia,Emergency Medicine,90
317,2021,Unknown,Male,Saudi Arabia,Orthopedic Surgery,89
319,2021,From 20 to 29,Female,Saudi Arabia,Ophthalmology,89
320,2021,From 20 to 29,Male,Saudi Arabia,Preventive Medicine,89
322,2017,Unknown,Female,Saudi Arabia,Emergency Medicine,88
324,2018,From 30 to 39,Male,Saudi Arabia,Pediatrics,88
326,2021,From 20 to 29,Female,Saudi Arabia,Pediatric Dentistry,88
333,2020,Unknown,Male,Saudi Arabia,Adult Critical Care Medicine,87
335,2019,From 20 to 29,Male,Saudi Arabia,Urology,86
337,2020,Unknown,Male,Saudi Arabia,Urology,85
338,2022,Unknown,Male,Saudi Arabia,Adult Cardiology,85
341,2021,From 20 to 29,Female,Saudi Arabia,Orthodontic and Dentofacial Orthopedics,84
342,2018,From 30 to 39,Female,Saudi Arabia,Internal Medicine,83
343,2020,Unknown,Male,Saudi Arabia,Diagnostic Radiology,83
346,2017,From 30 to 39,Male,Saudi Arabia,Internal Medicine,82
348,2020,From 20 to 29,Male,Saudi Arabia,Otorhinolaryngology Head And Neck Surgery,82
349,2016,Unknown,Male,Saudi Arabia,Anesthesia,82
351,2021,From 30 to 39,Male,Saudi Arabia,Preventive Medicine,81
352,2017,Unknown,Male,Saudi Arabia,Gastroenterology,81
354,2020,Unknown,Female,Saudi Arabia,General Surgery,80
355,2021,From 20 to 29,Female,Saudi Arabia,Psychiatry,80
356,2019,From 30 to 39,Male,Saudi Arabia,Adult Critical Care Medicine,80
357,2016,From 30 to 39,Male,Saudi Arabia,Internal Medicine,80
358,2021,Unknown,Male,Saudi Arabia,Implant Dentistry,80
359,2021,From 20 to 29,Female,Saudi Arabia,Dermatology,80
360,2020,From 20 to 29,Female,Saudi Arabia,Preventive Medicine,80
361,2017,Unknown,Female,Saudi Arabia,Otorhinolaryngology Head And Neck Surgery,79
365,2019,Unknown,Female,Saudi Arabia,Diagnostic Radiology,79
367,2019,Unknown,Male,Saudi Arabia,Otorhinolaryngology Head And Neck Surgery,79
369,2016,Unknown,Male,Saudi Arabia,Adult Cardiology,78
370,2016,From 30 to 39,Female,Saudi Arabia,Pediatrics,78
372,2017,From 30 to 39,Female,Saudi Arabia,Pediatrics,77
373,2018,From 20 to 29,Male,Saudi Arabia,Orthopedic Surgery,77
374,2020,Unknown,Male,Saudi Arabia,Anesthesia,77
376,2020,From 20 to 29,Female,Saudi Arabia,Neurology,77
377,2020,Unknown,Male,Saudi Arabia,Emergency Medicine,77
380,2016,Unknown,Female,Saudi Arabia,Adults Endocrinology & Metabolism,76
382,2021,Unknown,Male,Saudi Arabia,Obstetrics & Gynecology,76
385,2021,From 20 to 29,Female,Saudi Arabia,Orthopedic Surgery,75
386,2020,From 30 to 39,Male,Saudi Arabia,Anesthesia,75
388,2016,Unknown,Male,Saudi Arabia,Pediatrics Emergency Medicine,75
390,2018,From 20 to 29,Female,Saudi Arabia,General Surgery,75
392,2021,From 30 to 39,Male,Saudi Arabia,Anesthesia,74
393,2019,From 30 to 39,Female,Saudi Arabia,General Surgery,74
394,2018,Unknown,Male,Saudi Arabia,Gastroenterology,74
400,2018,Unknown,Female,Saudi Arabia,Emergency Medicine,72
403,2018,From 30 to 39,Female,Saudi Arabia,Obstetrics & Gynecology,71
404,2017,Unknown,Female,Saudi Arabia,Adults Endocrinology & Metabolism,71
405,2021,From 20 to 29,Female,Saudi Arabia,Restorative Dentistry,71
406,2017,Unknown,Male,Saudi Arabia,Pediatrics Emergency Medicine,70
407,2018,From 30 to 39,Male,Saudi Arabia,Adult Critical Care Medicine,70
408,2018,From 30 to 39,Female,Saudi Arabia,General Surgery,70
409,2016,Unknown,Male,Saudi Arabia,Adults Endocrinology & Metabolism,70
410,2019,Unknown,Male,Saudi Arabia,Adult Cardiology,70
412,2018,Unknown,Female,Saudi Arabia,Otorhinolaryngology Head And Neck Surgery,69
418,2020,From 20 to 29,Female,Saudi Arabia,Otorhinolaryngology Head And Neck Surgery,68
419,2019,From 30 to 39,Male,Saudi Arabia,Orthopedic Surgery,68
420,2020,Unknown,Male,Saudi Arabia,Gastroenterology,68
422,2016,From 30 to 39,Female,Saudi Arabia,General Surgery,68
426,2018,From 30 to 39,Male,Saudi Arabia,Orthopedic Surgery,67
427,2021,From 20 to 29,Female,Saudi Arabia,Adult Critical Care Nursing,67
429,2018,From 20 to 29,Male,Saudi Arabia,Diagnostic Radiology,67
430,2020,From 20 to 29,Female,Saudi Arabia,Ophthalmology,66
431,2017,Unknown,Female,Saudi Arabia,Dermatology,66
432,2019,From 20 to 29,Male,Saudi Arabia,Otorhinolaryngology Head And Neck Surgery,66
436,2022,Unknown,Male,Saudi Arabia,Adult Critical Care Medicine,66
437,2016,Unknown,Female,Saudi Arabia,Otorhinolaryngology Head And Neck Surgery,66
439,2017,From 30 to 39,Female,Saudi Arabia,General Surgery,65
442,2021,From 30 to 39,Male,Saudi Arabia,Obstetrics & Gynecology,65
444,2019,From 30 to 39,Male,Saudi Arabia,Anesthesia,65
446,2020,From 30 to 39,Male,Saudi Arabia,Orthopedic Surgery,65
447,2020,From 20 to 29,Male,Saudi Arabia,Ophthalmology,65
448,2020,From 30 to 39,Male,Saudi Arabia,Preventive Medicine,65
450,2016,Unknown,Female,Saudi Arabia,Emergency Medicine,64
451,2021,From 20 to 29,Female,Saudi Arabia,Endodontics,64
452,2017,Unknown,Male,Saudi Arabia,Adults Endocrinology & Metabolism,64
453,2020,From 20 to 29,Male,Saudi Arabia,Psychiatry,64
456,2019,From 20 to 29,Male,Saudi Arabia,Obstetrics & Gynecology,63
458,2020,From 30 to 39,Male,Saudi Arabia,Obstetrics & Gynecology,63
459,2016,From 30 to 39,Male,Saudi Arabia,Orthopedic Surgery,63
460,2020,From 20 to 29,Female,Saudi Arabia,Dermatology,62
461,2020,From 30 to 39,Female,Saudi Arabia,General Surgery,62
463,2021,Unknown,Female,Saudi Arabia,Internal Medicine,62
464,2017,From 30 to 39,Male,Saudi Arabia,Orthopedic Surgery,62
466,2021,From 20 to 29,Male,Saudi Arabia,Endodontics,62
470,2020,From 20 to 29,Male,Saudi Arabia,Preventive Medicine,62
472,2017,Unknown,Male,Saudi Arabia,Psychiatry,61
473,2021,Unknown,Male,Saudi Arabia,Family Medicine,61
475,2021,From 20 to 29,Female,Saudi Arabia,Emergency Nursing,61
476,2020,From 20 to 29,Female,Saudi Arabia,Pediatric Dentistry,61
477,2018,Unknown,Male,Saudi Arabia,Pediatrics Emergency Medicine,61
479,2020,From 20 to 29,Female,Saudi Arabia,Psychiatry,60
480,2021,Unknown,Male,Saudi Arabia,Adult Cardiology,60
483,2018,Unknown,Female,Saudi Arabia,Adults Endocrinology & Metabolism,59
485,2020,From 20 to 29,Female,Saudi Arabia,Orthodontic and Dentofacial Orthopedics,59
486,2019,Unknown,Male,Saudi Arabia,Gastroenterology,59
489,2019,From 20 to 29,Male,Saudi Arabia,Anesthesia,58
490,2019,Unknown,Female,Saudi Arabia,Adults Endocrinology & Metabolism,57
491,2020,Unknown,Male,Saudi Arabia,Adult Cardiology,57
493,2016,From 20 to 29,Female,Saudi Arabia,Family Medicine,57
494,2022,Unknown,Male,Saudi Arabia,Gastroenterology,57
495,2021,From 30 to 39,Male,Saudi Arabia,General Surgery,57
496,2020,From 20 to 29,Female,Saudi Arabia,Clinical Pharmacy,57
497,2020,Unknown,Female,Saudi Arabia,Diagnostic Radiology,57
498,2021,Unknown,Female,Saudi Arabia,General Surgery,57
499,2021,From 20 to 29,Male,Saudi Arabia,Restorative Dentistry,56
501,2021,Unknown,Male,Saudi Arabia,Anesthesia,56
502,2018,From 20 to 29,Female,Saudi Arabia,Diagnostic Radiology,56
507,2018,From 20 to 29,Male,Saudi Arabia,Emergency Medicine,55
509,2020,From 20 to 29,Female,Saudi Arabia,Endodontics,55
510,2016,From 30 to 39,Male,Saudi Arabia,Pediatrics,55
512,2016,Unknown,Male,Saudi Arabia,Adult Hematology,55
514,2016,Unknown,Male,Saudi Arabia,Community Medicine (Health Informatics),55
515,2021,From 20 to 29,Female,Saudi Arabia,Adult Critical Care Medicine,55
516,2020,From 20 to 29,Female,Saudi Arabia,Orthopedic Surgery,55
517,2019,Unknown,Female,Saudi Arabia,Otorhinolaryngology Head And Neck Surgery,55
518,2018,Unknown,Female,Saudi Arabia,Dermatology,55
519,2018,Unknown,Male,Saudi Arabia,Adults Endocrinology & Metabolism,54
520,2021,From 20 to 29,Male,Saudi Arabia,Dermatology,54
521,2019,From 20 to 29,Female,Saudi Arabia,Anesthesia,54
529,2021,From 20 to 29,Female,Saudi Arabia,Pediatric Neurology,53
530,2017,Unknown,Male,Saudi Arabia,Restorative Dentistry,53
531,2020,From 30 to 39,Male,Saudi Arabia,Emergency Nursing,53
532,2020,From 20 to 29,Female,Saudi Arabia,Restorative Dentistry,53
534,2021,Unknown,Male,Saudi Arabia,Gastroenterology,53
535,2019,From 20 to 29,Male,Saudi Arabia,Adult Critical Care Medicine,53
537,2019,From 30 to 39,Male,Saudi Arabia,Preventive Medicine,52
538,2021,Unknown,Male,Saudi Arabia,Urology,52
539,2016,Unknown,Male,Saudi Arabia,Adult Infectious Diseases,52
542,2017,Unknown,Male,Saudi Arabia,Adult Hematology,52
544,2017,Unknown,Male,Saudi Arabia,Neurology,52
545,2019,Unknown,Male,Saudi Arabia,Pediatrics Emergency Medicine,52
547,2019,From 20 to 29,Male,Saudi Arabia,Neurology,52
548,2020,Unknown,Male,Saudi Arabia,Otorhinolaryngology Head And Neck Surgery,52
549,2016,From 30 to 39,Female,Saudi Arabia,Obstetrics & Gynecology,52
551,2017,From 30 to 39,Male,Saudi Arabia,Pediatrics,51
553,2017,From 30 to 39,Female,Saudi Arabia,Obstetrics & Gynecology,51
554,2017,From 30 to 39,Female,Saudi Arabia,Internal Medicine,51
555,2018,Unknown,Male,Saudi Arabia,Adult Infectious Diseases,51
556,2018,Unknown,Male,Saudi Arabia,Psychiatry,51
557,2019,Unknown,Male,Saudi Arabia,Adult Infectious Diseases,51
558,2017,Unknown,Female,Saudi Arabia,Neurology,51
559,2016,Unknown,Female,Saudi Arabia,Pediatrics Emergency Medicine,51
561,2019,From 30 to 39,Male,Saudi Arabia,Obstetrics & Gynecology,50
562,2016,From 30 to 39,Female,Saudi Arabia,Internal Medicine,50
565,2017,Unknown,Male,Saudi Arabia,Adult Infectious Diseases,50
567,2019,Unknown,Female,Saudi Arabia,Emergency Medicine,50
568,2019,From 20 to 29,Female,Saudi Arabia,Preventive Medicine,50
570,2021,From 20 to 29,Male,Saudi Arabia,Prosthodontics,49
572,2016,Unknown,Female,Saudi Arabia,Dermatology,49
573,2017,Unknown,Female,Saudi Arabia,Psychiatry,49
577,2019,From 20 to 29,Female,Saudi Arabia,Neurology,49
579,2017,Unknown,Male,Saudi Arabia,Adult Respiratory Medicine,49
580,2021,From 20 to 29,Female,Saudi Arabia,Anatomic Pathology,49
584,2017,Unknown,Female,Saudi Arabia,Anesthesia,49
585,2016,Unknown,Female,Saudi Arabia,Adult Infectious Diseases,49
586,2021,From 20 to 29,Female,Saudi Arabia,Prosthodontics,48
589,2016,Unknown,Male,Saudi Arabia,Endodontics,48
590,2016,Unknown,Male,Saudi Arabia,Adult Nephrology,48
593,2019,From 30 to 39,Male,Saudi Arabia,Emergency Nursing,48
595,2018,From 30 to 39,Male,Saudi Arabia,Anesthesia,48
596,2017,Unknown,Male,Saudi Arabia,Clinical Neurosurgery,48
597,2020,Unknown,Male,Saudi Arabia,Implant Dentistry,47
598,2018,Unknown,Female,Saudi Arabia,Neurology,47
600,2020,Unknown,Male,Saudi Arabia,Pediatrics Emergency Medicine,47
602,2017,Unknown,Male,Saudi Arabia,Community Medicine (Health Informatics),47
603,2021,From 30 to 39,Male,Saudi Arabia,Diagnostic Radiology,47
605,2018,Unknown,Male,Saudi Arabia,Neurology,47
608,2018,Unknown,Male,Saudi Arabia,Restorative Dentistry,47
610,2017,From 30 to 39,Male,Saudi Arabia,Adult Critical Care Medicine,46
613,2019,From 30 to 39,Male,Saudi Arabia,Adult Critical Care Nursing,46
615,2017,Unknown,Female,Saudi Arabia,Adult Infectious Diseases,46
616,2019,From 20 to 29,Male,Saudi Arabia,Ophthalmology,46
619,2019,Unknown,Male,Saudi Arabia,Psychiatry,46
621,2021,From 20 to 29,Male,Saudi Arabia,Clinical Neurosurgery,45
622,2019,From 20 to 29,Female,Saudi Arabia,Otorhinolaryngology Head And Neck Surgery,45
623,2016,Unknown,Female,Sudan,Obstetrics & Gynecology,45
624,2017,Unknown,Male,Saudi Arabia,Interventional Neuro-Radiology,45
625,2017,Unknown,Male,Saudi Arabia,Endodontics,45
626,2021,Unknown,Male,Saudi Arabia,Saudi Postgraduate Diploma In Emergency Medicine,45
628,2020,Unknown,Female,Saudi Arabia,Adults Endocrinology & Metabolism,45
629,2018,From 20 to 29,Male,Saudi Arabia,Urology,45
631,2018,Unknown,Male,Saudi Arabia,Clinical Neurosurgery,45
633,2017,Unknown,Male,Saudi Arabia,Dermatology,44
642,2021,From 30 to 39,Male,Saudi Arabia,Orthopedic Surgery,44
643,2019,From 20 to 29,Female,Saudi Arabia,Dermatology,43
644,2016,From 30 to 39,Male,Saudi Arabia,Adult Critical Care Medicine,43
646,2017,Unknown,Male,Saudi Arabia,Body Imaging & Non-Vascular Intervention,43
648,2016,Unknown,Male,Saudi Arabia,Adult Respiratory Medicine,43
653,2020,From 20 to 29,Female,Saudi Arabia,Pediatric Neurology,43
655,2020,From 20 to 29,Female,Saudi Arabia,Adult Critical Care Nursing,43
657,2016,Unknown,Male,Saudi Arabia,Psychiatry,43
658,2021,From 30 to 39,Female,Saudi Arabia,General Surgery,43
660,2018,Unknown,Female,Saudi Arabia,Anesthesia,43
661,2017,Unknown,Male,Saudi Arabia,Adult Nephrology,43
669,2017,Unknown,Female,Saudi Arabia,Adult Hematology,42
676,2020,From 20 to 29,Male,Saudi Arabia,Endodontics,42
680,2018,Unknown,Male,Saudi Arabia,Adult Nephrology,41
681,2019,From 20 to 29,Female,Saudi Arabia,Psychiatry,41
684,2020,From 20 to 29,Female,Saudi Arabia,Anatomic Pathology,41
687,2017,Unknown,Female,Saudi Arabia,Restorative Dentistry,41
688,2018,From 20 to 29,Female,Saudi Arabia,Emergency Medicine,41
691,2021,From 20 to 29,Female,Saudi Arabia,Clinical Neurosurgery,41
693,2016,Unknown,Male,Saudi Arabia,Restorative Dentistry,41
