,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,Work_Name_En,Number_of_Trainees
42,2017,Unknown,Male,Saudi Arabia,Personal Contract,631
43,2018,Unknown,Male,Saudi Arabia,Personal Contract,598
44,2020,From 30 to 39,Female,Saudi Arabia,Ministry of Health,590
46,2018,From 30 to 39,Female,Saudi Arabia,Ministry of Health,575
47,2017,From 30 to 39,Male,Saudi Arabia,Ministry of Health,574
49,2021,From 30 to 39,Female,Saudi Arabia,Ministry of Health,567
50,2022,Unknown,Male,Saudi Arabia,Personal Contract,562
51,2016,From 30 to 39,Male,Saudi Arabia,Ministry of Health,525
53,2021,Unknown,Female,Saudi Arabia,Ministry of Health,513
54,2019,Unknown,Male,Saudi Arabia,Personal Contract,492
55,2016,Unknown,Male,Saudi Arabia,Personal Contract,448
56,2017,Unknown,Female,Saudi Arabia,Personal Contract,447
58,2017,From 30 to 39,Female,Saudi Arabia,Ministry of Health,430
60,2018,Unknown,Female,Saudi Arabia,Personal Contract,403
61,2016,From 30 to 39,Female,Saudi Arabia,Ministry of Health,397
62,2022,Unknown,Female,Saudi Arabia,Personal Contract,389
67,2020,Unknown,Male,Saudi Arabia,Personal Contract,327
68,2019,Unknown,Female,Saudi Arabia,Personal Contract,317
69,2016,Unknown,Female,Saudi Arabia,Personal Contract,316
74,2017,Unknown,Male,Saudi Arabia,Ministry of Defense Medical Services,249
75,2017,Unknown,Male,Saudi Arabia,Ministry of Defense / Personal Contract,246
76,2021,Unknown,Male,Saudi Arabia,Personal Contract,236
78,2020,Unknown,Female,Saudi Arabia,Personal Contract,222
79,2018,Unknown,Male,Saudi Arabia,Ministry of Defense Medical Services,222
80,2022,Unknown,Male,Saudi Arabia,Ministry of Health,221
81,2018,Unknown,Male,Saudi Arabia,Ministry of Defense / Personal Contract,218
84,2018,From 20 to 29,Female,Saudi Arabia,Unknown,204
85,2016,Unknown,Male,Saudi Arabia,Ministry of Defense Medical Services,203
89,2018,From 20 to 29,Male,Saudi Arabia,Unknown,194
90,2019,Unknown,Male,Saudi Arabia,Ministry of Defense / Personal Contract,193
91,2019,Unknown,Male,Saudi Arabia,Ministry of Defense Medical Services,192
93,2021,From 20 to 29,Female,Saudi Arabia,Ministry of National Guard,187
95,2016,From 30 to 39,Male,Saudi Arabia,Personal Contract,185
96,2017,Unknown,Female,Saudi Arabia,Ministry of Defense / Personal Contract,184
99,2017,From 30 to 39,Male,Saudi Arabia,Personal Contract,183
101,2016,Unknown,Male,Saudi Arabia,Ministry of Defense / Personal Contract,181
102,2018,Unknown,Male,Saudi Arabia,Ministry of National Guard,177
104,2021,From 20 to 29,Male,Saudi Arabia,Ministry of National Guard,175
105,2017,Unknown,Male,Saudi Arabia,Ministry of National Guard,174
109,2017,From 30 to 39,Female,Saudi Arabia,Personal Contract,170
110,2020,From 20 to 29,Female,Saudi Arabia,Ministry of National Guard,169
111,2019,Unknown,Male,Saudi Arabia,Ministry of National Guard,167
113,2018,Unknown,Female,Saudi Arabia,Ministry of Defense / Personal Contract,167
115,2021,From 20 to 29,Male,Saudi Arabia,Ministry of Defense Medical Services,165
116,2016,From 30 to 39,Female,Saudi Arabia,Personal Contract,165
117,2017,Unknown,Male,Saudi Arabia,Unknown,165
118,2017,Unknown,Male,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,164
121,2018,From 30 to 39,Male,Saudi Arabia,Personal Contract,162
125,2020,From 20 to 29,Male,Saudi Arabia,Ministry of National Guard,154
126,2016,Unknown,Male,Saudi Arabia,King Fahad National Guard Hospital,154
127,2021,From 30 to 39,Female,Saudi Arabia,Unknown,153
128,2020,Unknown,Male,Saudi Arabia,Ministry of Defense / Personal Contract,153
129,2018,From 30 to 39,Female,Saudi Arabia,Personal Contract,151
130,2019,From 30 to 39,Male,Saudi Arabia,Personal Contract,151
134,2018,Unknown,Male,Saudi Arabia,Unknown,148
135,2020,Unknown,Male,Saudi Arabia,Ministry of Defense Medical Services,148
138,2019,From 30 to 39,Male,Saudi Arabia,Unknown,146
140,2020,From 20 to 29,Male,Saudi Arabia,Ministry of Defense Medical Services,145
141,2019,From 30 to 39,Female,Saudi Arabia,Unknown,144
142,2021,Unknown,Female,Saudi Arabia,Personal Contract,144
143,2017,Unknown,Male,Saudi Arabia,King Saud University,143
144,2021,From 30 to 39,Male,Saudi Arabia,Unknown,143
147,2020,Unknown,Male,Saudi Arabia,Ministry of National Guard,142
150,2016,Unknown,Male,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,137
152,2019,Unknown,Female,Saudi Arabia,Ministry of National Guard,137
153,2020,From 30 to 39,Female,Saudi Arabia,Unknown,136
154,2019,Unknown,Female,Saudi Arabia,Ministry of Defense / Personal Contract,136
155,2020,Unknown,Male,Saudi Arabia,Unknown,135
156,2017,From 20 to 29,Female,Saudi Arabia,Ministry of Health,135
158,2017,Unknown,Female,Saudi Arabia,Ministry of National Guard,132
159,2020,From 30 to 39,Male,Saudi Arabia,Unknown,132
161,2018,Unknown,Female,Saudi Arabia,Ministry of National Guard,131
163,2019,From 30 to 39,Female,Saudi Arabia,Personal Contract,131
165,2021,From 20 to 29,Male,Saudi Arabia,King Abdulaziz Medical City for National Guard in Riyadh,128
169,2022,Unknown,Female,Saudi Arabia,Ministry of Health,127
171,2019,Unknown,Male,Saudi Arabia,Unknown,126
173,2021,From 20 to 29,Female,Saudi Arabia,King Abdulaziz Medical City for National Guard in Riyadh,124
174,2018,Unknown,Male,Saudi Arabia,King Saud University,124
175,2018,Unknown,Male,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,124
177,2016,Unknown,Female,Saudi Arabia,Ministry of Defense / Personal Contract,123
178,2020,Unknown,Female,Saudi Arabia,Ministry of Defense / Personal Contract,123
179,2020,From 20 to 29,Male,Saudi Arabia,King Abdulaziz Medical City for National Guard in Riyadh,122
180,2016,Unknown,Male,Saudi Arabia,King Saud University,122
181,2017,Unknown,Female,Saudi Arabia,King Saud University,122
182,2021,From 20 to 29,Female,Saudi Arabia,King Abdulaziz University,121
184,2020,From 20 to 29,Female,Saudi Arabia,King Abdulaziz Medical City for National Guard in Riyadh,119
186,2017,Unknown,Male,Saudi Arabia,King Fahad National Guard Hospital,116
197,2017,Unknown,Female,Saudi Arabia,King Abdulaziz University,109
199,2017,Unknown,Female,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,108
200,2020,Unknown,Female,Saudi Arabia,Ministry of National Guard,108
201,2019,From 20 to 29,Male,Saudi Arabia,Ministry of Defense Medical Services,107
202,2016,Unknown,Female,Saudi Arabia,King Saud University,107
204,2019,Unknown,Male,Saudi Arabia,King Saud University,106
208,2016,Unknown,Female,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,102
211,2022,From 30 to 39,Male,Saudi Arabia,Personal Contract,102
212,2017,Unknown,Female,Saudi Arabia,Unknown,101
213,2019,From 20 to 29,Female,Saudi Arabia,Ministry of National Guard,101
215,2018,Unknown,Female,Saudi Arabia,King Saud University,100
217,2016,Unknown,Male,Saudi Arabia,King Fahad Medical City in Riyadh,99
219,2019,From 20 to 29,Male,Saudi Arabia,Ministry of National Guard,98
220,2017,From 40 to 49,Male,Saudi Arabia,Ministry of Health,98
228,2016,Unknown,Female,Saudi Arabia,Ministry of Defense Medical Services,95
229,2018,Unknown,Female,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,95
230,2018,Unknown,Male,Saudi Arabia,King Fahad National Guard Hospital,94
233,2019,From 20 to 29,Female,Saudi Arabia,King Abdulaziz Medical City for National Guard in Riyadh,93
239,2016,Unknown,Female,Saudi Arabia,King Fahad National Guard Hospital,92
242,2020,From 20 to 29,Female,Saudi Arabia,King Abdulaziz University,91
243,2018,Unknown,Female,Saudi Arabia,King Abdulaziz University,91
244,2019,Unknown,Male,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,91
245,2016,Unknown,Female,Saudi Arabia,King Abdulaziz University,90
247,2021,Unknown,Male,Saudi Arabia,Ministry of Defense Medical Services,90
248,2018,Unknown,Female,Saudi Arabia,Unknown,90
249,2018,From 30 to 39,Male,Saudi Arabia,Ministry of Defense Medical Services,89
253,2021,From 20 to 29,Male,Saudi Arabia,"King Abdulaziz Medical City for National Guard, Jeddah",89
257,2018,From 40 to 49,Female,Saudi Arabia,Ministry of Health,88
258,2019,From 30 to 39,Male,Saudi Arabia,Ministry of Defense Medical Services,87
260,2017,Unknown,Female,Saudi Arabia,Ministry of Defense Medical Services,87
262,2019,From 20 to 29,Male,Saudi Arabia,King Abdulaziz Medical City for National Guard in Riyadh,86
263,2020,From 20 to 29,Male,Saudi Arabia,"King Abdulaziz Medical City for National Guard, Jeddah",85
268,2016,From 40 to 49,Male,Saudi Arabia,Ministry of Health,85
269,2016,From 20 to 29,Female,Saudi Arabia,Ministry of Health,85
270,2017,Unknown,Male,Saudi Arabia,King Fahad Medical City in Riyadh,84
271,2016,Unknown,Male,Saudi Arabia,Security Forces Hospital - Riyadh,84
275,2018,From 30 to 39,Male,Saudi Arabia,Unknown,82
278,2018,From 30 to 39,Female,Saudi Arabia,Unknown,82
279,2021,From 20 to 29,Male,Saudi Arabia,Ministry of Defense / Personal Contract,81
282,2017,From 40 to 49,Female,Saudi Arabia,Ministry of Health,81
284,2021,From 20 to 29,Female,Saudi Arabia,"King Abdulaziz Medical City for National Guard, Jeddah",80
286,2020,Unknown,Male,Saudi Arabia,King Saud University,80
288,2021,From 20 to 29,Female,Saudi Arabia,Ministry of Defense / Personal Contract,79
289,2019,Unknown,Female,Saudi Arabia,Unknown,79
291,2018,From 40 to 49,Male,Saudi Arabia,Ministry of Health,79
295,2016,Unknown,Female,Saudi Arabia,King Khalid National Guard Hospital,78
299,2022,From 30 to 39,Female,Saudi Arabia,Personal Contract,78
302,2020,Unknown,Male,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,77
303,2017,From 30 to 39,Male,Saudi Arabia,Ministry of Defense Medical Services,77
304,2020,Unknown,Female,Saudi Arabia,Unknown,77
305,2021,Unknown,Male,Saudi Arabia,Ministry of National Guard,76
306,2020,From 30 to 39,Male,Saudi Arabia,Personal Contract,76
307,2021,From 20 to 29,Male,Saudi Arabia,King Abdulaziz University,76
309,2016,From 40 to 49,Female,Saudi Arabia,Ministry of Health,75
310,2017,Unknown,Female,Saudi Arabia,King Fahad National Guard Hospital,75
314,2016,Unknown,Female,Saudi Arabia,Ministry of National Guard,74
316,2019,Unknown,Female,Saudi Arabia,King Saud University,73
318,2019,From 20 to 29,Female,Saudi Arabia,Personal Contract,73
320,2020,From 20 to 29,Female,Saudi Arabia,Ministry of Defense / Personal Contract,73
322,2019,Unknown,Female,Saudi Arabia,King Abdulaziz University,72
323,2020,From 20 to 29,Female,Saudi Arabia,"King Abdulaziz Medical City for National Guard, Jeddah",72
326,2021,Unknown,Male,Saudi Arabia,Unknown,72
328,2021,Unknown,Male,Saudi Arabia,Ministry of Defense / Personal Contract,72
330,2016,From 30 to 39,Male,Saudi Arabia,Ministry of Defense Medical Services,71
335,2020,From 20 to 29,Male,Saudi Arabia,Ministry of Defense / Personal Contract,70
338,2016,Unknown,Male,Saudi Arabia,Ministry of National Guard,70
343,2018,From 20 to 29,Female,Saudi Arabia,Personal Contract,69
344,2018,From 20 to 29,Male,Saudi Arabia,Ministry of Defense Medical Services,69
346,2019,Unknown,Female,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,69
347,2017,From 20 to 29,Female,Saudi Arabia,Personal Contract,69
355,2020,From 30 to 39,Male,Saudi Arabia,Ministry of Defense Medical Services,67
358,2018,Unknown,Female,Saudi Arabia,Ministry of Defense Medical Services,66
363,2017,Unknown,Male,Saudi Arabia,King Abdulaziz University,65
364,2019,From 20 to 29,Male,Saudi Arabia,Personal Contract,64
366,2017,Unknown,Female,Saudi Arabia,King Khalid National Guard Hospital,64
367,2017,Unknown,Male,Saudi Arabia,Security Forces Hospital - Riyadh,64
370,2018,From 20 to 29,Male,Saudi Arabia,Personal Contract,63
373,2016,Unknown,Male,Saudi Arabia,King Khalid National Guard Hospital,63
378,2019,From 30 to 39,Female,Saudi Arabia,Ministry of Defense / Personal Contract,62
380,2021,Unknown,Female,Saudi Arabia,Ministry of Defense / Personal Contract,62
381,2016,Unknown,Male,Saudi Arabia,King Abdulaziz University,62
384,2019,From 20 to 29,Female,Saudi Arabia,King Abdulaziz University,61
385,2021,From 30 to 39,Male,Saudi Arabia,Personal Contract,61
390,2019,Unknown,Male,Saudi Arabia,King Fahad National Guard Hospital,60
391,2018,Unknown,Male,Saudi Arabia,Security Forces Hospital - Riyadh,60
394,2019,From 20 to 29,Female,Saudi Arabia,Ministry of Defense / Personal Contract,60
395,2019,From 20 to 29,Male,Saudi Arabia,"King Abdulaziz Medical City for National Guard, Jeddah",60
396,2017,From 20 to 29,Male,Saudi Arabia,Personal Contract,60
397,2019,From 40 to 49,Male,Saudi Arabia,Ministry of Health,60
398,2018,From 30 to 39,Male,Saudi Arabia,Ministry of Defense / Personal Contract,60
405,2019,From 30 to 39,Male,Saudi Arabia,Ministry of Defense / Personal Contract,59
406,2018,Unknown,Female,Saudi Arabia,King Fahad National Guard Hospital,59
407,2016,From 20 to 29,Female,Saudi Arabia,Personal Contract,59
409,2021,From 20 to 29,Female,Saudi Arabia,King Saud Medical City in Riyadh,58
411,2018,Unknown,Male,Saudi Arabia,King Fahad Medical City in Riyadh,58
412,2020,Unknown,Female,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,58
417,2021,Unknown,Female,Saudi Arabia,Ministry of National Guard,57
422,2019,From 30 to 39,Male,Saudi Arabia,Ministry of Interior,55
425,2018,From 20 to 29,Female,Saudi Arabia,Ministry of National Guard,55
427,2020,From 30 to 39,Male,Saudi Arabia,Ministry of Defense / Personal Contract,55
428,2021,From 20 to 29,Female,Bahrain,Unknown,55
429,2017,From 20 to 29,Male,Saudi Arabia,Ministry of Health,55
430,2019,From 20 to 29,Male,Saudi Arabia,Ministry of Defense / Personal Contract,54
431,2020,Unknown,Female,Saudi Arabia,King Saud University,54
434,2019,From 20 to 29,Female,Saudi Arabia,"King Abdulaziz Medical City for National Guard, Jeddah",54
436,2016,From 20 to 29,Male,Saudi Arabia,Personal Contract,53
437,2019,Unknown,Female,Saudi Arabia,Ministry of Defense Medical Services,53
438,2018,Unknown,Male,Saudi Arabia,King Abdulaziz University,53
441,2017,From 30 to 39,Male,Saudi Arabia,Ministry of National Guard,52
443,2020,From 30 to 39,Female,Saudi Arabia,Ministry of Defense / Personal Contract,52
445,2018,From 20 to 29,Male,Saudi Arabia,Ministry of National Guard,51
446,2020,From 30 to 39,Female,Saudi Arabia,Personal Contract,51
448,2017,Unknown,Male,Saudi Arabia,Prince Mohammed Bin Abdulaziz Hospital,51
450,2020,From 20 to 29,Male,Saudi Arabia,King Abdulaziz University,51
452,2019,From 30 to 39,Male,Saudi Arabia,Ministry of National Guard,51
454,2016,Unknown,Female,Saudi Arabia,King Fahad Medical City in Riyadh,50
457,2017,From 30 to 39,Male,Saudi Arabia,Ministry of Defense / Personal Contract,50
458,2018,From 30 to 39,Female,Saudi Arabia,Ministry of Defense / Personal Contract,49
461,2021,From 30 to 39,Male,Saudi Arabia,Ministry of Defense Medical Services,49
462,2017,From 30 to 39,Female,Saudi Arabia,Ministry of Defense / Personal Contract,49
463,2016,Unknown,Male,Saudi Arabia,Imam Abdul Rahman Bin Faisal University,49
464,2020,From 40 to 49,Male,Saudi Arabia,Ministry of Health,48
466,2020,From 30 to 39,Male,Saudi Arabia,Ministry of Interior,48
467,2018,Unknown,Male,Saudi Arabia,Prince Mohammed Bin Abdulaziz Hospital,48
469,2018,From 20 to 29,Male,Saudi Arabia,King Abdulaziz Medical City for National Guard in Riyadh,48
473,2018,From 30 to 39,Male,Saudi Arabia,Ministry of National Guard,47
474,2019,Unknown,Male,Saudi Arabia,King Abdulaziz University,47
475,2018,Unknown,Female,Saudi Arabia,King Khalid National Guard Hospital,47
476,2017,Unknown,Female,Saudi Arabia,King Fahad Medical City in Riyadh,47
480,2020,Unknown,Female,Saudi Arabia,King Abdulaziz University,47
482,2016,Unknown,Male,Saudi Arabia,Prince Mohammed Bin Abdulaziz Hospital,47
483,2018,From 30 to 39,Male,Saudi Arabia,Ministry of Interior,47
485,2017,Unknown,Male,Saudi Arabia,King Khalid National Guard Hospital,46
488,2021,Unknown,Female,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,46
489,2021,From 30 to 39,Male,Saudi Arabia,Ministry of Defense / Personal Contract,46
493,2018,From 20 to 29,Female,Saudi Arabia,King Abdulaziz Medical City for National Guard in Riyadh,45
494,2019,Unknown,Male,Saudi Arabia,Security Forces Hospital - Riyadh,45
498,2022,From 30 to 39,Male,Saudi Arabia,Ministry of Health,44
500,2022,From 20 to 29,Male,Saudi Arabia,Personal Contract,44
509,2021,Unknown,Male,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,43
515,2016,From 30 to 39,Male,Saudi Arabia,Ministry of National Guard,43
518,2021,From 30 to 39,Female,Saudi Arabia,Personal Contract,41
521,2021,From 20 to 29,Female,Saudi Arabia,Ministry of Defense Medical Services,41
522,2021,From 30 to 39,Male,Saudi Arabia,Ministry of Interior,41
523,2020,From 20 to 29,Female,Bahrain,Unknown,41
524,2017,From 30 to 39,Female,Saudi Arabia,Ministry of National Guard,41
525,2016,From 30 to 39,Male,Saudi Arabia,Ministry of Defense / Personal Contract,41
527,2021,From 30 to 39,Female,Saudi Arabia,Ministry of Defense / Personal Contract,41
532,2016,From 30 to 39,Female,Saudi Arabia,Ministry of Defense / Personal Contract,40
536,2016,Unknown,Male,Saudi Arabia,Qassim University,39
545,2019,From 30 to 39,Female,Saudi Arabia,Ministry of National Guard,39
548,2021,Unknown,Male,Saudi Arabia,King Saud University,38
549,2016,From 20 to 29,Male,Saudi Arabia,Ministry of Health,38
550,2021,From 20 to 29,Male,Saudi Arabia,Ministry of Defense,38
552,2016,From 30 to 39,Female,Saudi Arabia,Ministry of National Guard,38
554,2019,Unknown,Male,Saudi Arabia,Prince Mohammed Bin Abdulaziz Hospital,37
558,2019,From 40 to 49,Female,Saudi Arabia,Ministry of Health,37
561,2021,From 20 to 29,Male,Saudi Arabia,King Saud Medical City in Riyadh,37
563,2018,From 30 to 39,Female,Saudi Arabia,Ministry of National Guard,37
564,2018,Unknown,Female,Saudi Arabia,King Fahad Medical City in Riyadh,37
565,2018,From 20 to 29,Male,Saudi Arabia,"King Abdulaziz Medical City for National Guard, Jeddah",36
567,2016,Unknown,Female,Saudi Arabia,"King Fahad Specialist Hospital, Damam",36
568,2020,Unknown,Male,Saudi Arabia,King Abdulaziz University,36
571,2021,Unknown,Female,Saudi Arabia,Unknown,36
577,2020,From 20 to 29,Male,Saudi Arabia,Personal Contract,35
581,2019,From 20 to 29,Male,Saudi Arabia,King Abdulaziz University,35
582,2021,From 20 to 29,Female,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,35
587,2020,From 20 to 29,Female,Saudi Arabia,Ministry of Defense Medical Services,34
589,2017,Unknown,Male,Saudi Arabia,Imam Abdul Rahman Bin Faisal University,34
590,2016,Unknown,Female,Saudi Arabia,"King Faisal Specialist Hospital & Research Centre, Jeddah",34
592,2018,Unknown,Male,Saudi Arabia,Ministry of Interior,34
596,2021,From 40 to 49,Male,Saudi Arabia,Ministry of Health,34
597,2019,Unknown,Male,Saudi Arabia,Ministry of Interior,34
598,2017,From 30 to 39,Male,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,34
601,2020,Unknown,Male,Saudi Arabia,Ministry of Interior,34
609,2020,From 30 to 39,Male,Saudi Arabia,Ministry of National Guard,33
611,2021,Unknown,Female,Saudi Arabia,King Saud University,33
613,2018,From 20 to 29,Female,Saudi Arabia,King Abdulaziz University,33
614,2022,From 20 to 29,Female,Saudi Arabia,Personal Contract,33
615,2020,Unknown,Female,Saudi Arabia,Ministry of Defense Medical Services,32
619,2017,Unknown,Male,Saudi Arabia,Ministry of Interior,32
620,2021,From 20 to 29,Male,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,32
622,2016,Unknown,Male,Yemen,Personal Contract,32
624,2021,From 20 to 29,Female,Saudi Arabia,"King Faisal Specialist Hospital & Research Centre, Jeddah",32
625,2019,Unknown,Female,Saudi Arabia,King Fahad National Guard Hospital,32
626,2018,Unknown,Male,Saudi Arabia,King Khalid National Guard Hospital,32
630,2016,Unknown,Female,Saudi Arabia,Imam Abdul Rahman Bin Faisal University,31
631,2020,From 20 to 29,Female,Saudi Arabia,Personal Contract,31
634,2020,Unknown,Male,Saudi Arabia,Prince Mohammed Bin Abdulaziz Hospital,30
637,2016,Unknown,Male,Saudi Arabia,"King Faisal Specialist Hospital & Research Centre, Jeddah",30
639,2016,From 30 to 39,Male,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,30
640,2018,From 30 to 39,Male,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,30
642,2018,From 20 to 29,Male,Saudi Arabia,Ministry of Defense / Personal Contract,30
648,2017,From 30 to 39,Female,Saudi Arabia,King Abdulaziz University,29
650,2017,Unknown,Female,Saudi Arabia,"King Faisal Specialist Hospital & Research Centre, Jeddah",29
651,2017,Unknown,Male,Saudi Arabia,Qassim University,29
657,2017,Unknown,Male,Saudi Arabia,King Khalid University,29
662,2017,Unknown,Female,Saudi Arabia,Imam Abdul Rahman Bin Faisal University,29
667,2016,Unknown,Female,Sudan,Ministry of Health,29
668,2020,From 20 to 29,Male,Saudi Arabia,Ministry of Defense,29
669,2020,From 20 to 29,Female,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,29
670,2016,Unknown,Male,Saudi Arabia,"King Fahad Specialist Hospital, Damam",29
672,2020,From 20 to 29,Female,Saudi Arabia,King Saud Medical City in Riyadh,29
674,2019,From 20 to 29,Female,Saudi Arabia,Ministry of Defense Medical Services,29
679,2018,From 20 to 29,Female,Saudi Arabia,Ministry of Defense / Personal Contract,28
682,2020,From 40 to 49,Female,Saudi Arabia,Ministry of Health,28
684,2019,Unknown,Female,Sudan,Ministry of Health,28
686,2019,From 20 to 29,Female,Bahrain,Unknown,28
691,2017,From 30 to 39,Female,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,28
692,2016,Unknown,Male,Saudi Arabia,"King Abdulaziz Hospital for National Guards, Al Hassa",28
697,2017,Unknown,Male,Saudi Arabia,King Abdulaziz Medical City for National Guard in Riyadh,27
700,2021,From 20 to 29,Male,Saudi Arabia,Personal Contract,27
701,2017,Unknown,Female,Saudi Arabia,"King Fahad Specialist Hospital, Damam",27
703,2016,Unknown,Male,Saudi Arabia,King Khalid University,27
704,2022,From 30 to 39,Female,Saudi Arabia,Ministry of Health,27
706,2017,Unknown,Male,Yemen,Personal Contract,27
708,2019,Unknown,Male,Saudi Arabia,King Fahad Medical City in Riyadh,27
710,2018,From 30 to 39,Female,Saudi Arabia,King Abdulaziz University,27
713,2021,Unknown,Male,Saudi Arabia,King Fahad Medical City in Riyadh,26
716,2016,From 30 to 39,Female,Saudi Arabia,King Abdulaziz University,26
719,2021,Unknown,Male,Saudi Arabia,Ministry of Defense,26
720,2020,From 20 to 29,Female,Saudi Arabia,"King Faisal Specialist Hospital & Research Centre, Jeddah",26
721,2016,Unknown,Female,Saudi Arabia,Security Forces Hospital - Riyadh,26
725,2017,Unknown,Male,Saudi Arabia,"King Fahad Specialist Hospital, Damam",26
726,2021,From 20 to 29,Male,Saudi Arabia,Ministry of Defense / Land Forces,26
730,2018,Unknown,Male,Saudi Arabia,King Khalid University,26
734,2018,Unknown,Female,Sudan,Ministry of Health,25
736,2020,From 20 to 29,Male,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,25
737,2020,From 20 to 29,Male,Saudi Arabia,King Saud Medical City in Riyadh,25
739,2016,Unknown,Male,Saudi Arabia,King Abdulaziz Medical City for National Guard in Riyadh,25
741,2017,From 30 to 39,Female,Saudi Arabia,Ministry of Defense Medical Services,25
745,2021,From 20 to 29,Male,Saudi Arabia,Ministry of Interior,25
746,2017,Unknown,Male,Saudi Arabia,"King Abdulaziz Hospital for National Guards, Al Hassa",25
750,2018,From 20 to 29,Female,Saudi Arabia,"King Abdulaziz Medical City for National Guard, Jeddah",24
751,2016,Unknown,Male,Saudi Arabia,Prince Sultan Military Medical City,24
755,2019,From 20 to 29,Male,Saudi Arabia,Ministry of Defense,24
758,2019,From 20 to 29,Female,Saudi Arabia,"King Faisal Specialist Hospital & Research Centre, Jeddah",24
759,2016,Unknown,Male,Saudi Arabia,King Abdullah Medical City in Mecca,24
762,2017,Unknown,Male,Saudi Arabia,Majmaah University,24
763,2020,Unknown,Male,Saudi Arabia,King Fahad Medical City in Riyadh,24
764,2016,From 30 to 39,Female,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,24
765,2019,From 30 to 39,Female,Saudi Arabia,King Abdulaziz University,24
767,2018,Unknown,Male,Saudi Arabia,King Abdulaziz Medical City for National Guard in Riyadh,24
768,2017,Unknown,Female,Sudan,Ministry of Health,24
771,2021,From 20 to 29,Female,Saudi Arabia,"Al Noor Specialist Hospital, Mecca",24
775,2016,Unknown,Male,Saudi Arabia,Unknown,23
782,2018,Unknown,Male,Saudi Arabia,Imam Abdul Rahman Bin Faisal University,23
783,2021,Unknown,Male,Saudi Arabia,Prince Mohammed Bin Abdulaziz Hospital,23
785,2016,From 30 to 39,Female,Saudi Arabia,Ministry of Defense Medical Services,23
786,2021,Unknown,Female,Saudi Arabia,King Abdulaziz University,23
791,2019,From 30 to 39,Male,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,23
