,Academic_Year,Gender_En,Nationality_Name_En,Current_Medical_Field_En,City_Name_En,Longitude,Latitude,Number_of_Trainees
76,2017,Male,Saudi Arabia,Medicine and Surgery,Makkah,39.857912,21.389082,304
77,2017,Female,Saudi Arabia,Medicine and Surgery,Makkah,39.857912,21.389082,302
78,2021,Female,Saudi Arabia,Dentistry and Related Specialties,Riyadh,46.675296,24.713552,300
79,2021,Female,Saudi Arabia,Medicine and Surgery,Madinah,39.569184,24.524654,299
81,2019,Female,Saudi Arabia,Medicine and Surgery,Dammam,50.088794,26.420683,297
84,2021,Male,Saudi Arabia,Medicine and Surgery,Abha,42.511724,18.246468,290
85,2019,Male,Saudi Arabia,Medicine and Surgery,Madinah,39.569184,24.524654,287
87,2018,Male,Saudi Arabia,Medicine and Surgery,Taif,40.424819,21.284078,286
88,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Riyadh,46.675296,24.713552,283
89,2021,Male,Saudi Arabia,Medicine and Surgery,Dammam,50.088794,26.420683,282
90,2018,Female,Saudi Arabia,Medicine and Surgery,Dammam,50.088794,26.420683,279
91,2021,Female,Saudi Arabia,Medicine and Surgery,Taif,40.424819,21.284078,272
93,2020,Male,Saudi Arabia,Medicine and Surgery,Abha,42.511724,18.246468,264
94,2020,Male,Saudi Arabia,Medicine and Surgery,Dammam,50.088794,26.420683,263
95,2020,Female,Saudi Arabia,Medicine and Surgery,Madinah,39.569184,24.524654,262
96,2018,Male,Saudi Arabia,Medicine and Surgery,Madinah,39.569184,24.524654,260
97,2017,Female,Saudi Arabia,Medicine and Surgery,Dammam,50.088794,26.420683,252
98,2019,Male,Saudi Arabia,Medicine and Surgery,Dammam,50.088794,26.420683,250
99,2020,Male,Saudi Arabia,Dentistry and Related Specialties,Riyadh,46.675296,24.713552,249
100,2020,Female,Saudi Arabia,Dentistry and Related Specialties,Riyadh,46.675296,24.713552,249
101,2018,Male,Saudi Arabia,Medicine and Surgery,Dammam,50.088794,26.420683,247
102,2019,Male,Saudi Arabia,Medicine and Surgery,Abha,42.511724,18.246468,245
103,2020,Female,Saudi Arabia,Medicine and Surgery,Taif,40.424819,21.284078,243
104,2021,Male,Saudi Arabia,Medicine and Surgery,Al-Ahsa,49.365315,21.91133,242
106,2019,Female,Saudi Arabia,Medicine and Surgery,Madinah,39.569184,24.524654,240
107,2016,Female,Saudi Arabia,Medicine and Surgery,Makkah,39.857912,21.389082,236
110,2019,Male,Saudi Arabia,Dentistry and Related Specialties,Riyadh,46.675296,24.713552,233
111,2016,Male,Saudi Arabia,Medicine and Surgery,Makkah,39.857912,21.389082,233
112,2017,Male,Saudi Arabia,Medicine and Surgery,Taif,40.424819,21.284078,232
113,2018,Male,Saudi Arabia,Medicine and Surgery,Abha,42.511724,18.246468,228
114,2021,Female,Saudi Arabia,Medicine and Surgery,Al-Ahsa,49.365315,21.91133,228
115,2017,Male,Saudi Arabia,Medicine and Surgery,Dammam,50.088794,26.420683,225
116,2020,Female,Saudi Arabia,Medicine and Surgery,Al-Ahsa,49.365315,21.91133,224
117,2020,Male,Saudi Arabia,Medicine and Surgery,Al-Ahsa,49.365315,21.91133,221
118,2017,Male,Saudi Arabia,Medicine and Surgery,Madinah,39.569184,24.524654,208
119,2018,Female,Saudi Arabia,Medicine and Surgery,Madinah,39.569184,24.524654,208
120,2019,Female,Saudi Arabia,Medicine and Surgery,Taif,40.424819,21.284078,204
121,2019,Female,Saudi Arabia,Medicine and Surgery,Al-Ahsa,49.365315,21.91133,202
122,2017,Male,Saudi Arabia,Medicine and Surgery,Abha,42.511724,18.246468,199
123,2016,Female,Saudi Arabia,Medicine and Surgery,Dammam,50.088794,26.420683,197
124,2018,Male,Saudi Arabia,Dentistry and Related Specialties,Riyadh,46.675296,24.713552,196
125,2016,Male,Saudi Arabia,Medicine and Surgery,Dammam,50.088794,26.420683,196
126,2019,Male,Saudi Arabia,Medicine and Surgery,Al-Ahsa,49.365315,21.91133,195
127,2019,Female,Saudi Arabia,Dentistry and Related Specialties,Riyadh,46.675296,24.713552,191
129,2018,Female,Saudi Arabia,Medicine and Surgery,Al-Ahsa,49.365315,21.91133,184
130,2021,Male,Saudi Arabia,Medicine and Surgery,Buraidah,43.981812,26.359231,183
131,2017,Male,Saudi Arabia,Dentistry and Related Specialties,Riyadh,46.675296,24.713552,181
134,2021,Male,Saudi Arabia,Medicine and Surgery,Tabuk,36.566191,28.383508,175
135,2016,Male,Saudi Arabia,Medicine and Surgery,Madinah,39.569184,24.524654,172
136,2021,Male,Saudi Arabia,Medicine and Surgery,Jazan,42.570567,16.889359,172
137,2021,Male,Saudi Arabia,Medicine and Surgery,Dhahran,50.039302,26.236125,171
138,2018,Male,Saudi Arabia,Medicine and Surgery,Al-Ahsa,49.365315,21.91133,169
140,2016,Male,Saudi Arabia,Medicine and Surgery,Taif,40.424819,21.284078,167
141,2018,Female,Saudi Arabia,Medicine and Surgery,Taif,40.424819,21.284078,167
144,2021,Female,Saudi Arabia,Medicine and Surgery,Dhahran,50.039302,26.236125,165
145,2020,Female,Saudi Arabia,Medicine and Surgery,Khobar,50.080072,26.182911,164
146,2021,Male,Saudi Arabia,Medicine and Surgery,Khobar,50.080072,26.182911,161
147,2016,Male,Saudi Arabia,Medicine and Surgery,Abha,42.511724,18.246468,160
148,2021,Male,Saudi Arabia,Medicine and Surgery,Khamis Mushait,42.766233,18.309339,160
150,2017,Female,Saudi Arabia,Medicine and Surgery,Madinah,39.569184,24.524654,159
151,2020,Male,Saudi Arabia,Medicine and Surgery,Khamis Mushait,42.766233,18.309339,158
152,2021,Female,Saudi Arabia,Medicine and Surgery,Abha,42.511724,18.246468,158
153,2020,Female,Saudi Arabia,Medicine and Surgery,Dhahran,50.039302,26.236125,158
155,2020,Male,Saudi Arabia,Medicine and Surgery,Jazan,42.570567,16.889359,157
156,2017,Female,Saudi Arabia,Medicine and Surgery,Al-Ahsa,49.365315,21.91133,157
157,2020,Male,Saudi Arabia,Medicine and Surgery,Buraidah,43.981812,26.359231,156
158,2021,Female,Saudi Arabia,Medicine and Surgery,Khobar,50.080072,26.182911,156
159,2016,Male,Saudi Arabia,Dentistry and Related Specialties,Riyadh,46.675296,24.713552,153
162,2019,Female,Saudi Arabia,Medicine and Surgery,Khobar,50.080072,26.182911,150
164,2020,Male,Saudi Arabia,Medicine and Surgery,Khobar,50.080072,26.182911,148
165,2018,Female,Saudi Arabia,Dentistry and Related Specialties,Riyadh,46.675296,24.713552,147
166,2020,Male,Saudi Arabia,Medicine and Surgery,Tabuk,36.566191,28.383508,146
167,2022,Female,Saudi Arabia,Medicine and Surgery,Jeddah,39.192505,21.485811,146
168,2020,Male,Saudi Arabia,Medicine and Surgery,Dhahran,50.039302,26.236125,145
169,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown - Saudi Arabia,45.079162,23.885942,143
171,2018,Female,Saudi Arabia,Medicine and Surgery,Khobar,50.080072,26.182911,143
172,2019,Male,Saudi Arabia,Medicine and Surgery,Khobar,50.080072,26.182911,142
173,2019,Male,Saudi Arabia,Medicine and Surgery,Khamis Mushait,42.766233,18.309339,139
174,2021,Female,Saudi Arabia,Dentistry and Related Specialties,Jeddah,39.192505,21.485811,139
175,2022,Male,Saudi Arabia,Medicine and Surgery,Jeddah,39.192505,21.485811,138
178,2017,Female,Saudi Arabia,Dentistry and Related Specialties,Riyadh,46.675296,24.713552,135
180,2021,Female,Saudi Arabia,Nursing and Midwifery,Riyadh,46.675296,24.713552,134
181,2016,Female,Saudi Arabia,Medicine and Surgery,Madinah,39.569184,24.524654,134
182,2019,Male,Saudi Arabia,Medicine and Surgery,Buraidah,43.981812,26.359231,133
184,2020,Female,Saudi Arabia,Medicine and Surgery,Abha,42.511724,18.246468,133
186,2021,Female,Saudi Arabia,Medicine and Surgery,Jazan,42.570567,16.889359,131
187,2019,Male,Saudi Arabia,Medicine and Surgery,Jazan,42.570567,16.889359,130
189,2017,Female,Saudi Arabia,Medicine and Surgery,Khobar,50.080072,26.182911,127
190,2018,Male,Saudi Arabia,Medicine and Surgery,Khobar,50.080072,26.182911,125
191,2017,Male,Saudi Arabia,Medicine and Surgery,Al-Ahsa,49.365315,21.91133,125
193,2020,Female,Saudi Arabia,Medicine and Surgery,Jazan,42.570567,16.889359,124
194,2019,Female,Saudi Arabia,Medicine and Surgery,Abha,42.511724,18.246468,124
196,2019,Female,Saudi Arabia,Medicine and Surgery,Dhahran,50.039302,26.236125,123
197,2018,Male,Saudi Arabia,Medicine and Surgery,Khamis Mushait,42.766233,18.309339,123
198,2019,Male,Saudi Arabia,Medicine and Surgery,Dhahran,50.039302,26.236125,123
200,2016,Male,Saudi Arabia,Medicine and Surgery,Khobar,50.080072,26.182911,122
202,2018,Male,Saudi Arabia,Medicine and Surgery,Buraidah,43.981812,26.359231,120
203,2020,Female,Saudi Arabia,Nursing and Midwifery,Riyadh,46.675296,24.713552,120
204,2017,Female,Saudi Arabia,Medicine and Surgery,Taif,40.424819,21.284078,120
205,2021,Female,Saudi Arabia,Medicine and Surgery,Tabuk,36.566191,28.383508,119
207,2017,Male,Saudi Arabia,Medicine and Surgery,Khobar,50.080072,26.182911,118
208,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown - Saudi Arabia,45.079162,23.885942,117
212,2019,Male,Saudi Arabia,Medicine and Surgery,Tabuk,36.566191,28.383508,111
214,2018,Female,Saudi Arabia,Medicine and Surgery,Abha,42.511724,18.246468,111
215,2016,Male,Saudi Arabia,Medicine and Surgery,Al-Ahsa,49.365315,21.91133,110
218,2016,Female,Saudi Arabia,Medicine and Surgery,Al-Ahsa,49.365315,21.91133,108
220,2021,Male,Saudi Arabia,Medicine and Surgery,Albahah,41.471273,20.021741,107
221,2018,Male,Saudi Arabia,Medicine and Surgery,Jazan,42.570567,16.889359,106
222,2019,Female,Saudi Arabia,Medicine and Surgery,Jazan,42.570567,16.889359,106
226,2021,Female,Saudi Arabia,Medicine and Surgery,Alqatif  ,49.998236,26.576492,104
227,2020,Female,Saudi Arabia,Dentistry and Related Specialties,Jeddah,39.192505,21.485811,104
229,2020,Female,Saudi Arabia,Medicine and Surgery,Alqatif  ,49.998236,26.576492,104
237,2020,Female,Saudi Arabia,Medicine and Surgery,Tabuk,36.566191,28.383508,101
239,2018,Male,Saudi Arabia,Medicine and Surgery,Dhahran,50.039302,26.236125,101
240,2019,Female,Saudi Arabia,Medicine and Surgery,Alqatif  ,49.998236,26.576492,101
242,2016,Female,Saudi Arabia,Medicine and Surgery,Khobar,50.080072,26.182911,100
245,2021,Male,Saudi Arabia,Medicine and Surgery,Hofuf,49.588765,25.380026,99
248,2017,Male,Saudi Arabia,Medicine and Surgery,Khamis Mushait,42.766233,18.309339,98
250,2021,Female,Saudi Arabia,Medicine and Surgery,Buraidah,43.981812,26.359231,96
251,2021,Male,Saudi Arabia,Medicine and Surgery,Najran,44.228944,17.565604,96
254,2018,Female,Saudi Arabia,Medicine and Surgery,Alqatif  ,49.998236,26.576492,95
256,2016,Female,Saudi Arabia,Dentistry and Related Specialties,Riyadh,46.675296,24.713552,95
258,2019,Female,Saudi Arabia,Medicine and Surgery,Unknown - Saudi Arabia,45.079162,23.885942,94
259,2017,Female,Saudi Arabia,Medicine and Surgery,Abha,42.511724,18.246468,94
260,2018,Female,Saudi Arabia,Medicine and Surgery,Dhahran,50.039302,26.236125,94
263,2020,Male,Saudi Arabia,Medicine and Surgery,Hofuf,49.588765,25.380026,93
264,2020,Male,Saudi Arabia,Medicine and Surgery,Albahah,41.471273,20.021741,93
266,2018,Female,Saudi Arabia,Medicine and Surgery,Unknown - Saudi Arabia,45.079162,23.885942,92
268,2018,Female,Saudi Arabia,Medicine and Surgery,Jazan,42.570567,16.889359,91
270,2021,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,46.675296,24.713552,89
272,2019,Female,Saudi Arabia,Dentistry and Related Specialties,Jeddah,39.192505,21.485811,87
276,2019,Female,Saudi Arabia,Nursing and Midwifery,Riyadh,46.675296,24.713552,86
277,2016,Male,Saudi Arabia,Medicine and Surgery,Khamis Mushait,42.766233,18.309339,86
286,2019,Male,Saudi Arabia,Medicine and Surgery,Hofuf,49.588765,25.380026,82
287,2018,Male,Saudi Arabia,Medicine and Surgery,Hofuf,49.588765,25.380026,81
291,2019,Female,Saudi Arabia,Medicine and Surgery,Tabuk,36.566191,28.383508,80
292,2019,Male,Saudi Arabia,Medicine and Surgery,Albahah,41.471273,20.021741,80
295,2018,Male,Saudi Arabia,Medicine and Surgery,Tabuk,36.566191,28.383508,79
296,2017,Female,Saudi Arabia,Medicine and Surgery,Unknown - Saudi Arabia,45.079162,23.885942,79
297,2017,Female,Saudi Arabia,Medicine and Surgery,Dhahran,50.039302,26.236125,79
298,2017,Female,Saudi Arabia,Medicine and Surgery,Alqatif  ,49.998236,26.576492,79
299,2020,Female,Saudi Arabia,Medicine and Surgery,Buraidah,43.981812,26.359231,79
300,2016,Male,Yemen,Medicine and Surgery,Riyadh,46.675296,24.713552,79
301,2016,Female,Saudi Arabia,Medicine and Surgery,Unknown - Saudi Arabia,45.079162,23.885942,79
303,2016,Female,Saudi Arabia,Medicine and Surgery,Abha,42.511724,18.246468,79
305,2017,Male,Saudi Arabia,Medicine and Surgery,Buraidah,43.981812,26.359231,78
307,2021,Male,Saudi Arabia,Medicine and Surgery,Manama,50.5831,26.2167,77
311,2017,Male,Saudi Arabia,Medicine and Surgery,Jazan,42.570567,16.889359,76
313,2017,Female,Saudi Arabia,Dentistry and Related Specialties,Jeddah,39.192505,21.485811,76
318,2020,Male,Saudi Arabia,Medicine and Surgery,Najran,44.228944,17.565604,75
320,2021,Female,Bahrain,Medicine and Surgery,Manama,50.5831,26.2167,73
324,2016,Female,Sudan,Medicine and Surgery,Riyadh,46.675296,24.713552,72
325,2021,Female,Saudi Arabia,Medicine and Surgery,Khamis Mushait,42.766233,18.309339,71
326,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Jeddah,39.192505,21.485811,71
332,2018,Male,Saudi Arabia,Medicine and Surgery,Albahah,41.471273,20.021741,70
333,2017,Male,Saudi Arabia,Medicine and Surgery,Dhahran,50.039302,26.236125,70
336,2017,Female,Sudan,Medicine and Surgery,Riyadh,46.675296,24.713552,69
337,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown - Saudi Arabia,45.079162,23.885942,69
340,2016,Male,Saudi Arabia,Dentistry and Related Specialties,Jeddah,39.192505,21.485811,69
341,2018,Female,Saudi Arabia,Dentistry and Related Specialties,Jeddah,39.192505,21.485811,69
342,2020,Female,Saudi Arabia,Medicine and Surgery,Khamis Mushait,42.766233,18.309339,69
344,2017,Male,Yemen,Medicine and Surgery,Riyadh,46.675296,24.713552,68
347,2021,Male,Saudi Arabia,Medicine and Surgery,Alqatif  ,49.998236,26.576492,68
351,2019,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,46.675296,24.713552,67
353,2017,Male,Saudi Arabia,Medicine and Surgery,Hofuf,49.588765,25.380026,67
354,2016,Female,Saudi Arabia,Medicine and Surgery,Taif,40.424819,21.284078,67
356,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown - Saudi Arabia,45.079162,23.885942,66
357,2020,Female,Bahrain,Medicine and Surgery,Manama,50.5831,26.2167,66
360,2020,Male,Saudi Arabia,Nursing and Midwifery,Riyadh,46.675296,24.713552,65
361,2019,Female,Saudi Arabia,Medicine and Surgery,Khamis Mushait,42.766233,18.309339,65
364,2020,Male,Saudi Arabia,Medicine and Surgery,Alqatif  ,49.998236,26.576492,65
367,2019,Male,Saudi Arabia,Nursing and Midwifery,Riyadh,46.675296,24.713552,64
369,2019,Female,Saudi Arabia,Medicine and Surgery,Buraidah,43.981812,26.359231,64
371,2018,Female,Saudi Arabia,Nursing and Midwifery,Riyadh,46.675296,24.713552,64
373,2016,Male,Saudi Arabia,Medicine and Surgery,Buraidah,43.981812,26.359231,63
375,2017,Female,Saudi Arabia,Medicine and Surgery,Jazan,42.570567,16.889359,63
378,2016,Female,Saudi Arabia,Dentistry and Related Specialties,Jeddah,39.192505,21.485811,62
381,2021,Female,Saudi Arabia,Nursing and Midwifery,Jeddah,39.192505,21.485811,62
382,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown - Saudi Arabia,45.079162,23.885942,62
383,2020,Male,Saudi Arabia,Dentistry and Related Specialties,Jeddah,39.192505,21.485811,61
388,2017,Male,Saudi Arabia,Dentistry and Related Specialties,Jeddah,39.192505,21.485811,59
390,2020,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,46.675296,24.713552,59
394,2016,Female,Saudi Arabia,Medicine and Surgery,Alqatif  ,49.998236,26.576492,58
395,2017,Male,Saudi Arabia,Medicine and Surgery,Tabuk,36.566191,28.383508,58
401,2018,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,46.675296,24.713552,57
402,2018,Female,Saudi Arabia,Medicine and Surgery,Tabuk,36.566191,28.383508,56
403,2019,Male,Saudi Arabia,Dentistry and Related Specialties,Jeddah,39.192505,21.485811,56
404,2018,Male,Saudi Arabia,Medicine and Surgery,Unknown - Saudi Arabia,45.079162,23.885942,56
410,2018,Female,Sudan,Medicine and Surgery,Riyadh,46.675296,24.713552,54
413,2019,Male,Saudi Arabia,Medicine and Surgery,Alqatif  ,49.998236,26.576492,54
414,2016,Male,Saudi Arabia,Medicine and Surgery,Dhahran,50.039302,26.236125,54
415,2019,Male,Saudi Arabia,Medicine and Surgery,Najran,44.228944,17.565604,53
417,2016,Female,Saudi Arabia,Medicine and Surgery,Dhahran,50.039302,26.236125,53
418,2020,Female,Saudi Arabia,Nursing and Midwifery,Jeddah,39.192505,21.485811,53
419,2018,Female,Saudi Arabia,Medicine and Surgery,Khamis Mushait,42.766233,18.309339,52
421,2020,Male,Saudi Arabia,Medicine and Surgery,Manama,50.5831,26.2167,52
424,2018,Female,Saudi Arabia,Medicine and Surgery,Buraidah,43.981812,26.359231,51
426,2016,Male,Sudan,Medicine and Surgery,Riyadh,46.675296,24.713552,51
428,2016,Male,Saudi Arabia,Medicine and Surgery,Jazan,42.570567,16.889359,51
430,2017,Male,Sudan,Medicine and Surgery,Riyadh,46.675296,24.713552,50
431,2016,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,46.675296,24.713552,50
432,2018,Male,Yemen,Medicine and Surgery,Riyadh,46.675296,24.713552,50
434,2017,Male,Saudi Arabia,Medicine and Surgery,Albahah,41.471273,20.021741,49
442,2017,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,46.675296,24.713552,48
443,2018,Male,Saudi Arabia,Dentistry and Related Specialties,Jeddah,39.192505,21.485811,48
444,2016,Male,Saudi Arabia,Medicine and Surgery,Hofuf,49.588765,25.380026,48
445,2018,Male,Saudi Arabia,Nursing and Midwifery,Riyadh,46.675296,24.713552,48
447,2021,Male,Saudi Arabia,Nursing and Midwifery,Riyadh,46.675296,24.713552,47
449,2017,Female,Saudi Arabia,Medicine and Surgery,Khamis Mushait,42.766233,18.309339,47
450,2019,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,46.675296,24.713552,47
451,2019,Female,Bahrain,Medicine and Surgery,Manama,50.5831,26.2167,47
452,2019,Male,Yemen,Medicine and Surgery,Riyadh,46.675296,24.713552,46
454,2022,Female,Saudi Arabia,Medicine and Surgery,Dammam,50.088794,26.420683,46
455,2021,Male,Saudi Arabia,Medicine and Surgery,Hail,41.720824,27.51141,46
461,2022,Male,Saudi Arabia,Medicine and Surgery,Makkah,39.857912,21.389082,45
466,2018,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,46.675296,24.713552,44
468,2018,Male,Saudi Arabia,Medicine and Surgery,Alqatif  ,49.998236,26.576492,44
469,2020,Male,Saudi Arabia,Medicine and Surgery,Hail,41.720824,27.51141,44
472,2019,Male,Saudi Arabia,Medicine and Surgery,Manama,50.5831,26.2167,44
477,2018,Male,Sudan,Medicine and Surgery,Riyadh,46.675296,24.713552,43
478,2017,Female,Saudi Arabia,Medicine and Surgery,Tabuk,36.566191,28.383508,43
481,2021,Female,Saudi Arabia,Medicine and Surgery,Jubail,49.568742,26.959771,42
487,2019,Female,Sudan,Medicine and Surgery,Riyadh,46.675296,24.713552,41
490,2021,Female,Saudi Arabia,Medicine and Surgery,Hofuf,49.588765,25.380026,40
492,2021,Male,Saudi Arabia,Medicine and Surgery,Jubail,49.568742,26.959771,40
495,2019,Female,Saudi Arabia,Medicine and Surgery,Hofuf,49.588765,25.380026,39
501,2017,Male,Saudi Arabia,Medicine and Surgery,Unknown - Saudi Arabia,45.079162,23.885942,38
503,2016,Female,Saudi Arabia,Medicine and Surgery,Jazan,42.570567,16.889359,38
506,2020,Female,Saudi Arabia,Medicine and Surgery,Hofuf,49.588765,25.380026,37
508,2017,Female,Saudi Arabia,Nursing and Midwifery,Riyadh,46.675296,24.713552,37
512,2017,Female,Saudi Arabia,Medicine and Surgery,Buraidah,43.981812,26.359231,37
514,2018,Male,Saudi Arabia,Medicine and Surgery,Najran,44.228944,17.565604,37
516,2020,Female,Saudi Arabia,Medicine and Surgery,Jubail,49.568742,26.959771,36
517,2020,Male,Saudi Arabia,Medicine and Surgery,Jubail,49.568742,26.959771,36
520,2021,Female,Saudi Arabia,Medicine and Surgery,Hail,41.720824,27.51141,36
521,2016,Male,Saudi Arabia,Medicine and Surgery,Tabuk,36.566191,28.383508,36
527,2017,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,46.675296,24.713552,35
531,2016,Female,Saudi Arabia,Medicine and Surgery,Buraidah,43.981812,26.359231,35
532,2020,Male,Saudi Arabia,Medicine and Surgery,Yanbu,38.155484,24.056528,35
534,2019,Male,Saudi Arabia,Medicine and Surgery,Hail,41.720824,27.51141,35
538,2016,Male,Saudi Arabia,Medicine and Surgery,Albahah,41.471273,20.021741,34
540,2021,Female,Saudi Arabia,Medicine and Surgery,Manama,50.5831,26.2167,34
541,2016,Female,Saudi Arabia,Medicine and Surgery,Khamis Mushait,42.766233,18.309339,34
542,2021,Male,Saudi Arabia,Medicine and Surgery,Yanbu,38.155484,24.056528,34
545,2021,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,46.675296,24.713552,34
546,2016,Male,Saudi Arabia,Medicine and Surgery,Unknown - Saudi Arabia,45.079162,23.885942,34
551,2020,Male,Saudi Arabia,Laboratories and Medical Technology,Riyadh,46.675296,24.713552,34
555,2022,Male,Saudi Arabia,Medicine and Surgery,Dammam,50.088794,26.420683,33
558,2021,Male,Saudi Arabia,Laboratories and Medical Technology,Riyadh,46.675296,24.713552,33
562,2019,Female,Saudi Arabia,Medicine and Surgery,Jubail,49.568742,26.959771,33
563,2017,Male,Saudi Arabia,Medicine and Surgery,Alqatif  ,49.998236,26.576492,33
564,2018,Female,Saudi Arabia,Medicine and Surgery,Arar,41.059564,30.959945,33
569,2019,Female,Saudi Arabia,Medicine and Surgery,Arar,41.059564,30.959945,32
570,2020,Male,Yemen,Medicine and Surgery,Riyadh,46.675296,24.713552,32
572,2020,Female,Saudi Arabia,Medicine and Surgery,Hail,41.720824,27.51141,32
574,2018,Female,Bahrain,Medicine and Surgery,Manama,50.5831,26.2167,31
579,2021,Male,Saudi Arabia,Medicine and Surgery,Alkharj  ,47.324788,24.157604,31
581,2021,Female,Saudi Arabia,Nursing and Midwifery,Makkah,39.857912,21.389082,30
582,2020,Female,Saudi Arabia,Medicine and Surgery,Arar,41.059564,30.959945,30
583,2021,Female,Saudi Arabia,Medicine and Surgery,Yanbu,38.155484,24.056528,30
587,2020,Female,Yemen,Medicine and Surgery,Jeddah,39.192505,21.485811,30
588,2018,Male,Saudi Arabia,Medicine and Surgery,Hail,41.720824,27.51141,30
592,2018,Male,Saudi Arabia,Medicine and Surgery,Manama,50.5831,26.2167,29
593,2021,Male,Bahrain,Medicine and Surgery,Manama,50.5831,26.2167,29
