,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Current_Speciality_Name_En,Number_of_Trainees
37,2020,Taif,MOH JointProgram for Family Medicine -Taif,Family Medicine,88
38,2019,Jeddah,JointProgram for Family Medicine in Jeddah,Family Medicine,87
39,2017,Madinah,JointProgram for Family Medicine in Madinah,Family Medicine,87
40,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Internal Medicine,86
41,2020,Riyadh,King Saud Medical City in Riyadh,Pediatrics,85
42,2018,Riyadh,King Fahad Medical City in Riyadh,Family Medicine,85
43,2020,Jazan,General Directorate of Health Affairs in Jazan Region,Family Medicine,85
44,2016,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Family Medicine,85
45,2021,Jazan,General Directorate of Health Affairs in Jazan Region,Family Medicine,84
46,2020,Riyadh,King Fahad Medical City in Riyadh,Pediatrics,84
47,2018,Jazan,General Directorate of Health Affairs in Jazan Region,Family Medicine,84
48,2021,Riyadh,King Saud Medical City in Riyadh,Pediatrics,84
49,2019,Jazan,General Directorate of Health Affairs in Jazan Region,Family Medicine,83
50,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatrics,83
51,2021,Jeddah,King Abdulaziz University Hospital in Jeddah,Internal Medicine,83
52,2019,Makkah,JointProgram for Family Medicine in Makkah,Family Medicine,81
53,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Internal Medicine,81
54,2019,Jeddah,The program of the Ministry of Health in Jeddah,Family Medicine,80
55,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Family Medicine,80
57,2021,Riyadh,King Fahad Medical City in Riyadh,Internal Medicine,79
58,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Internal Medicine,79
59,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Emergency Medicine,78
60,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Internal Medicine,78
61,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Internal Medicine,77
62,2021,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Family Medicine,76
63,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Internal Medicine,76
64,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Emergency Medicine,76
65,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Family Medicine,76
67,2020,Madinah,Maternity and Children Hospital in Medina,Pediatrics,75
68,2021,Riyadh,King Fahad Medical City in Riyadh,Pediatrics,75
69,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,Family Medicine,75
70,2021,Dammam,Eastern Health Cluster,Pediatrics,75
71,2019,Riyadh,King Saud Medical City in Riyadh,Pediatrics,75
72,2020,Madinah,Joint Family Medicine Program - Medina,Family Medicine,75
73,2021,Madinah,Joint Family Medicine Program - Medina,Family Medicine,75
75,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Family Medicine,74
76,2016,Makkah,JointProgram for Family Medicine in Makkah,Family Medicine,74
77,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Emergency Medicine,73
78,2021,Abha,General Directorate of Health Affairs in Aseer Region,Family Medicine,73
79,2020,Riyadh,Medical City of King Saud University in Riyadh,Internal Medicine,73
80,2017,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Family Medicine,72
81,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,Internal Medicine,72
82,2018,Abha,General Directorate of Health Affairs in Aseer Region,Family Medicine,72
83,2021,Abha,General Directorate of Health Affairs in Aseer Region,Pediatrics,71
85,2019,Abha,General Directorate of Health Affairs in Aseer Region,Family Medicine,69
86,2020,Abha,General Directorate of Health Affairs in Aseer Region,Family Medicine,69
87,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Emergency Medicine,68
88,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Family Medicine,68
89,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatrics,68
90,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Family Medicine,68
91,2017,Jazan,General Directorate of Health Affairs in Jazan Region,Family Medicine,68
92,2020,Riyadh,King Fahad Medical City in Riyadh,Internal Medicine,68
94,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Internal Medicine,67
95,2020,Buraidah,The program of the Ministry of Health in Al-Qassim,Family Medicine,67
96,2019,Madinah,JointProgram for Family Medicine in Madinah,Family Medicine,66
98,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Family Medicine,66
99,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Emergency Medicine,65
100,2020,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Family Medicine,65
101,2019,Riyadh,King Fahad Medical City in Riyadh,Pediatrics,65
102,2021,Jeddah,King Fahd General Hospital in Jeddah,Internal Medicine,64
103,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,Internal Medicine,64
104,2020,Jeddah,King Fahd General Hospital in Jeddah,Internal Medicine,64
105,2021,Taif,MOH JointProgram for Family Medicine -Taif,Family Medicine,64
106,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Internal Medicine,63
107,2020,Abha,General Directorate of Health Affairs in Aseer Region,Pediatrics,63
108,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Family Medicine,62
109,2019,Jeddah,King Fahd General Hospital in Jeddah,Internal Medicine,62
110,2021,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Family Medicine,62
111,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatrics,62
112,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Internal Medicine,62
113,2016,Jeddah,JointProgram for Family Medicine in Jeddah,Family Medicine,61
114,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Internal Medicine,61
115,2021,Jeddah,King Abdulaziz University Hospital in Jeddah,Pediatrics,61
116,2018,Riyadh,King Saud Medical City in Riyadh,Pediatrics,60
117,2021,Riyadh,Security Forces Hospital in Riyadh,Internal Medicine,60
118,2021,Alqatif  ,AlQatif Central Hospital,Internal Medicine,60
120,2017,Taif,Armed Forces Hospital in Al-Hada in Taif,Family Medicine,60
121,2019,Madinah,Maternity and Children Hospital in Medina,Pediatrics,60
122,2016,Madinah,JointProgram for Family Medicine in Madinah,Family Medicine,59
123,2021,Makkah,Alnoor Specialist Hospital in Mecca,Internal Medicine,59
124,2021,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Internal Medicine,59
125,2021,Jazan,General Directorate of Health Affairs in Jazan Region,Internal Medicine,59
126,2021,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Pediatrics,59
127,2021,Riyadh,Medical City of King Saud University in Riyadh,Family Medicine,59
128,2017,Abha,General Directorate of Health Affairs in Aseer Region,Family Medicine,59
129,2021,Dammam,Dammam Medical Complex,Internal Medicine,58
130,2021,Abha,General Directorate of Health Affairs in Aseer Region,Internal Medicine,58
131,2020,Riyadh,King Saud Medical City in Riyadh,Emergency Medicine,58
132,2019,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Family Medicine,58
133,2016,Jeddah,Joint Program for Family and Community Medicine - Jeddah,Family Medicine,58
134,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatrics,58
135,2021,Hofuf,King Fahad Hospital in Hofuf,Internal Medicine,58
136,2021,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Internal Medicine,57
137,2020,Riyadh,Medical City of King Saud University in Riyadh,Family Medicine,57
138,2019,Buraidah,The program of the Ministry of Health in Al-Qassim,Family Medicine,57
139,2020,Dammam,Eastern Health Cluster,Pediatrics,57
140,2020,Makkah,Alnoor Specialist Hospital in Mecca,Internal Medicine,57
141,2020,Riyadh,King Saud Medical City in Riyadh,Internal Medicine,57
143,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Family Medicine,56
144,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Pediatrics,56
145,2020,Riyadh,King Fahad Medical City in Riyadh,Emergency Medicine,56
146,2019,Makkah,Alnoor Specialist Hospital in Mecca,Internal Medicine,56
147,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Pediatrics,56
149,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Family Medicine,56
150,2021,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Internal Medicine,56
151,2019,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Internal Medicine,56
152,2021,Buraidah,King Fahd Specialist Hospital in Buraidah,Internal Medicine,56
153,2019,Taif,MOH JointProgram for Family Medicine -Taif,Family Medicine,55
154,2020,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Family Medicine,55
155,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Internal Medicine,55
156,2019,Riyadh,King Fahad Medical City in Riyadh,Internal Medicine,55
157,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Family Medicine,55
158,2019,Riyadh,King Saud Medical City in Riyadh,Emergency Medicine,55
159,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatrics,55
160,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Family Medicine,55
161,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Emergency Medicine,55
162,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,Pediatrics,54
163,2021,Madinah,King Fahd Hospital in Medina,Internal Medicine,54
164,2020,Alqatif  ,AlQatif Central Hospital,Internal Medicine,54
165,2018,Buraidah,The program of the Ministry of Health in Al-Qassim,Family Medicine,54
166,2020,Dammam,Dammam Medical Complex,Internal Medicine,54
167,2016,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Family Medicine,54
168,2020,Jazan,General Directorate of Health Affairs in Jazan Region,Internal Medicine,54
169,2021,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Family Medicine,54
170,2019,Riyadh,Medical City of King Saud University in Riyadh,Family Medicine,53
171,2021,Riyadh,King Saud Medical City in Riyadh,Emergency Medicine,53
172,2019,Riyadh,King Saud Medical City in Riyadh,Internal Medicine,53
173,2021,Makkah,Maternity and Children Hospital in Mecca,Pediatrics,52
175,2016,Jazan,General Directorate of Health Affairs in Jazan Region,Family Medicine,52
176,2021,Buraidah,The program of the Ministry of Health in Al-Qassim,Family Medicine,52
177,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Pediatrics,52
180,2021,Riyadh,Medical City of King Saud University in Riyadh,Pediatrics,52
181,2018,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Family Medicine,52
182,2019,Arar,The program of the Ministry of Health in Arar,Family Medicine,51
183,2021,Riyadh,King Saud Medical City in Riyadh,Internal Medicine,51
184,2020,Jeddah,JointProgram for Family Medicine in Jeddah,Family Medicine,51
185,2019,Abha,General Directorate of Health Affairs in Aseer Region,Internal Medicine,51
186,2021,Taif,Pediatric Hospital in Taif,Pediatrics,51
187,2021,Najran,General Directorate of Health Affairs in Najran Region,Internal Medicine,51
188,2020,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Internal Medicine,51
189,2019,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Pediatrics,51
190,2019,Alqatif  ,AlQatif Central Hospital,Internal Medicine,51
192,2020,Makkah,Maternity and Children Hospital in Mecca,Pediatrics,51
193,2021,Buraidah,Maternity and Pediatric Hospital in Buraidah,Pediatrics,50
195,2020,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Internal Medicine,50
196,2021,Jeddah,East Jeddah Hospital in Jeddah,Pediatrics,50
197,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatrics,50
199,2018,Madinah,Maternity and Children Hospital in Medina,Pediatrics,50
200,2020,Abha,General Directorate of Health Affairs in Aseer Region,Internal Medicine,50
201,2020,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Internal Medicine,49
202,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Internal Medicine,49
203,2021,Makkah,King Abdullah Medical City in the Holy Capital,Internal Medicine,49
204,2019,Riyadh,Medical City of King Saud University in Riyadh,Internal Medicine,49
205,2020,Hofuf,King Fahad Hospital in Hofuf,Internal Medicine,49
206,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Pediatrics,49
207,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Internal Medicine,49
208,2019,Dammam,Dammam Medical Complex,Internal Medicine,49
211,2020,Jeddah,East Jeddah Hospital in Jeddah,Pediatrics,49
212,2019,Abha,General Directorate of Health Affairs in Aseer Region,Pediatrics,49
213,2017,Riyadh,King Saud Medical City in Riyadh,Family Medicine,49
214,2018,Taif,MOH JointProgram for Family Medicine -Taif,Family Medicine,48
216,2019,Dubai,Rashed Hospital in Dubai,Internal Medicine,48
217,2018,Makkah,Alnoor Specialist Hospital in Mecca,Internal Medicine,48
218,2021,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Family Medicine,48
220,2018,Arar,The program of the Ministry of Health in Arar,Family Medicine,48
221,2019,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Internal Medicine,48
222,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Internal Medicine,48
223,2018,Riyadh,King Saud Medical City in Riyadh,Emergency Medicine,48
224,2018,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Family Medicine,48
225,2019,Jeddah,East Jeddah Hospital in Jeddah,Pediatrics,48
227,2021,Dubai,Rashed Hospital in Dubai,Internal Medicine,48
228,2020,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Pediatrics,48
229,2020,Taif,Pediatric Hospital in Taif,Pediatrics,48
231,2018,Taif,Armed Forces Hospital in Al-Hada in Taif,Family Medicine,47
232,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,Pediatrics,47
233,2020,Makkah,JointProgram for Family Medicine in Makkah,Family Medicine,47
234,2020,Dubai,Rashed Hospital in Dubai,Internal Medicine,47
236,2021,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Pediatrics,47
241,2019,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,Pediatrics,46
242,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Family Medicine,46
243,2019,Hofuf,King Fahad Hospital in Hofuf,Internal Medicine,46
244,2020,Taif,The program of the Ministry of Health in Taif ,Family Medicine,46
245,2019,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Internal Medicine,46
246,2020,Riyadh,Medical City of King Saud University in Riyadh,Emergency Medicine,46
247,2017,Jeddah,King Abdulaziz University Hospital in Jeddah,Internal Medicine,46
248,2019,Taif,The program of the Ministry of Health in Taif ,Family Medicine,46
250,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Obstetrics & Gynecology,45
251,2018,Jeddah,King Fahd General Hospital in Jeddah,Internal Medicine,45
252,2021,Riyadh,AlYamamah Hospital in Riyadh,Obstetrics & Gynecology,45
254,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Obstetrics & Gynecology,45
255,2020,Riyadh,Medical City of King Saud University in Riyadh,Pediatrics,45
256,2016,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Family Medicine,45
257,2021,Riyadh,Medical City of King Saud University in Riyadh,Emergency Medicine,45
258,2020,Riyadh,Security Forces Hospital in Riyadh,Internal Medicine,45
259,2021,Madinah,General Directorate of Health Affairs in Madinah,Family Medicine,45
260,2021,Riyadh,King Fahad Medical City in Riyadh,Emergency Medicine,45
261,2019,Riyadh,King Fahad Medical City in Riyadh,Emergency Medicine,45
262,2020,Jeddah,The program of the Ministry of Health in Jeddah,Preventive Medicine,45
263,2017,Taif,MOH JointProgram for Family Medicine -Taif,Family Medicine,45
264,2020,Buraidah,Maternity and Pediatric Hospital in Buraidah,Pediatrics,45
265,2020,Arar,The program of the Ministry of Health in Arar,Family Medicine,44
266,2021,Taif,King Abdulaziz Specialist Hospital in Taif,Internal Medicine,44
267,2019,Khobar,King Fahd University Hospital in Khobar,Family Medicine,44
268,2021,Taif,The program of the Ministry of Health in Taif ,Family Medicine,44
271,2016,Taif,Armed Forces Hospital in Al-Hada in Taif,Family Medicine,44
272,2018,Riyadh,King Fahad Medical City in Riyadh,Pediatrics,44
273,2020,Buraidah,King Fahd Specialist Hospital in Buraidah,Internal Medicine,44
274,2016,Abha,General Directorate of Health Affairs in Aseer Region,Family Medicine,44
275,2019,Makkah,King Faisal Hospital in Mecca,Internal Medicine,44
276,2017,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Family Medicine,44
277,2020,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Obstetrics & Gynecology,44
278,2017,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Family Medicine,44
279,2019,Makkah,Maternity and Children Hospital in Mecca,Pediatrics,43
280,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatrics,43
281,2019,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Internal Medicine,43
284,2020,Madinah,King Fahd Hospital in Medina,Internal Medicine,43
285,2018,Jeddah,The program of the Ministry of Health in Jeddah,Family Medicine,43
286,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Internal Medicine,43
287,2021,Jeddah,King Abdulaziz Hospital in Jeddah,Pediatrics,43
288,2018,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Internal Medicine,43
289,2019,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Obstetrics & Gynecology,43
290,2021,Jeddah,The program of the Ministry of Health in Jeddah,Preventive Medicine,43
292,2019,Jeddah,King Abdulaziz Hospital in Jeddah,Internal Medicine,43
293,2018,Abha,General Directorate of Health Affairs in Aseer Region,Internal Medicine,42
295,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Critical Care Medicine,42
297,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatrics,42
299,2020,Makkah,King Faisal Hospital in Mecca,Internal Medicine,42
300,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Diagnostic Radiology,42
301,2019,Jazan,General Directorate of Health Affairs in Jazan Region,Internal Medicine,42
302,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Obstetrics & Gynecology,42
303,2020,Jeddah,King Abdulaziz Hospital in Jeddah,Pediatrics,42
304,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Adult Critical Care Medicine,42
307,2018,Jeddah,King Abdulaziz Hospital in Jeddah,Internal Medicine,41
308,2017,Riyadh,King Fahad Medical City in Riyadh,Family Medicine,41
309,2021,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Obstetrics & Gynecology,41
310,2017,Jeddah,King Abdulaziz University Hospital in Jeddah,Pediatrics,41
311,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Pediatrics,41
312,2021,Jazan,General Directorate of Health Affairs in Jazan Region,Pediatrics,41
314,2019,Madinah,King Fahd Hospital in Medina,Internal Medicine,41
315,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Obstetrics & Gynecology,41
316,2019,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Pediatrics,41
317,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Adult Critical Care Medicine,41
318,2020,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,Pediatrics,41
319,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,General Surgery,41
320,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Diagnostic Radiology,40
321,2021,Makkah,Joint Postgraduate Program for Family Medicine in Makkah,Family Medicine,40
322,2020,Makkah,Joint Postgraduate Program for Family Medicine in Makkah,Family Medicine,40
323,2021,Dammam,King Fahd Specialist Hospital in Dammam,Internal Medicine,40
324,2018,Dubai,Rashed Hospital in Dubai,Internal Medicine,40
325,2020,Makkah,King Abdullah Medical City in the Holy Capital,Internal Medicine,40
326,2020,Hail,Family Medicine Postgraduate Program in Hail,Family Medicine,40
327,2021,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,Pediatrics,40
328,2018,Riyadh,Medical City of King Saud University in Riyadh,Family Medicine,40
329,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Adult Critical Care Medicine,40
330,2021,Alqatif  ,AlQatif Central Hospital,Pediatrics,40
331,2020,Najran,General Directorate of Health Affairs in Najran Region,Internal Medicine,40
334,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Internal Medicine,40
336,2020,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Internal Medicine,40
337,2020,Jazan,General Directorate of Health Affairs in Jazan Region,Pediatrics,40
338,2021,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Ophthalmology,40
339,2019,Jeddah,The program of the Ministry of Health in Jeddah,Preventive Medicine,40
341,2019,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Family Medicine,40
344,2019,Dammam,Eastern Health Cluster,Pediatrics,40
345,2017,Jeddah,King Abdulaziz University Hospital in Jeddah,Obstetrics & Gynecology,40
346,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatrics,40
349,2020,Alqatif  ,AlQatif Central Hospital,Pediatrics,39
350,2017,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Obstetrics & Gynecology,39
351,2018,Abha,General Directorate of Health Affairs in Aseer Region,Pediatrics,39
352,2018,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Pediatrics,39
353,2020,Abha,General Directorate of Health Affairs in Aseer Region,Obstetrics & Gynecology,39
354,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Pediatrics,39
355,2021,Makkah,Maternity and Children Hospital in Mecca,Obstetrics & Gynecology,39
356,2018,Riyadh,King Saud Medical City in Riyadh,Internal Medicine,39
357,2018,Makkah,Maternity and Children Hospital in Mecca,Pediatrics,39
358,2020,Jeddah,East Jeddah Hospital in Jeddah,Internal Medicine,39
359,2021,Makkah,King Faisal Hospital in Mecca,Internal Medicine,39
362,2021,Khobar,King Fahd University Hospital in Khobar,Internal Medicine,39
363,2020,Khobar,King Fahd University Hospital in Khobar,Family Medicine,39
365,2021,Jeddah,East Jeddah Hospital in Jeddah,Internal Medicine,39
366,2019,Taif,Pediatric Hospital in Taif,Pediatrics,39
367,2018,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Obstetrics & Gynecology,39
368,2016,Jeddah,King Abdulaziz University Hospital in Jeddah,Obstetrics & Gynecology,39
369,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Obstetrics & Gynecology,39
371,2018,Alqatif  ,AlQatif Central Hospital,Internal Medicine,39
372,2020,Riyadh,King Fahad Medical City in Riyadh,Obstetrics & Gynecology,39
373,2021,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Internal Medicine,39
374,2021,Abha,General Directorate of Health Affairs in Aseer Region,Obstetrics & Gynecology,39
375,2020,Riyadh,AlYamamah Hospital in Riyadh,Obstetrics & Gynecology,38
376,2021,Taif,Armed Forces Hospital in Al-Hada in Taif,Internal Medicine,38
377,2020,Jeddah,King Abdulaziz Hospital in Jeddah,Internal Medicine,38
379,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Diagnostic Radiology,38
380,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,General Surgery,38
381,2018,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Pediatrics,38
383,2021,Riyadh,King Fahad Medical City in Riyadh,Obstetrics & Gynecology,38
384,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatrics Emergency Medicine,38
385,2020,Makkah,Joint Family and Community Medicine Program,Family Medicine,38
386,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatrics Emergency Medicine,38
387,2019,Alqatif  ,AlQatif Central Hospital,Pediatrics,38
388,2019,Makkah,Joint Family and Community Medicine Program,Family Medicine,38
389,2019,Riyadh,Security Forces Hospital in Riyadh,Internal Medicine,38
390,2021,Abha,General Directorate of Health Affairs in Aseer Region,General Surgery,38
392,2021,Taif,Armed Forces Hospital in Al-Hada in Taif,Pediatrics,38
393,2021,Makkah,Joint Family and Community Medicine Program,Family Medicine,38
394,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,Internal Medicine,38
397,2018,Jeddah,East Jeddah Hospital in Jeddah,Pediatrics,38
398,2019,Madinah,Joint Family Medicine Program - Medina,Family Medicine,37
399,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Critical Care Medicine,37
400,2021,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Emergency Medicine,37
401,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Emergency Medicine,37
402,2019,Makkah,King Abdullah Medical City in the Holy Capital,Internal Medicine,37
403,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,Obstetrics & Gynecology,37
404,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,General Surgery,37
405,2018,Riyadh,King Fahad Medical City in Riyadh,Emergency Medicine,37
406,2018,Riyadh,King Fahad Medical City in Riyadh,Internal Medicine,37
407,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,General Surgery,37
408,2018,Khobar,King Fahd University Hospital in Khobar,General Surgery,37
