,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Total_Trainees,Graduated_Trainees,Success_Rate
70,2017,Unknown - Saudi Arabia,Pedodontics Combind Prg(Dam),1,1,1.0
71,2020,Hofuf,Prince Sultan Center for Cardiac Diseases and Surgery in Hofuf,1,1,1.0
72,2018,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,3,3,1.0
74,2019,Dammam,Dammam Regional Laboratory and Blood Bank,2,2,1.0
78,2019,Alkharj  ,King Khalid Hospital and Prince Sultan Center for Curative Services in Al-Kharj,2,2,1.0
83,2020,Jeddah,JointProgram for Orthodontics- Jeddah,1,1,1.0
85,2021,Madinah,Medina Cardiac Center,1,1,1.0
86,2018,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,1,1,1.0
87,2016,Buraidah,Al-Fayezia Health Center in Buraidah,3,3,1.0
89,2018,Hofuf,Prince Sultan Center for Cardiac Diseases and Surgery in Hofuf,1,1,1.0
92,2018,Madinah,Forensic Medicine Center in Medina,3,3,1.0
93,2018,Madinah,General Directorate of Health Affairs in Madinah,1,1,1.0
94,2018,Madinah,Eradah Mental Health Complex in Medina,3,3,1.0
96,2021,Buraidah,The program of the Ministry of Health in Al-Qassim,1,1,1.0
97,2019,Riyadh,JointProgram for Preventive medicine-Riyadh,11,11,1.0
99,2019,Unknown - Saudi Arabia,JointProgram for Psychiatry in East,1,1,1.0
100,2018,Madinah,"Joint training program in the Western Region, Madinah",1,1,1.0
104,2018,Madinah,Specialized Dental Center at King Fahd Hospital in Medina,1,1,1.0
105,2016,Madinah,General Directorate of Health Affairs in Madinah,1,1,1.0
106,2016,Jeddah,The program of the Ministry of Health in Jeddah,1,1,1.0
107,2019,Unknown - Saudi Arabia,Joint Training Program in the Eastern Province,1,1,1.0
112,2021,Unknown - Saudi Arabia,The joint program in the Central and Western region,2,2,1.0
117,2016,Riyadh,JointProgram for Preventive medicine-Riyadh,12,12,1.0
135,2016,Hail,Family Medicine Postgraduate Program in Hail,2,2,1.0
160,2020,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,3,3,1.0
172,2016,Jeddah,JointProgram for Restorative Dentistry- West,9,9,1.0
173,2016,Dammam,Dammam Regional Laboratory and Blood Bank,2,2,1.0
190,2017,Hail,The joint training program in Hail,1,1,1.0
191,2020,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,13,13,1.0
192,2017,Jeddah,Joint Program of Ophthalmology - Jeddah,1,1,1.0
207,2020,Makkah,Teaching Dental Hospital at Dentistry College in Umm Al-Qura University in Mecca,3,3,1.0
210,2018,Riyadh,General Directorate of Health Affairs -for Family Medicine in Riyadh,7,7,1.0
213,2021,Riyadh,"Joint training program in the central region, Riyadh",3,3,1.0
215,2018,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,12,12,1.0
216,2016,Riyadh,University Dental Hospital at King Saud University in Riyadh,3,3,1.0
222,2016,Buraidah,Prince Sultan Cardiac Center in Buraidah,6,6,1.0
223,2017,Riyadh,JointProgram for Orthodontics- Riyadh,10,10,1.0
225,2016,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,5,5,1.0
226,2019,Riyadh,JointProgram for Orthodontics- Riyadh,5,5,1.0
227,2016,Al-Ahsa,"Al-Jabr Hospital for ophthalmology,ear, nose and throat in Alahsa",5,5,1.0
228,2017,Jeddah,JointProgram for Restorative Dentistry- West,7,7,1.0
229,2016,Jouf,Dumat Al-Jandal General Hospital in Aljowf,2,2,1.0
230,2016,Madinah,University clinics at Taibah University in Medina,2,2,1.0
231,2016,Alkharj  ,King Khalid Hospital and Prince Sultan Center for Curative Services in Al-Kharj,5,5,1.0
232,2016,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,5,5,1.0
238,2017,Dammam,Dammam Regional Laboratory and Blood Bank,2,2,1.0
239,2016,Jeddah,"Joint training program in the Western Region, Jeddah",5,5,1.0
242,2017,Al-Ahsa,"Al-Jabr Hospital for ophthalmology,ear, nose and throat in Alahsa",5,5,1.0
244,2021,Buraidah,Prince Sultan Cardiac Center in Buraidah,5,5,1.0
245,2018,Jeddah,"Joint training program in the Western Region, Jeddah",5,5,1.0
248,2017,Jubail,Royal Commission Medical Center in Jubail,4,4,1.0
249,2018,Al-Ahsa,"Al-Jabr Hospital for ophthalmology,ear, nose and throat in Alahsa",2,2,1.0
250,2016,Riyadh,Joint Otolaryngology Program - Riyadh,4,4,1.0
252,2017,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,4,4,1.0
258,2016,Abha,The Medical City at King Khalid University,18,18,1.0
259,2018,Riyadh,Specialized Dental Healthcare Center in Eastern Riyadh,2,2,1.0
262,2020,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,4,4,1.0
263,2020,Alkharj  ,King Khalid Hospital and Prince Sultan Center for Curative Services in Al-Kharj,2,2,1.0
269,2016,Jeddah,Specialized Dental Center in North Jeddah,2,2,1.0
270,2018,Makkah,Teaching Dental Hospital at Dentistry College in Umm Al-Qura University in Mecca,4,4,1.0
273,2016,Riyadh,JointProgram for Endodontic in Central region,16,16,1.0
275,2020,Abha,The Medical City at King Khalid University,4,4,1.0
281,2021,Jeddah,Maternity and Children Hospital in Jeddah,2,2,1.0
282,2017,Madinah,University clinics at Taibah University in Medina,2,2,1.0
283,2019,Hail,The joint training program in Hail,2,2,1.0
285,2020,Riyadh,Regional laboratory and blood bank in Riyadh,2,2,1.0
289,2018,Jeddah,Specialized Dental Center in North Jeddah,2,2,1.0
294,2019,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,2,2,1.0
296,2019,Jeddah,Specialized Dental Center in North Jeddah,2,2,1.0
297,2021,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,2,2,1.0
299,2020,Madinah,Eradah Mental Health Complex in Medina,2,2,1.0
300,2020,Unknown - Saudi Arabia,The joint program in the Central and Western region,2,2,1.0
303,2017,Alkharj  ,King Khalid Hospital and Prince Sultan Center for Curative Services in Al-Kharj,5,5,1.0
304,2017,Jeddah,"Joint training program in the Western Region, Jeddah",5,5,1.0
305,2020,Dammam,"Joint training program in the eastern region, Dammam",2,2,1.0
306,2017,Jeddah,Ophthalmology Hospital in Jeddah,2,2,1.0
307,2018,Jeddah,JointProgram for Restorative Dentistry- West,5,5,1.0
310,2017,Makkah,Teaching Dental Hospital at Dentistry College in Umm Al-Qura University in Mecca,2,2,1.0
316,2020,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,5,5,1.0
319,2018,Jeddah,Ophthalmology Hospital in Jeddah,2,2,1.0
322,2018,Dammam,Dammam Regional Laboratory and Blood Bank,2,2,1.0
323,2017,Jeddah,Specialized Dental Center in North Jeddah,2,2,1.0
326,2019,Riyadh,Joint Otolaryngology Program - Riyadh,2,2,1.0
327,2018,Alkharj  ,King Khalid Hospital and Prince Sultan Center for Curative Services in Al-Kharj,4,4,1.0
328,2021,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,2,2,1.0
331,2019,Madinah,Eradah Mental Health Complex in Medina,3,3,1.0
332,2019,Riyadh,JointProgram for Endodontic in Central region,20,20,1.0
334,2016,Riyadh,General Directorate of Health Affairs -for Family Medicine in Riyadh,11,11,1.0
335,2017,Riyadh,JointProgram for Preventive medicine-Riyadh,11,11,1.0
340,2016,Dammam,"Joint training program in the eastern region, Dammam",1,1,1.0
341,2020,Hail,The joint training program in Hail,1,1,1.0
342,2016,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,1,1,1.0
344,2017,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,3,3,1.0
345,2020,Al-Ahsa,"Al-Jabr Hospital for ophthalmology,ear, nose and throat in Alahsa",1,1,1.0
346,2020,Dammam,Saud AlBabtain Cardiac Center in Dammam,6,6,1.0
347,2020,Riyadh,JointProgram for Preventive medicine-Riyadh,1,1,1.0
356,2020,Madinah,"Joint training program in the Western Region, Madinah",1,1,1.0
358,2020,Madinah,General Directorate of Health Affairs in Madinah,1,1,1.0
360,2016,Makkah,Joint Family and Community Medicine Program,13,13,1.0
362,2019,Dammam,"Joint training program in the eastern region, Dammam",3,3,1.0
363,2020,Dammam,Dammam Regional Laboratory and Blood Bank,1,1,1.0
364,2016,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,4,4,1.0
366,2019,Riyadh,Regional laboratory and blood bank in Riyadh,2,2,1.0
368,2016,Jeddah,King Abdullah Medical Complex in Jeddah,1,1,1.0
372,2018,Hail,The joint training program in Hail,2,2,1.0
376,2018,Riyadh,Joint Otolaryngology Program - Riyadh,3,3,1.0
379,2021,Jeddah,"Joint training program in the Western Region, Jeddah",1,1,1.0
386,2019,Dammam,Saud AlBabtain Cardiac Center in Dammam,11,11,1.0
396,2016,Riyadh,Joint Psychiatry Program - Riyadh,6,6,1.0
398,2019,Makkah,Teaching Dental Hospital at Dentistry College in Umm Al-Qura University in Mecca,4,4,1.0
403,2018,Riyadh,JointProgram for Preventive medicine-Riyadh,11,11,1.0
408,2021,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,2,2,1.0
409,2020,Jeddah,Ophthalmology Hospital in Jeddah,1,1,1.0
410,2019,Abha,The Medical City at King Khalid University,27,26,0.96
415,2016,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,36,34,0.94
419,2017,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,18,17,0.94
422,2019,Riyadh,JointProgram for Prosthodontics in Riyadh,15,14,0.93
423,2018,Abha,The Medical City at King Khalid University,29,27,0.93
424,2019,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,14,13,0.93
430,2017,Jeddah,Joint Program for Family and Community Medicine - Jeddah,13,12,0.92
437,2017,Taif,The program of the Ministry of Health in Taif ,12,11,0.92
445,2016,Madinah,Joint Family Medicine Program - Medina,25,23,0.92
447,2016,Riyadh,JointProgram for Orthodontics- Riyadh,11,10,0.91
449,2018,Dammam,Saud AlBabtain Cardiac Center in Dammam,11,10,0.91
454,2019,Jeddah,"Joint training program in the Western Region, Jeddah",11,10,0.91
464,2017,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,70,63,0.9
467,2018,Riyadh,Joint Training Program in the Central Region,21,19,0.9
470,2018,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,59,53,0.9
477,2017,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,9,8,0.89
478,2018,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,76,68,0.89
479,2016,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,64,57,0.89
480,2016,Riyadh,JointProgram for Pediatric Dentistry- Riyadh,9,8,0.89
481,2016,Riyadh,JointProgram for Prosthodontics in Riyadh,9,8,0.89
492,2020,Jeddah,"Joint training program in the Western Region, Jeddah",8,7,0.88
494,2016,Unknown - Saudi Arabia,Joint Program for Family and Community Medicine in the South,8,7,0.88
495,2019,Riyadh,JointProgram for Pediatric Dentistry- Riyadh,16,14,0.88
496,2018,Riyadh,JointProgram for Prosthodontics in Riyadh,16,14,0.88
498,2016,Jeddah,Joint Program for Family and Community Medicine - Jeddah,81,71,0.88
500,2017,Riyadh,JointProgram for Prosthodontics in Riyadh,16,14,0.88
505,2016,Madinah,JointProgram for Preventive Medicine in Madinah,25,22,0.88
506,2017,Madinah,JointProgram for Preventive Medicine in Madinah,25,22,0.88
507,2019,Jeddah,JointProgram for Orthodontics- Jeddah,8,7,0.88
510,2018,Riyadh,JointProgram for Restorative Dentistry- Central,30,26,0.87
513,2018,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,15,13,0.87
514,2017,Madinah,Joint Family Medicine Program - Medina,15,13,0.87
527,2019,Makkah,JointProgram for Preventive Medicine in Makkah,7,6,0.86
532,2017,Makkah,JointProgram for Preventive Medicine in Makkah,7,6,0.86
533,2019,Riyadh,JointProgram for Restorative Dentistry- Central,21,18,0.86
535,2019,Riyadh,Joint Training Program in the Central Region,14,12,0.86
537,2018,Makkah,JointProgram for Preventive Medicine in Makkah,7,6,0.86
538,2016,Makkah,JointProgram for Preventive Medicine in Makkah,7,6,0.86
539,2017,Dammam,Saud AlBabtain Cardiac Center in Dammam,7,6,0.86
540,2016,Alqatif  ,AlQatif Central Hospital,80,69,0.86
546,2020,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,7,6,0.86
549,2016,Jeddah,JointProgram for Family Medicine in Jeddah,67,57,0.85
550,2016,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,13,11,0.85
553,2018,Taif,The program of the Ministry of Health in Taif ,13,11,0.85
555,2018,Buraidah,Prince Sultan Cardiac Center in Buraidah,20,17,0.85
556,2019,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,52,44,0.85
563,2017,Abha,The Medical City at King Khalid University,34,29,0.85
564,2020,Taif,The program of the Ministry of Health in Taif ,13,11,0.85
566,2019,Taif,The program of the Ministry of Health in Taif ,13,11,0.85
569,2016,Riyadh,JointProgram for Restorative Dentistry- Central,32,27,0.84
571,2016,Riyadh,King Khalid University Hospital in Riyadh,408,343,0.84
572,2017,Buraidah,Prince Sultan Cardiac Center in Buraidah,19,16,0.84
577,2018,Jeddah,International Medical Center in Jeddah,43,36,0.84
579,2016,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,89,75,0.84
580,2016,Hofuf,King Fahad Hospital in Hofuf,61,51,0.84
581,2016,Riyadh,JointProgram for Periodontics- Riyadh,6,5,0.83
584,2018,Madinah,Medina Cardiac Center,12,10,0.83
586,2019,Riyadh,King Abdulaziz University Hospital in Riyadh,6,5,0.83
594,2017,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,6,5,0.83
597,2017,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,69,57,0.83
598,2018,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,6,5,0.83
600,2018,Unknown,Unknown,6,5,0.83
605,2016,Madinah,JointProgram for Family Medicine in Madinah,58,48,0.83
607,2018,Jubail,Royal Commission Medical Center in Jubail,6,5,0.83
608,2019,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,6,5,0.83
609,2017,Alqatif  ,AlQatif Central Hospital,87,72,0.83
610,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,302,248,0.82
616,2017,Riyadh,King Khalid University Hospital in Riyadh,341,278,0.82
619,2017,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,100,82,0.82
621,2016,Dammam,Security Forces Hospital in Dammam,11,9,0.82
622,2017,Jeddah,International Medical Center in Jeddah,49,40,0.82
624,2019,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,28,23,0.82
625,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,511,419,0.82
626,2016,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,11,9,0.82
627,2018,Alqatif  ,AlQatif Central Hospital,73,60,0.82
628,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,594,489,0.82
629,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,589,484,0.82
632,2016,Dhahran,King Fahd Military Medical Complex in Dhahran,73,59,0.81
638,2019,Jeddah,International Medical Center in Jeddah,32,26,0.81
642,2017,Riyadh,JointProgram for Restorative Dentistry- Central,36,29,0.81
646,2016,Riyadh,Joint Training Program in the Central Region,21,17,0.81
649,2017,Riyadh,Joint Training Program in the Central Region,16,13,0.81
651,2017,Hofuf,King Fahad Hospital in Hofuf,62,50,0.81
656,2016,Khobar,King Fahd University Hospital in Khobar,221,179,0.81
657,2017,Khobar,King Fahd University Hospital in Khobar,203,165,0.81
658,2016,Jouf,The program of the Ministry of Health in Al-Jouf,5,4,0.8
662,2016,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,20,16,0.8
664,2019,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,15,12,0.8
665,2018,Madinah,JointProgram for Preventive Medicine in Madinah,15,12,0.8
668,2016,Dammam,Saud AlBabtain Cardiac Center in Dammam,5,4,0.8
670,2017,Jeddah,King Abdullah Medical Complex in Jeddah,5,4,0.8
672,2019,Madinah,JointProgram for Preventive Medicine in Madinah,15,12,0.8
673,2017,Madinah,Forensic Medicine Center in Medina,5,4,0.8
676,2016,Unaizah,King Saud Hospital in Unaizah,5,4,0.8
680,2020,Jouf,The program of the Ministry of Health in Al-Jouf,10,8,0.8
682,2018,Khobar,King Fahd University Hospital in Khobar,167,134,0.8
683,2019,Riyadh,King Khalid University Hospital in Riyadh,188,150,0.8
685,2019,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,10,8,0.8
691,2018,Riyadh,King Khalid University Hospital in Riyadh,247,197,0.8
697,2017,Madinah,JointProgram for Family Medicine in Madinah,86,69,0.8
698,2016,Riyadh,Pedodontics Combind Prg(Riyad),10,8,0.8
701,2016,Jeddah,International Medical Center in Jeddah,45,36,0.8
705,2018,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,90,71,0.79
706,2017,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,39,31,0.79
707,2018,Hofuf,King Fahad Hospital in Hofuf,52,41,0.79
710,2016,Buraidah,The program of the Ministry of Health in Al-Qassim,24,19,0.79
715,2018,Madinah,JointProgram for Family Medicine in Madinah,85,67,0.79
717,2016,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,104,82,0.79
718,2018,Riyadh,JointProgram for Pediatric Dentistry- Riyadh,19,15,0.79
719,2020,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,29,23,0.79
725,2016,Riyadh,King Fahad Medical City in Riyadh,485,384,0.79
729,2019,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,9,7,0.78
732,2021,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,9,7,0.78
735,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,412,323,0.78
740,2017,Riyadh,King Fahad Medical City in Riyadh,496,385,0.78
743,2019,Alqatif  ,AlQatif Central Hospital,54,42,0.78
749,2020,Jeddah,International Medical Center in Jeddah,18,14,0.78
751,2017,Dammam,King Fahd Specialist Hospital in Dammam,188,146,0.78
753,2019,Khobar,King Fahd University Hospital in Khobar,130,102,0.78
755,2016,Madinah,Forensic Medicine Center in Medina,9,7,0.78
762,2017,Riyadh,University Dental Hospital at King Saud University in Riyadh,9,7,0.78
763,2016,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,320,248,0.78
764,2017,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,327,255,0.78
770,2016,Riyadh,"Joint training program in the central region, Riyadh",40,31,0.78
779,2016,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,35,27,0.77
780,2019,Madinah,JointProgram for Family Medicine in Madinah,62,48,0.77
788,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,31,24,0.77
792,2019,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,52,40,0.77
795,2018,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,35,27,0.77
796,2016,Dammam,King Fahd Specialist Hospital in Dammam,179,137,0.77
797,2019,Madinah,Medina Cardiac Center,13,10,0.77
801,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,201,153,0.76
806,2019,Buraidah,Prince Sultan Cardiac Center in Buraidah,25,19,0.76
810,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,150,114,0.76
812,2016,Riyadh,Security Forces Hospital in Riyadh,165,125,0.76
818,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,107,81,0.76
821,2019,Buraidah,King Fahd Specialist Hospital in Buraidah,17,13,0.76
826,2018,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,271,207,0.76
831,2018,Riyadh,Security Forces Hospital in Riyadh,124,94,0.76
834,2020,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,4,3,0.75
841,2017,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,106,80,0.75
843,2017,Dammam,"Joint training program in the eastern region, Dammam",4,3,0.75
845,2016,Buraidah,King Fahd Specialist Hospital in Buraidah,40,30,0.75
850,2018,Jeddah,The program of the Ministry of Health in Jeddah,12,9,0.75
852,2018,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,16,12,0.75
860,2017,Riyadh,Security Forces Hospital in Riyadh,157,118,0.75
867,2019,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,4,3,0.75
873,2018,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,4,3,0.75
875,2020,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,4,3,0.75
882,2019,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,4,3,0.75
884,2021,Dammam,Eastern Health Cluster,4,3,0.75
886,2016,Riyadh,Al-Iman Hospital in Riyadh,12,9,0.75
889,2018,Riyadh,Al-Iman Hospital in Riyadh,12,9,0.75
892,2021,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,12,9,0.75
899,2020,Jeddah,King Abdullah Medical Complex in Jeddah,12,9,0.75
900,2018,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,8,6,0.75
902,2019,Dammam,Maternity and Children Hospital in Dammam,24,18,0.75
904,2017,Jeddah,JointProgram for Family Medicine in Jeddah,95,71,0.75
905,2016,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,24,18,0.75
908,2017,Al-Ahsa,Maternity and Children Hospital in Mubarraz,54,40,0.74
909,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,493,364,0.74
910,2019,Riyadh,Security Forces Hospital in Riyadh,102,75,0.74
913,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,474,349,0.74
914,2016,Dammam,Maternity and Children Hospital in Dammam,34,25,0.74
921,2016,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,54,40,0.74
922,2018,Dubai,Rashed Hospital in Dubai,34,25,0.74
923,2016,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,19,14,0.74
926,2017,Riyadh,"Joint training program in the central region, Riyadh",34,25,0.74
927,2017,Dammam,Maternity and Children Hospital in Dammam,39,29,0.74
933,2017,Dubai,Rashed Hospital in Dubai,35,26,0.74
935,2016,Dammam,Dammam Medical Complex,105,78,0.74
944,2018,Jeddah,JointProgram for Family Medicine in Jeddah,97,72,0.74
946,2017,Jeddah,King Abdulaziz University Hospital in Jeddah,389,284,0.73
950,2018,Riyadh,King Fahad Medical City in Riyadh,408,297,0.73
951,2016,Abha,General Directorate of Health Affairs in Aseer Region,218,159,0.73
953,2018,Dammam,King Fahd Specialist Hospital in Dammam,164,119,0.73
954,2017,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,15,11,0.73
956,2017,Jeddah,JointProgram for Community Medicine in Jeddah,11,8,0.73
957,2016,Jeddah,King Abdulaziz University Hospital in Jeddah,380,277,0.73
960,2018,Jeddah,JointProgram for Community Medicine in Jeddah,11,8,0.73
964,2018,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,15,11,0.73
966,2018,Riyadh,University Dental Hospital at King Saud University in Riyadh,11,8,0.73
967,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,135,99,0.73
969,2019,Riyadh,University Dental Hospital at King Saud University in Riyadh,11,8,0.73
971,2018,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,55,40,0.73
972,2018,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,41,30,0.73
973,2016,Jeddah,JointProgram for Community Medicine in Jeddah,11,8,0.73
974,2017,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,18,13,0.72
976,2017,Dammam,Dammam Medical Complex,102,73,0.72
977,2016,Riyadh,King Saud Medical City in Riyadh,265,191,0.72
984,2018,Al-Ahsa,Maternity and Children Hospital in Mubarraz,46,33,0.72
985,2017,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,25,18,0.72
988,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,329,237,0.72
989,2017,Riyadh,Medical City of King Saud University in Riyadh,68,49,0.72
990,2016,Riyadh,Medical City of King Saud University in Riyadh,43,31,0.72
992,2020,Khobar,King Fahd University Hospital in Khobar,85,61,0.72
997,2016,Taif,Armed Forces Hospital in Al-Hada in Taif,129,93,0.72
1000,2019,Hofuf,King Fahad Hospital in Hofuf,40,29,0.72
