,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Work_Name_En,Number_of_Trainees
59,2016,Riyadh,King Saud Medical City in Riyadh,Ministry of Health,217
60,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Defense / Personal Contract,215
61,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,King Abdulaziz University,214
62,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Ministry of Health,213
63,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Fahad National Guard Hospital,213
64,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,211
65,2017,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Health,208
66,2019,Riyadh,King Fahad Medical City in Riyadh,Unknown,208
67,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,King Abdulaziz University,207
68,2019,Jeddah,King Fahd General Hospital in Jeddah,Ministry of Health,207
69,2021,Jeddah,King Abdulaziz University Hospital in Jeddah,Ministry of Health,207
70,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,King Abdulaziz University,205
71,2016,Jeddah,King Abdulaziz University Hospital in Jeddah,King Abdulaziz University,203
72,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Ministry of Health,202
73,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Faisal Specialist Hospital & Research Centre,201
74,2021,Makkah,King Abdullah Medical City in the Holy Capital,Ministry of Health,201
76,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Ministry of Health,200
79,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Personal Contract,200
80,2021,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Ministry of National Guard,196
81,2018,Riyadh,King Khalid University Hospital in Riyadh,King Saud University,194
82,2021,Abha,General Directorate of Health Affairs in Aseer Region,Unknown,193
83,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Ministry of Health,193
84,2021,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,"King Abdulaziz Medical City for National Guard, Jeddah",193
85,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,Ministry of Health,193
86,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Ministry of Health,193
87,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Defense / Personal Contract,191
88,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Ministry of Health,190
89,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Health,189
91,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,Ministry of Health,187
92,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,"King Abdulaziz Medical City for National Guard, Jeddah",187
96,2018,Jeddah,King Fahd General Hospital in Jeddah,Ministry of Health,184
97,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Ministry of National Guard,183
98,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Ministry of Health,183
100,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Defense / Personal Contract,182
102,2017,Jeddah,King Fahd General Hospital in Jeddah,Ministry of Health,180
103,2020,Makkah,King Abdullah Medical City in the Holy Capital,Ministry of Health,180
104,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Personal Contract,180
105,2017,Riyadh,King Fahad Medical City in Riyadh,King Fahad Medical City in Riyadh,180
106,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Defense Medical Services,178
107,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Defense / Personal Contract,177
108,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Personal Contract,176
109,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Defense Medical Services,175
111,2018,Jazan,General Directorate of Health Affairs in Jazan Region,Ministry of Health,173
112,2021,Khobar,King Fahd University Hospital in Khobar,Unknown,172
115,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Unknown,169
116,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Unknown,169
117,2019,Jazan,General Directorate of Health Affairs in Jazan Region,Ministry of Health,169
119,2017,Jeddah,King Abdulaziz University Hospital in Jeddah,Ministry of Health,168
120,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Health,167
121,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Personal Contract,167
122,2019,Riyadh,Medical City of King Saud University in Riyadh,Unknown,167
123,2021,Makkah,Alnoor Specialist Hospital in Mecca,Ministry of Health,166
124,2020,Jazan,General Directorate of Health Affairs in Jazan Region,Ministry of Health,165
125,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Faisal Specialist Hospital & Research Centre,165
126,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Personal Contract,164
127,2021,Jazan,General Directorate of Health Affairs in Jazan Region,Ministry of Health,163
128,2016,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Health,162
129,2019,Riyadh,King Khalid University Hospital in Riyadh,King Saud University,162
131,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Defense / Personal Contract,161
132,2016,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,King Khalid National Guard Hospital,161
133,2016,Jeddah,King Fahd General Hospital in Jeddah,Ministry of Health,160
136,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Ministry of National Guard,159
139,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Fahad National Guard Hospital,158
140,2018,Makkah,King Abdullah Medical City in the Holy Capital,Ministry of Health,158
141,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Personal Contract,158
143,2018,Khobar,King Fahd University Hospital in Khobar,Ministry of Health,155
145,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Defense Medical Services,154
146,2021,Riyadh,Security Forces Hospital in Riyadh,Unknown,154
147,2019,Khobar,King Fahd University Hospital in Khobar,Ministry of Health,153
150,2019,Makkah,King Abdullah Medical City in the Holy Capital,Ministry of Health,151
151,2019,Riyadh,King Saud Medical City in Riyadh,Unknown,151
152,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Health,150
155,2021,Jazan,General Directorate of Health Affairs in Jazan Region,Unknown,147
156,2020,Khobar,King Fahd University Hospital in Khobar,Ministry of Health,144
158,2020,Makkah,Alnoor Specialist Hospital in Mecca,Ministry of Health,143
160,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,Personal Contract,142
161,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Health,142
162,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Health,142
163,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Personal Contract,141
165,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Ministry of Health,141
169,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,138
170,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Personal Contract,137
171,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,"King Abdulaziz Medical City for National Guard, Jeddah",137
176,2020,Khobar,King Fahd University Hospital in Khobar,Unknown,133
177,2020,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Ministry of Health,133
179,2020,Abha,General Directorate of Health Affairs in Aseer Region,Unknown,132
180,2018,Dammam,Dammam Medical Complex,Ministry of Health,131
181,2016,Jeddah,King Abdulaziz University Hospital in Jeddah,Ministry of Health,130
185,2017,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,King Khalid National Guard Hospital,129
186,2021,Jeddah,King Abdulaziz Hospital in Jeddah,Ministry of Health,128
187,2017,Jazan,General Directorate of Health Affairs in Jazan Region,Ministry of Health,128
188,2018,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Ministry of National Guard,127
189,2021,Jeddah,East Jeddah Hospital in Jeddah,Ministry of Health,127
190,2017,Makkah,King Abdullah Medical City in the Holy Capital,Ministry of Health,127
191,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Health,126
193,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Defense Medical Services,125
196,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Ministry of National Guard,124
198,2019,Makkah,Alnoor Specialist Hospital in Mecca,Ministry of Health,123
200,2021,Madinah,King Fahd Hospital in Medina,Ministry of Health,123
202,2017,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Ministry of National Guard,122
203,2018,Riyadh,King Fahad Medical City in Riyadh,King Fahad Medical City in Riyadh,122
205,2018,Dammam,King Fahd Specialist Hospital in Dammam,Ministry of Health,121
206,2020,Jeddah,King Abdulaziz Hospital in Jeddah,Ministry of Health,121
209,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Ministry of Health,120
210,2021,Taif,King Faisal Medical Complex in Taif,Ministry of Health,120
211,2020,Riyadh,Medical City of King Saud University in Riyadh,Ministry of Health,119
213,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Personal Contract,119
214,2020,Dammam,King Fahd Specialist Hospital in Dammam,Ministry of Health,119
216,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Personal Contract,118
218,2021,Riyadh,Medical City of King Saud University in Riyadh,Ministry of Health,118
220,2017,Dammam,King Fahd Specialist Hospital in Dammam,Ministry of Health,117
221,2019,Dammam,Dammam Medical Complex,Ministry of Health,117
222,2021,Khobar,King Fahd University Hospital in Khobar,Ministry of Health,117
223,2019,Dammam,King Fahd Specialist Hospital in Dammam,Ministry of Health,116
224,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Ministry of Health,115
226,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Ministry of Health,114
231,2018,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Ministry of Health,113
232,2018,Makkah,Alnoor Specialist Hospital in Mecca,Ministry of Health,113
233,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Faisal Specialist Hospital & Research Centre,113
235,2020,Jeddah,East Jeddah Hospital in Jeddah,Ministry of Health,111
239,2020,Riyadh,King Khalid University Hospital in Riyadh,King Saud University,111
240,2021,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Unknown,110
241,2019,Madinah,King Fahd Hospital in Medina,Ministry of Health,110
242,2020,Madinah,King Fahd Hospital in Medina,Ministry of Health,110
243,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Ministry of Health,109
244,2019,Jeddah,King Abdulaziz Hospital in Jeddah,Ministry of Health,109
245,2020,Riyadh,Security Forces Hospital in Riyadh,Unknown,109
246,2020,Jazan,General Directorate of Health Affairs in Jazan Region,Unknown,109
247,2017,Dammam,Dammam Medical Complex,Ministry of Health,109
248,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Ministry of Health,109
249,2018,Madinah,King Fahd Hospital in Medina,Ministry of Health,109
255,2017,Khobar,King Fahd University Hospital in Khobar,Ministry of Health,107
256,2016,Riyadh,Security Forces Hospital in Riyadh,Security Forces Hospital - Riyadh,106
258,2021,Riyadh,Security Forces Hospital in Riyadh,Ministry of Health,106
259,2022,Riyadh,Medical City of King Saud University in Riyadh,Personal Contract,105
260,2019,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Ministry of Health,105
261,2021,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Unknown,105
262,2018,Alqatif  ,AlQatif Central Hospital,Ministry of Health,104
263,2020,Dammam,Dammam Medical Complex,Ministry of Health,104
264,2018,Jeddah,King Abdulaziz Hospital in Jeddah,Ministry of Health,103
267,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Personal Contract,102
268,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Ministry of Health,102
269,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Unknown,102
272,2021,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Unknown,101
273,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Personal Contract,101
274,2016,Dammam,King Fahd Specialist Hospital in Dammam,"King Fahad Specialist Hospital, Damam",101
276,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,Personal Contract,100
279,2016,Dammam,Dammam Medical Complex,Ministry of Health,100
281,2019,Riyadh,Medical City of King Saud University in Riyadh,Ministry of Health,99
282,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Personal Contract,98
283,2017,Riyadh,Medical City of King Saud University in Riyadh,Personal Contract,98
284,2020,Taif,King Faisal Medical Complex in Taif,Ministry of Health,97
285,2022,Riyadh,Riyadh Second Health Cluster,Personal Contract,97
286,2019,Jeddah,East Jeddah Hospital in Jeddah,Ministry of Health,97
288,2019,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Ministry of Health,96
293,2020,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Ministry of Health,95
294,2021,Najran,General Directorate of Health Affairs in Najran Region,Ministry of Health,95
295,2018,Riyadh,Medical City of King Saud University in Riyadh,Personal Contract,95
296,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Defense Medical Services,95
298,2021,Jeddah,King Abdullah Medical Complex in Jeddah,Ministry of Health,95
300,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Defense / Personal Contract,94
304,2019,Alqatif  ,AlQatif Central Hospital,Ministry of Health,93
305,2017,Alqatif  ,AlQatif Central Hospital,Ministry of Health,93
306,2020,Riyadh,Security Forces Hospital in Riyadh,Ministry of Health,92
309,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Health,92
310,2021,Dammam,King Fahd Specialist Hospital in Dammam,Unknown,92
311,2017,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Ministry of Health,92
312,2021,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Ministry of Health,92
314,2021,Alqatif  ,AlQatif Central Hospital,Unknown,92
315,2020,Alqatif  ,AlQatif Central Hospital,Ministry of Health,92
317,2016,Khobar,King Fahd University Hospital in Khobar,Imam Abdul Rahman Bin Faisal University,91
318,2020,Jeddah,The program of the Ministry of Health in Jeddah,Ministry of Health,91
319,2018,Makkah,JointProgram for Family Medicine in Makkah,Ministry of Health,91
320,2016,Jazan,General Directorate of Health Affairs in Jazan Region,Ministry of Health,91
322,2018,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Ministry of Health,90
323,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Fahad National Guard Hospital,90
324,2021,Jeddah,The program of the Ministry of Health in Jeddah,Ministry of Health,90
328,2016,Khobar,King Fahd University Hospital in Khobar,Ministry of Health,88
330,2018,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,"King Abdulaziz Medical City for National Guard, Jeddah",88
331,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Personal Contract,88
332,2017,Madinah,King Fahd Hospital in Medina,Ministry of Health,88
334,2017,Riyadh,Riyadh Second Health Cluster,Personal Contract,87
337,2021,Dammam,King Fahd Specialist Hospital in Dammam,Ministry of Health,87
343,2021,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Ministry of Health,86
344,2017,Makkah,Alnoor Specialist Hospital in Mecca,Ministry of Health,86
345,2018,Hofuf,King Fahad Hospital in Hofuf,Ministry of Health,86
348,2019,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Defense / Personal Contract,85
349,2017,Makkah,JointProgram for Family Medicine in Makkah,Ministry of Health,85
352,2021,Dammam,Dammam Medical Complex,Ministry of Health,85
353,2019,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Health,85
354,2021,Makkah,Maternity and Children Hospital in Mecca,Ministry of Health,84
355,2018,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Ministry of Health,84
356,2021,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Unknown,84
357,2018,Riyadh,Riyadh Second Health Cluster,Personal Contract,84
358,2021,Taif,King Abdulaziz Specialist Hospital in Taif,Ministry of Health,83
359,2017,Riyadh,Security Forces Hospital in Riyadh,Security Forces Hospital - Riyadh,83
361,2017,Jeddah,King Abdulaziz Hospital in Jeddah,Ministry of Health,83
362,2019,Riyadh,Medical City of King Saud University in Riyadh,Personal Contract,83
363,2019,Khobar,King Fahd University Hospital in Khobar,Unknown,82
364,2021,Riyadh,Riyadh Second Health Cluster,Unknown,82
366,2021,Dhahran,King Fahd Military Medical Complex in Dhahran,Unknown,82
368,2016,Madinah,King Fahd Hospital in Medina,Ministry of Health,81
370,2017,Riyadh,King Fahad Medical City in Riyadh,Personal Contract,81
371,2018,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,King Khalid National Guard Hospital,81
373,2018,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Health,81
374,2016,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Ministry of National Guard,81
377,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Defense / Personal Contract,80
378,2019,Riyadh,Riyadh Second Health Cluster,Personal Contract,80
381,2016,Dammam,King Fahd Specialist Hospital in Dammam,Ministry of Health,80
383,2016,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Ministry of Health,80
385,2016,Riyadh,King Fahad Medical City in Riyadh,Personal Contract,79
386,2019,Riyadh,Medical City of King Saud University in Riyadh,King Saud University,79
388,2017,Dammam,King Fahd Specialist Hospital in Dammam,"King Fahad Specialist Hospital, Damam",79
389,2016,Riyadh,King Khalid University Hospital in Riyadh,Ministry of Health,79
393,2019,Riyadh,Security Forces Hospital in Riyadh,Ministry of Health,78
394,2020,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Unknown,78
395,2020,Hofuf,King Fahad Hospital in Hofuf,Ministry of Health,78
396,2021,Dammam,Eastern Health Cluster,Unknown,78
397,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Unknown,78
398,2018,Riyadh,Medical City of King Saud University in Riyadh,Ministry of Health,78
399,2019,Jeddah,The program of the Ministry of Health in Jeddah,Ministry of Health,78
400,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Ministry of Health,77
402,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Health,77
404,2021,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Unknown,77
405,2018,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Ministry of Health,77
406,2020,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Unknown,77
408,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,"King Faisal Specialist Hospital & Research Centre, Jeddah",77
409,2021,Alqatif  ,AlQatif Central Hospital,Ministry of Health,77
410,2021,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Ministry of Health,77
411,2021,Albahah,General Directorate of Health Affairs in Al-Baha Region,Ministry of Health,77
415,2019,Hofuf,King Fahad Hospital in Hofuf,Ministry of Health,76
416,2018,Riyadh,Medical City of King Saud University in Riyadh,King Saud University,76
417,2017,Khobar,King Fahd University Hospital in Khobar,Imam Abdul Rahman Bin Faisal University,76
419,2019,Taif,King Faisal Medical Complex in Taif,Ministry of Health,76
424,2020,Makkah,Maternity and Children Hospital in Mecca,Ministry of Health,75
425,2021,Makkah,Security Forces Hospital in Mecca,Ministry of Health,75
427,2020,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Unknown,75
430,2018,Riyadh,Security Forces Hospital in Riyadh,Security Forces Hospital - Riyadh,74
431,2017,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Ministry of Health,74
432,2016,Alqatif  ,AlQatif Central Hospital,Ministry of Health,74
435,2016,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Ministry of Health,74
437,2021,Madinah,Maternity and Children Hospital in Medina,Ministry of Health,74
438,2016,Makkah,King Abdullah Medical City in the Holy Capital,King Abdullah Medical City in Mecca,73
439,2018,Jeddah,East Jeddah Hospital in Jeddah,Ministry of Health,73
440,2020,Dammam,King Fahd Specialist Hospital in Dammam,Unknown,73
445,2019,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Ministry of Health,73
447,2020,Alqatif  ,AlQatif Central Hospital,Unknown,73
450,2019,Makkah,King Abdulaziz Hospital in Mecca,Ministry of Health,72
452,2020,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Ministry of Health,72
455,2021,Dammam,Dammam Medical Complex,Unknown,72
456,2017,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Ministry of Health,72
457,2020,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Unknown,72
458,2016,Makkah,Alnoor Specialist Hospital in Mecca,Ministry of Health,72
460,2021,Hofuf,King Fahad Hospital in Hofuf,Ministry of Health,72
461,2021,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Ministry of Health,71
462,2019,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Ministry of Health,71
463,2019,Makkah,JointProgram for Family Medicine in Makkah,Ministry of Health,71
464,2017,Hofuf,King Fahad Hospital in Hofuf,Ministry of Health,71
465,2018,Riyadh,Security Forces Hospital in Riyadh,Ministry of Health,71
466,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Ministry of Health,70
467,2018,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Defense / Personal Contract,70
471,2021,Hofuf,King Fahad Hospital in Hofuf,Unknown,70
473,2020,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Unknown,70
474,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Ministry of Health,70
476,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Defense / Personal Contract,70
477,2021,Riyadh,King Fahad Medical City in Riyadh,Personal Contract,70
478,2019,Makkah,Maternity and Children Hospital in Mecca,Ministry of Health,69
479,2019,Abha,General Directorate of Health Affairs in Aseer Region,Unknown,69
480,2017,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Ministry of Defense / Personal Contract,69
481,2018,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Ministry of Health,69
483,2021,Makkah,King Abdulaziz Hospital in Mecca,Ministry of Health,69
484,2018,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Ministry of Health,69
485,2018,Riyadh,King Fahad Medical City in Riyadh,Personal Contract,69
486,2020,Taif,King Abdulaziz Specialist Hospital in Taif,Ministry of Health,68
490,2016,Makkah,King Abdullah Medical City in the Holy Capital,Ministry of Health,68
491,2018,Jeddah,JointProgram for Family Medicine in Jeddah,Ministry of Health,68
492,2017,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Ministry of Health,68
494,2020,Madinah,Maternity and Children Hospital in Medina,Ministry of Health,68
496,2016,Jeddah,King Abdulaziz Hospital in Jeddah,Ministry of Health,67
498,2020,Makkah,King Abdulaziz Hospital in Mecca,Ministry of Health,67
501,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Health,67
502,2020,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Ministry of Health,67
503,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Unknown,67
504,2019,Albahah,General Directorate of Health Affairs in Al-Baha Region,Ministry of Health,67
506,2018,Albahah,General Directorate of Health Affairs in Al-Baha Region,Ministry of Health,67
507,2018,Madinah,JointProgram for Family Medicine in Madinah,Ministry of Health,67
508,2022,Riyadh,King Fahad Medical City in Riyadh,Personal Contract,67
509,2020,Jeddah,The program of the Ministry of Health in Jeddah,Unknown,66
