,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Number_of_Trainees
224,2019,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,62
225,2018,Jeddah,The program of the Ministry of Health in Jeddah,62
226,2022,Jeddah,King Abdulaziz University Hospital in Jeddah,62
227,2018,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,61
228,2021,Makkah,King Faisal Hospital in Mecca,61
229,2020,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,60
230,2021,Makkah,Hera General Hospital in Mecca,60
231,2019,Taif,King Abdulaziz Specialist Hospital in Taif,60
232,2017,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,60
233,2018,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,60
234,2021,Dammam,Security Forces Hospital in Dammam,59
235,2021,Dubai,Rashed Hospital in Dubai,59
236,2018,Dammam,Dammam Medical Complex,59
237,2020,Manama,King Hamad University Hospital in Kingdom of Bahrain,58
238,2019,Taif,The program of the Ministry of Health in Taif ,58
239,2021,Buraidah,The program of the Ministry of Health in Al-Qassim,58
240,2017,Makkah,King Abdullah Medical City in the Holy Capital,58
241,2020,Manama,Salmaniya Medical Complex in Manama,57
242,2016,Riyadh,King Saud Medical City in Riyadh,57
243,2020,Buraidah,The program of the Ministry of Health in Al-Qassim,56
244,2021,Riyadh,"Joint training program in the central region, Riyadh",56
245,2019,Makkah,King Abdulaziz Hospital in Mecca,55
246,2022,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,55
247,2018,Dhahran,King Fahd Military Medical Complex in Dhahran,55
248,2018,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,55
249,2018,Hofuf,King Fahad Hospital in Hofuf,55
250,2019,Makkah,Maternity and Children Hospital in Mecca,54
251,2021,Madinah,Uhud General Hospital in Medina,54
252,2021,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,54
253,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,54
254,2019,Al-Ahsa,Maternity and Children Hospital in Mubarraz,53
255,2020,Riyadh,"Joint training program in the central region, Riyadh",53
257,2018,Jeddah,East Jeddah Hospital in Jeddah,52
258,2021,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,52
259,2020,Riyadh,University Dental Hospital at King Saud University in Riyadh,52
260,2020,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,52
261,2019,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,52
262,2017,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,52
263,2021,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,52
264,2021,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,51
265,2021,Taif,Pediatric Hospital in Taif,51
266,2019,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,51
267,2020,Buraidah,Maternity and Pediatric Hospital in Buraidah,50
268,2018,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,50
269,2018,Madinah,Maternity and Children Hospital in Medina,50
270,2016,Riyadh,Riyadh Second Health Cluster,50
271,2019,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,49
273,2017,Dammam,King Fahd Specialist Hospital in Dammam,49
275,2019,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,48
276,2020,Jubail,Royal Commission Medical Center in Jubail,48
277,2021,Hail,King Khalid Hospital in Hail,48
278,2021,Madinah,General Directorate of Health Affairs in Madinah,48
279,2021,Riyadh,Joint Training Program in the Central Region,48
280,2020,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,48
281,2019,Buraidah,King Fahd Specialist Hospital in Buraidah,48
283,2020,Makkah,King Faisal Hospital in Mecca,47
284,2017,Taif,Armed Forces Hospital in Al-Hada in Taif,46
285,2022,Riyadh,Riyadh First Health Cluster,46
286,2018,Jeddah,King Abdulaziz Hospital in Jeddah,46
287,2019,Jeddah,King Abdullah Medical Complex in Jeddah,46
288,2020,Dubai,Rashed Hospital in Dubai,46
289,2021,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,46
290,2019,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,46
291,2019,Makkah,Security Forces Hospital in Mecca,46
292,2017,Jeddah,King Fahd General Hospital in Jeddah,45
293,2021,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,45
294,2019,Manama,Salmaniya Medical Complex in Manama,45
295,2020,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,45
297,2018,Taif,King Faisal Medical Complex in Taif,44
298,2022,Riyadh,King Saud Medical City in Riyadh,44
299,2018,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,43
301,2022,Dammam,Eastern Health Cluster,43
302,2020,Al-Ahsa,Almousa Specialist Hospital in Alahsa,43
303,2020,Dammam,Security Forces Hospital in Dammam,43
304,2018,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,43
305,2019,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,42
307,2021,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,42
308,2021,Yanbu,Royal Commission Medical Center in Yanbu,42
309,2017,Riyadh,Riyadh First Health Cluster,41
310,2021,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,40
311,2020,Makkah,Joint Postgraduate Program for Family Medicine in Makkah,40
312,2018,Taif,King Abdulaziz Specialist Hospital in Taif,40
313,2021,Al-Ahsa,Alahsa Health Cluster,40
314,2017,Madinah,King Fahd Hospital in Medina,40
315,2020,Madinah,Uhud General Hospital in Medina,40
316,2019,Manama,King Hamad University Hospital in Kingdom of Bahrain,40
317,2017,Dammam,Eastern Health Cluster,40
318,2016,Abha,General Directorate of Health Affairs in Aseer Region,40
319,2018,Albahah,General Directorate of Health Affairs in Al-Baha Region,40
320,2021,Makkah,Joint Postgraduate Program for Family Medicine in Makkah,40
321,2016,Riyadh,Security Forces Hospital in Riyadh,40
322,2019,Riyadh,AlYamamah Hospital in Riyadh,39
323,2017,Makkah,Alnoor Specialist Hospital in Mecca,39
324,2020,Taif,Pediatric Hospital in Taif,39
325,2020,Makkah,Joint Family and Community Medicine Program,38
326,2022,Abha,General Directorate of Health Affairs in Aseer Region,38
327,2020,Tabuk,"Joint training program in the Western Region, Tabuk",38
328,2021,Tabuk,"Joint training program in the Western Region, Tabuk",38
329,2019,Makkah,Joint Family and Community Medicine Program,38
330,2018,Najran,General Directorate of Health Affairs in Najran Region,38
331,2019,Dubai,Rashed Hospital in Dubai,38
332,2021,Buraidah,Buraidah Central Hospital in Buraidah,38
333,2021,Makkah,Joint Family and Community Medicine Program,38
334,2020,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,38
335,2021,Riyadh,Dental clinics at the Dentistry Coolage at Dar Al Uloom University in Riyadh,37
336,2017,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,37
337,2018,Jeddah,International Medical Center in Jeddah,37
338,2018,Makkah,King Abdulaziz Hospital in Mecca,37
339,2018,Riyadh,Riyadh First Health Cluster,37
340,2016,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,36
341,2019,Buraidah,Maternity and Pediatric Hospital in Buraidah,36
342,2019,Buraidah,The program of the Ministry of Health in Al-Qassim,36
343,2021,Bisha,Directorate of Health Affairs in Bisha Governorate,36
344,2019,Madinah,Joint Family Medicine Program - Medina,36
345,2020,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,36
346,2020,Makkah,Hera General Hospital in Mecca,36
347,2018,Makkah,Maternity and Children Hospital in Mecca,36
348,2022,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,36
349,2021,Madinah,The program of the Ministry of Health in Madinah,35
350,2019,Riyadh,Riyadh First Health Cluster,35
351,2021,Riyadh,Specialized Dental Healthcare Center in Eastern Riyadh,35
352,2016,Makkah,King Abdullah Medical City in the Holy Capital,35
353,2019,Madinah,The program of the Ministry of Health in Madinah,35
354,2019,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,35
355,2019,Dammam,Security Forces Hospital in Dammam,35
356,2019,Makkah,King Faisal Hospital in Mecca,35
357,2020,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,35
358,2021,Dammam,Maternity and Children Hospital in Dammam,35
359,2020,Madinah,The program of the Ministry of Health in Madinah,35
360,2020,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,34
361,2019,Riyadh,"Joint training program in the central region, Riyadh",34
362,2022,Riyadh,Security Forces Hospital in Riyadh,34
363,2018,Madinah,The program of the Ministry of Health in Madinah,34
364,2016,Dammam,King Fahd Specialist Hospital in Dammam,33
365,2020,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,33
366,2021,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,33
367,2021,Makkah,General Directorate of Health Affairs in Mecca,33
368,2018,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,32
369,2022,Makkah,King Abdullah Medical City in the Holy Capital,32
370,2019,Jubail,Royal Commission Medical Center in Jubail,32
371,2018,Al-Ahsa,Maternity and Children Hospital in Mubarraz,32
372,2020,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,31
373,2017,Jazan,General Directorate of Health Affairs in Jazan Region,31
374,2020,Yanbu,Royal Commission Medical Center in Yanbu,31
375,2021,Riyadh,Specialized Medical Center Hospital in Riyadh,31
376,2016,Riyadh,Joint Training Program in the Central Region,31
377,2020,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,31
378,2020,Hail,King Khalid Hospital in Hail,30
379,2022,Dammam,King Fahd Specialist Hospital in Dammam,30
380,2020,Hail,Family Medicine Postgraduate Program in Hail,30
381,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,30
382,2021,Hail,Family Medicine Postgraduate Program in Hail,30
383,2022,Khobar,King Fahd University Hospital in Khobar,30
384,2016,Khobar,King Fahd University Hospital in Khobar,30
385,2018,Buraidah,King Fahd Specialist Hospital in Buraidah,29
386,2020,Dammam,Maternity and Children Hospital in Dammam,29
387,2016,Madinah,King Fahd Hospital in Medina,29
389,2021,Riyadh,Completed Family Medicine Program at the Ministry of Defense in Riyadh,29
390,2020,Riyadh,Completed Family Medicine Program at the Ministry of Defense in Riyadh,29
392,2018,Makkah,Security Forces Hospital in Mecca,28
393,2018,Jeddah,King Abdullah Medical Complex in Jeddah,28
395,2021,Riyadh,Al-Iman Hospital in Riyadh,28
396,2018,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,28
397,2018,Taif,The program of the Ministry of Health in Taif ,28
399,2021,Unaizah,King Saud Hospital in Unaizah,28
400,2020,Riyadh,Riyadh First Health Cluster,28
401,2020,Bisha,Directorate of Health Affairs in Bisha Governorate,27
402,2018,Manama,Salmaniya Medical Complex in Manama,27
403,2017,Dammam,Dammam Medical Complex,27
404,2018,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,27
405,2017,Riyadh,Joint Training Program in the Central Region,27
406,2019,Tabuk,"Joint training program in the Western Region, Tabuk",27
407,2022,Riyadh,Joint Training Program in the Central Region,27
408,2019,Al-Ahsa,Almousa Specialist Hospital in Alahsa,27
409,2019,Taif,Pediatric Hospital in Taif,27
411,2020,Madinah,"Joint training program in the Western Region, Madinah",27
412,2021,Madinah,"Joint training program in the Western Region, Madinah",27
413,2021,Buraidah,Prince Sultan Cardiac Center in Buraidah,26
414,2018,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,26
415,2019,Makkah,Hera General Hospital in Mecca,26
417,2019,Madinah,Uhud General Hospital in Medina,26
418,2016,Riyadh,King Khalid University Hospital in Riyadh,26
419,2017,Alqatif  ,AlQatif Central Hospital,26
420,2021,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,25
421,2019,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,25
422,2020,Riyadh,Joint Training Program in the Central Region,25
423,2021,Arar,The program of the Ministry of Health in Arar,25
424,2020,Riyadh,Specialized Medical Center Hospital in Riyadh,25
425,2019,Dammam,Maternity and Children Hospital in Dammam,25
426,2017,Hofuf,King Fahad Hospital in Hofuf,25
427,2017,Taif,King Faisal Medical Complex in Taif,25
430,2018,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,25
432,2019,Riyadh,University Dental Hospital at King Saud University in Riyadh,24
433,2019,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,24
434,2017,Madinah,Maternity and Children Hospital in Medina,24
435,2016,Jeddah,King Fahd General Hospital in Jeddah,24
436,2018,Buraidah,The program of the Ministry of Health in Al-Qassim,24
437,2018,Dubai,Rashed Hospital in Dubai,24
438,2020,Riyadh,Dental clinics at the Dentistry Coolage at Dar Al Uloom University in Riyadh,24
440,2016,Riyadh,Riyadh First Health Cluster,24
441,2021,Taif,Directorate of Health Affairs in Taif Governorate,24
442,2019,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,24
443,2020,Riyadh,Al-Iman Hospital in Riyadh,24
444,2018,Dammam,Security Forces Hospital in Dammam,23
445,2016,Dammam,Eastern Health Cluster,23
446,2020,Arar,The program of the Ministry of Health in Arar,23
447,2018,Riyadh,Joint Training Program in the Central Region,23
448,2017,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,23
449,2019,Arar,The program of the Ministry of Health in Arar,23
450,2021,Riyadh,Dallah Hospital in Riyadh,23
451,2017,Dhahran,King Fahd Military Medical Complex in Dhahran,22
452,2021,Dubai,Al Jalila Pediatric Hospital in Dubai,22
