,Academic_Year,City_Name_En,Success_Rate
100,2017,Taif,0.5477777777777777
101,2020,Madinah,0.5423076923076923
102,2020,Hail,0.5275
103,2020,Dubai,0.525
104,2020,Jouf,0.525
105,2020,Manama,0.5233333333333333
106,2020,Khamis Mushait,0.52
107,2020,Dhahran,0.5175
108,2018,Abha,0.5133333333333333
109,2016,Albahah,0.51
110,2019,Abha,0.5033333333333333
111,2019,Unaizah,0.5
112,2018,Alkharj  ,0.5
113,2019,Alkharj  ,0.5
114,2017,Abha,0.5
115,2019,Al-Ahsa,0.49714285714285716
116,2018,Taif,0.4933333333333334
117,2020,Tabuk,0.49
118,2020,Riyadh,0.4830232558139535
119,2018,Buraidah,0.48200000000000004
120,2019,Buraidah,0.48
121,2018,Jazan,0.475
122,2020,Makkah,0.47400000000000003
123,2019,Taif,0.4722222222222222
124,2017,Hail,0.46499999999999997
125,2018,Jouf,0.46
126,2017,Jouf,0.46
127,2019,Jazan,0.45999999999999996
128,2020,Taif,0.449
129,2016,Taif,0.4433333333333333
130,2020,Jazan,0.44000000000000006
131,2019,Jouf,0.435
132,2021,Jeddah,0.4328571428571429
133,2017,Albahah,0.42
134,2018,Arar,0.4166666666666667
135,2021,Unknown - Saudi Arabia,0.4166666666666667
136,2021,Riyadh,0.4124137931034483
137,2020,Buraidah,0.41200000000000003
138,2016,Hafr Albatin,0.4
139,2019,Albahah,0.39
140,2018,Albahah,0.39
141,2017,Bisha,0.38
142,2021,Taif,0.375
143,2019,Arar,0.375
144,2019,Yanbu,0.37
145,2018,Yanbu,0.36
146,2021,Hail,0.35
147,2017,Yanbu,0.35
148,2020,Yanbu,0.33499999999999996
149,2020,Hafr Albatin,0.33
150,2021,Madinah,0.3171428571428571
151,2017,Najran,0.315
152,2016,Arar,0.31
153,2020,Unknown - Saudi Arabia,0.29833333333333334
154,2020,Unaizah,0.29
155,2018,Bisha,0.27
156,2020,Albahah,0.26
157,2021,Jazan,0.25
158,2019,Hafr Albatin,0.25
159,2021,Tabuk,0.25
160,2018,Najran,0.21
161,2021,Makkah,0.20555555555555557
162,2018,Hafr Albatin,0.2
163,2019,Najran,0.2
164,2019,Bisha,0.2
165,2017,Hafr Albatin,0.2
166,2021,Alkharj  ,0.165
167,2021,Dhahran,0.14333333333333334
168,2021,Al-Ahsa,0.08333333333333333
169,2020,Arar,0.07
170,2021,Unknown,0.0
171,2021,Yanbu,0.0
172,2022,Alkharj  ,0.0
173,2022,Alquriyat,0.0
174,2022,Arar,0.0
175,2022,Dammam,0.0
176,2022,Riyadh,0.0
177,2022,Makkah,0.0
178,2022,Jeddah,0.0
179,2022,Madinah,0.0
180,2019,Alrass,0.0
181,2021,Manama,0.0
182,2021,Jubail,0.0
183,2021,Hofuf,0.0
184,2021,Dubai,0.0
185,2021,Bisha,0.0
186,2021,Arar,0.0
187,2021,Alquriyat,0.0
188,2021,Alqatif  ,0.0
189,2021,Albahah,0.0
190,2020,Unknown,0.0
191,2020,Bisha,0.0
192,2020,Alrass,0.0
193,2019,Sakaka,0.0
194,2017,Unknown,0.0
195,2022,Taif,0.0
