,Region_Name_En,City_Name_En,Current_Training_Center_Name_En,Current_Program_Name_En,Current_Speciality_Name_En,Region_Centroid,City_Longitude,City_Latitude,Training_Center_Longitude,Training_Center_Latitude
19,Makkah,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Internal Medicine,Internal Medicine,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
20,Riyadh,Riyadh,King Saud Medical City in Riyadh,Internal Medicine,Internal Medicine,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
21,Jizan,Jazan,General Directorate of Health Affairs in Jazan Region,Internal Medicine,Internal Medicine,POINT (42.68326094404831 17.21845288332345),42.570567,16.889359,42.5471234,16.978015
22,Eastern Province,Dammam,Dammam Medical Complex,Internal Medicine,Internal Medicine,POINT (48.23088037524295 27.01831695320538),50.088794,26.420683,50.1506389,26.2846113
23,Eastern Province,Khobar,King Fahd University Hospital in Khobar,Internal Medicine,Internal Medicine,POINT (48.23088037524295 27.01831695320538),50.080072,26.182911,50.1506389,26.2846113
24,Asir,Abha,General Directorate of Health Affairs in Aseer Region,Internal Medicine,Internal Medicine,POINT (42.96906120309961 19.16294716728891),42.511724,18.246468,42.5238139,18.2024106
25,Eastern Province,Hofuf,King Fahad Hospital in Hofuf,Internal Medicine,Internal Medicine,POINT (48.23088037524295 27.01831695320538),49.588765,25.380026,49.5142036,25.332395
26,Eastern Province,Dhahran,King Fahd Military Medical Complex in Dhahran,Internal Medicine,Internal Medicine,POINT (48.23088037524295 27.01831695320538),50.039302,26.236125,50.1506389,26.2846113
27,Makkah,Jeddah,Maternity and Children Hospital in Jeddah,Pediatric Medicine,Pediatrics,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
28,Makkah,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Pediatric Medicine,Pediatrics,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
29,Eastern Province,Alqatif  ,AlQatif Central Hospital,Pediatric Medicine,Pediatrics,POINT (48.23088037524295 27.01831695320538),49.998236,26.576492,50.1506389,26.2846113
30,Riyadh,Riyadh,King Saud Medical City in Riyadh,Pediatric Medicine,Pediatrics,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
31,Al Madinah,Madinah,King Fahd Hospital in Medina,General Surgery,General Surgery,POINT (39.56226489806622 24.86058870299565),39.569184,24.524654,38.194309,24.0204254
32,Makkah,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,General Surgery,General Surgery,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
33,Eastern Province,Dammam,Dammam Medical Complex,General Surgery,General Surgery,POINT (48.23088037524295 27.01831695320538),50.088794,26.420683,50.1506389,26.2846113
34,Makkah,Jeddah,King Fahd General Hospital in Jeddah,General Surgery,General Surgery,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
35,Eastern Province,Dammam,Dammam Medical Complex,Urology,Urology,POINT (48.23088037524295 27.01831695320538),50.088794,26.420683,50.1506389,26.2846113
36,Al Madinah,Madinah,King Fahd Hospital in Medina,Urology,Urology,POINT (39.56226489806622 24.86058870299565),39.569184,24.524654,38.194309,24.0204254
37,Unknown,Unknown - Saudi Arabia,Joint Training Program in the Eastern Province,Otorhinolaryngology Head And Neck Surgery,Otorhinolaryngology Head And Neck Surgery,,45.079162,23.885942,46.6375541,24.7414432
38,Riyadh,Riyadh,Security Forces Hospital in Riyadh,Internal Medicine,Internal Medicine,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
39,Al-Qassim,Buraidah,King Fahd Specialist Hospital in Buraidah,Internal Medicine,Internal Medicine,POINT (43.34184259120778 26.20128104945562),43.981812,26.359231,43.4838773,25.8827324
40,Makkah,Jeddah,King Abdulaziz University Hospital in Jeddah,Internal Medicine,Internal Medicine,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
41,Tabuk,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Internal Medicine,Internal Medicine,POINT (37.21694450317039 27.86494842092309),36.566191,28.383508,36.5957527,28.3494438
42,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Medicine,Pediatrics,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
43,Al-Qassim,Buraidah,King Fahd Specialist Hospital in Buraidah,Pediatric Medicine,Pediatrics,POINT (43.34184259120778 26.20128104945562),43.981812,26.359231,43.4838773,25.8827324
44,Riyadh,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatric Medicine,Pediatrics,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
45,Riyadh,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
46,Eastern Province,Khobar,King Fahd University Hospital in Khobar,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (48.23088037524295 27.01831695320538),50.080072,26.182911,50.1506389,26.2846113
47,Riyadh,Riyadh,King Khalid University Hospital in Riyadh,Pediatric Medicine,Pediatrics,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
48,Al Bahah,Albahah,General Directorate of Health Affairs in Al-Baha Region,Pediatric Medicine,Pediatrics,POINT (41.44575992033653 20.13329311434446),41.471273,20.021741,41.5057266,20.0583716
49,Riyadh,Riyadh,King Saud Medical City in Riyadh,General Surgery,General Surgery,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
50,Eastern Province,Hofuf,King Fahad Hospital in Hofuf,General Surgery,General Surgery,POINT (48.23088037524295 27.01831695320538),49.588765,25.380026,49.5142036,25.332395
51,Makkah,Makkah,Alnoor Specialist Hospital in Mecca,General Surgery,General Surgery,POINT (39.91800768330813 21.50947859338701),39.857912,21.389082,39.94124,21.331945
52,Makkah,Jeddah,King Fahd General Hospital in Jeddah,Urology,Urology,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
53,Eastern Province,Khobar,King Fahd University Hospital in Khobar,Otorhinolaryngology Head And Neck Surgery,Otorhinolaryngology Head And Neck Surgery,POINT (48.23088037524295 27.01831695320538),50.080072,26.182911,50.1506389,26.2846113
54,Makkah,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
55,Asir,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Internal Medicine,Internal Medicine,POINT (42.96906120309961 19.16294716728891),42.766233,18.309339,42.5238139,18.2024106
56,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
57,Eastern Province,Khobar,King Fahd University Hospital in Khobar,Pediatric Medicine,Pediatrics,POINT (48.23088037524295 27.01831695320538),50.080072,26.182911,50.1506389,26.2846113
58,Tabuk,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Pediatric Medicine,Pediatrics,POINT (37.21694450317039 27.86494842092309),36.566191,28.383508,36.5957527,28.3494438
59,Riyadh,Riyadh,Prince Sultan Military Medical City in Riyadh,General Surgery,General Surgery,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
60,Makkah,Jeddah,King Abdulaziz University Hospital in Jeddah,Otorhinolaryngology Head And Neck Surgery,Otorhinolaryngology Head And Neck Surgery,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
61,Riyadh,Riyadh,Joint Otolaryngology Program - Riyadh,Otorhinolaryngology Head And Neck Surgery,Otorhinolaryngology Head And Neck Surgery,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
62,Makkah,Makkah,Maternity and Children Hospital in Mecca,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (39.91800768330813 21.50947859338701),39.857912,21.389082,39.94124,21.331945
63,Riyadh,Riyadh,King Khalid University Hospital in Riyadh,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
64,Riyadh,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Family Medicine,Family Medicine,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
65,Tabuk,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (37.21694450317039 27.86494842092309),36.566191,28.383508,36.5957527,28.3494438
66,Riyadh,Riyadh,Security Forces Hospital in Riyadh,Pediatric Medicine,Pediatrics,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
67,Eastern Province,Dammam,Maternity and Children Hospital in Dammam,Pediatric Medicine,Pediatrics,POINT (48.23088037524295 27.01831695320538),50.088794,26.420683,50.1506389,26.2846113
68,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Orthopedic Surgery,Orthopedic Surgery,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
69,Riyadh,Riyadh,King Khalid University Hospital in Riyadh,Orthopedic Surgery,Orthopedic Surgery,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
70,Eastern Province,Dhahran,King Fahd Military Medical Complex in Dhahran,Orthopedic Surgery,Orthopedic Surgery,POINT (48.23088037524295 27.01831695320538),50.039302,26.236125,50.1506389,26.2846113
71,Eastern Province,Khobar,King Fahd University Hospital in Khobar,Orthopedic Surgery,Orthopedic Surgery,POINT (48.23088037524295 27.01831695320538),50.080072,26.182911,50.1506389,26.2846113
72,Al Madinah,Madinah,King Fahd Hospital in Medina,Orthopedic Surgery,Orthopedic Surgery,POINT (39.56226489806622 24.86058870299565),39.569184,24.524654,38.194309,24.0204254
73,Asir,Abha,General Directorate of Health Affairs in Aseer Region,Orthopedic Surgery,Orthopedic Surgery,POINT (42.96906120309961 19.16294716728891),42.511724,18.246468,42.5238139,18.2024106
74,Tabuk,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Orthopedic Surgery,Orthopedic Surgery,POINT (37.21694450317039 27.86494842092309),36.566191,28.383508,36.5957527,28.3494438
75,Riyadh,Riyadh,AlYamamah Hospital in Riyadh,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
76,Riyadh,Riyadh,Prince Sultan Military Medical City in Riyadh,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
77,Makkah,Jeddah,King Abdulaziz University Hospital in Jeddah,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
78,Riyadh,Riyadh,AlYamamah Hospital in Riyadh,Diagnostic Radiology,Diagnostic Radiology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
79,Riyadh,Riyadh,Joint Psychiatry Program - Riyadh,Psychiatry,Psychiatry,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
80,Jizan,Jazan,General Directorate of Health Affairs in Jazan Region,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (42.68326094404831 17.21845288332345),42.570567,16.889359,42.5471234,16.978015
81,Unknown,Unknown - Saudi Arabia,Joint Psychiatry Program - Dammam,Psychiatry,Psychiatry,,45.079162,23.885942,46.6375541,24.7414432
82,Riyadh,Riyadh,AlYamamah Hospital in Riyadh,Psychiatry,Psychiatry,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
83,Riyadh,Riyadh,Prince Sultan Military Medical City in Riyadh,Gastroenterology,Gastroenterology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
84,Makkah,Jeddah,King Abdulaziz University Hospital in Jeddah,Gastroenterology,Gastroenterology,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
85,Riyadh,Riyadh,King Saud Medical City in Riyadh,Dermatology,Dermatology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
86,Tabuk,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Dermatology,Dermatology,POINT (37.21694450317039 27.86494842092309),36.566191,28.383508,36.5957527,28.3494438
87,Makkah,Jeddah,King Abdulaziz University Hospital in Jeddah,Pediatric Medicine,Pediatrics,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
88,Makkah,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Pediatric Medicine,Pediatrics,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
89,Eastern Province,Dhahran,King Fahd Military Medical Complex in Dhahran,Pediatric Medicine,Pediatrics,POINT (48.23088037524295 27.01831695320538),50.039302,26.236125,50.1506389,26.2846113
90,Asir,Abha,General Directorate of Health Affairs in Aseer Region,Pediatric Medicine,Pediatrics,POINT (42.96906120309961 19.16294716728891),42.511724,18.246468,42.5238139,18.2024106
91,Riyadh,Riyadh,JointProgram for Ophthalmology - Central,Ophthalmology,Ophthalmology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
92,Riyadh,Riyadh,Prince Sultan Military Medical City in Riyadh,Anesthesia,Anesthesia,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
93,Riyadh,Riyadh,Security Forces Hospital in Riyadh,Anesthesia,Anesthesia,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
94,Riyadh,Riyadh,King Khalid University Hospital in Riyadh,Anesthesia,Anesthesia,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
95,Riyadh,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Anesthesia,Anesthesia,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
96,Eastern Province,Khobar,King Fahd University Hospital in Khobar,Anesthesia,Anesthesia,POINT (48.23088037524295 27.01831695320538),50.080072,26.182911,50.1506389,26.2846113
97,Riyadh,Riyadh,Prince Sultan Military Medical City in Riyadh,Family Medicine,Family Medicine,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
98,Makkah,Jeddah,Joint Program for Family and Community Medicine - Jeddah,Family Medicine,Family Medicine,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
99,Al Madinah,Madinah,King Fahd Hospital in Medina,Family Medicine,Family Medicine,POINT (39.56226489806622 24.86058870299565),39.569184,24.524654,38.194309,24.0204254
100,Tabuk,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Family Medicine,Family Medicine,POINT (37.21694450317039 27.86494842092309),36.566191,28.383508,36.5957527,28.3494438
101,Asir,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Family Medicine,Family Medicine,POINT (42.96906120309961 19.16294716728891),42.766233,18.309339,42.5238139,18.2024106
102,Unknown,Unknown - Saudi Arabia,Joint Program of Ophthalmology - Dammam,Ophthalmology,Ophthalmology,,45.079162,23.885942,46.6375541,24.7414432
103,Riyadh,Riyadh,King Khalid University Hospital in Riyadh,Diagnostic Radiology,Diagnostic Radiology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
104,Riyadh,Riyadh,Prince Sultan Military Medical City in Riyadh,Diagnostic Radiology,Diagnostic Radiology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
105,Riyadh,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Diagnostic Radiology,Diagnostic Radiology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
106,Makkah,Jeddah,King Abdulaziz Hospital in Jeddah,Diagnostic Radiology,Diagnostic Radiology,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
107,Eastern Province,Dhahran,King Fahd Military Medical Complex in Dhahran,Diagnostic Radiology,Diagnostic Radiology,POINT (48.23088037524295 27.01831695320538),50.039302,26.236125,50.1506389,26.2846113
108,Riyadh,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Adult Cardiology,Adult Cardiology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
109,Eastern Province,Khobar,King Fahd University Hospital in Khobar,Diagnostic Radiology,Diagnostic Radiology,POINT (48.23088037524295 27.01831695320538),50.080072,26.182911,50.1506389,26.2846113
110,Eastern Province,Dammam,Dammam Medical Complex,Diagnostic Radiology,Diagnostic Radiology,POINT (48.23088037524295 27.01831695320538),50.088794,26.420683,50.1506389,26.2846113
111,Riyadh,Riyadh,King Khalid University Hospital in Riyadh,Dermatology,Dermatology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
112,Riyadh,Riyadh,Prince Sultan Military Medical City in Riyadh,Clinical Neurosurgery,Clinical Neurosurgery,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
113,Unknown,Unknown - Saudi Arabia,Joint Program for Family and Community Medicine in the South,Family Medicine,Family Medicine,,45.079162,23.885942,46.6375541,24.7414432
114,Al-Qassim,Buraidah,Prince Sultan Cardiac Center in Buraidah,Pediatric Cardiology,Pediatric Cardiology,POINT (43.34184259120778 26.20128104945562),43.981812,26.359231,43.4838773,25.8827324
115,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Maternal Fetal Medicine,Maternal-Fetal Medicine,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
116,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Rheumatology,Pediatric Rheumatology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
117,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Clinical Genetics & Metabolic Disorders,Clinical Genetics & Metabolic Disorders,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
118,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Breast And Endocrine Surgical Oncology,Breast and Endocrine Surgical Oncology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
119,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Orthopedic Surgery,Pediatric Orthopedic Surgery,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
120,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Renal Transplant Surgery,Renal Transplant Surgery,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
121,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Vascular And Interventional Radiology,Interventional Neuro-Radiology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
122,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Women Image,Women Imaging,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
123,Riyadh,Riyadh,Prince Sultan Military Medical City in Riyadh,Ultrasound In Obstetrics & Gynecology,Ultrasound In Obstetrics & Gynecology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
124,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Musculoskeletal Imaging,Musculoskeletal Radiology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
125,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Radiology,Pediatric Radiology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
126,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Nuclear Medicine,Nuclear Medicine,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
127,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Infertility-Andrology,Infertility-Andrology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
128,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Palliative Medicine,Palliative Care Medicine,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
129,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Body Imaging& Non-Vascular Intervention,Body Imaging & Non-Vascular Intervention,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
130,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Allergy And Immunology,Pediatric Allergy And Immunology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
131,Riyadh,Riyadh,King Fahad Medical City in Riyadh,Pediatric Allergy And Immunology,Pediatric Allergy And Immunology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
132,Riyadh,Riyadh,King Saud Medical City in Riyadh,Family Medicine – 3 Years Track,Family Medicine,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
133,Eastern Province,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,General Surgery,General Surgery,POINT (48.23088037524295 27.01831695320538),49.365315,21.91133,49.5142036,25.332395
134,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Hepatobiliary-Pancreatic Surgery,Hepatobiliary-Pancreatic Surgery,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
135,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Epilepsy & Electroencephalography,Epilepsy & Electroencephalography,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
136,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Gynecology Oncology,Gynecologic Oncology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
137,Riyadh,Riyadh,King Fahad Medical City in Riyadh,Palliative Medicine,Palliative Care Medicine,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
138,Riyadh,Riyadh,King Fahad Medical City in Riyadh,Clinical Genetics & Metabolic Disorders,Clinical Genetics & Metabolic Disorders,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
139,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Thoracic Surgery,Thoracic Surgery,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
140,Riyadh,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Advanced Education In General Dentistry Diploma,Advanced Education In General Dentistry,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
141,Riyadh,Riyadh,Security Forces Hospital in Riyadh,Clinical Pharmacy - Nephrology,Clinical Pharmacy - Nephrology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
142,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Allergy & Immunology,Adult Allergy & Immunology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
143,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Orthopedic Reconstructive Surgery,Reconstructive Surgery,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
